Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title
308,Somebody That I Used to Know,Gotye - Kimbra,2011,https://www.youtube.com/watch?v=_iRmr3_GRxw,121ab74bdeb5e840bb600e1b166ae2b7ce28c66c7ab6262956f32914c2123791,Somebody That I Used To Know
307,When a Man Loves a Woman - Mono,Percy Sledge,1966,https://www.youtube.com/watch?v=dsQriJbxYBU,a86801463797ccf9042861b980d2027c7553895bdd5b4043d56cc37a04ac6088,When a Man Loves a Woman (Mono)
306,In the Summertime,Mungo Jerry,1971,https://www.youtube.com/watch?v=wVI9iEbqFyo,3260f357085be349ff961925cf2514e5d954a352576de70531d535cd4d2b54d4,In the Summertime
305,Light My Fire,The Doors,1967,https://www.youtube.com/watch?v=PsZarHxfAPA,03d7b9472753d84c6693cd1d07c789e870a63770b586db8bb8a90d5e638582cf,Light My Fire
304,Superstition - Single Version,Stevie Wonder,2002,https://www.youtube.com/watch?v=o2V3xsnWcKc,e66dbd7207d87778f5ad52b3603a1e17d06dfec4d35325e700b032762c0ec89a,Superstition
303,La Bamba - Single Version,Ritchie Valens,1959,https://www.youtube.com/watch?v=Y_Tg3s-9HSk,32f37da5015f1e98bc6a4c8383719a5706814be64b93101dda5ee13b3486533f,La Bamba
302,Like a Rolling Stone,Bob Dylan,1965,https://www.youtube.com/watch?v=ZAigkYd0ipE,7d5ed7d1bbea26934b9f181e2f8b07ceee978f45f4a96ba618db1e639ef7df0b,Like a Rolling Stone
301,Señorita,Shawn Mendes - Camila Cabello,2019,https://www.youtube.com/watch?v=M-NDI3_dOOc,2243e31c7b3f64a879a6b1cccdc78ef468ca6ffb1754d7f3beccfc812fa2eee5,Señorita - Slowed+Reverb | TeenSoundTrax
300,Sólo Le Pido A Dios,León Gieco,1994,https://www.youtube.com/watch?v=p9h3-IjHXmA,54a50c20a75ba61646e5c565db8299b8350aec89dd72bd0caf81591c245133d0,Sólo Le Pido A Dios
299,Bye Bye Bye,*NSYNC,2000,https://www.youtube.com/watch?v=fxHjlCBHuzA,cc9c1453c494fc726e26c48887dbc739aa0412f0455d5b7cf3a7c3edab82a308,Bye Bye Bye
298,Waterloo,ABBA,1974,https://www.youtube.com/watch?v=9y-8ZiAJiQo,179f52e9e7dbaca297d5596d23d4fe1f424ebdcffa57269d3a53edbad13a9de9,Waterloo
297,I Heard It Through The Grapevine,Marvin Gaye,1968,https://www.youtube.com/watch?v=kAPj9oP4q_w,ea0fae405d2ba15b1e4a2c4a8df389cb39f84808fb8519ce55c16542050cc0ef,I Heard It Through The Grapevine
296,Atrévete-Te-Te,Calle 13,2005,https://www.youtube.com/watch?v=U6Sx-G3tyRQ,bd59507fdb9c5c2e9811f8446d274f4ddddd4178ffc305b5f9a8e4a76fa1c2bf,Atrévete-Te-Te
295,Garota De Ipanema,Antônio Carlos Jobim,2007,https://www.youtube.com/watch?v=WuenyQ4NCQE,19603c6ea9eeac26262f6f8cc244dc3563a53f52a311c677e668140366a89854,Garota de Ipanema
294,Ula Ula,Illya Kuryaki & The Valderramas,2012,https://www.youtube.com/watch?v=ncaf5rCW6vs,13c4aa51c716da495affaa069a0ca65e73cf76d6300bb1fe21354d49352a4582,Ula Ula
293,Barbra Streisand (Radio Edit),Duck Sauce,2010,https://www.youtube.com/watch?v=piQZdu4wD60,614f77a061ac379f001856ddd3807a9bdb634b28c2a0f308928a6ce8dcf8895c,Barbra Streisand (Radio Edit)
292,Dance Monkey,Tones And I,2019,https://www.youtube.com/watch?v=Hx4nWW9z0ig,e1c3101d22776518a22afe8efa3fa9668f5a331c8e73c483177f0183efcd88c4,Dance Monkey
291,Blinding Lights,The Weeknd,2020,https://www.youtube.com/watch?v=H64a2ggVIWc,d578815c8829db7025b839819898a27a8c13457872f61a88c02f59acbbc75098,Blinding Lights
290,drivers license,Olivia Rodrigo,2021,https://www.youtube.com/watch?v=l0txe6yk8Kc,3d7980ce17a0c02ed3114f8c413875f77c960e455d9e2ecb30f1f10537074fef,drivers license
289,More Than a Feeling,Boston,1976,https://www.youtube.com/watch?v=ufQUxoidxkM,3d7f18d9ff15ca24318a0d4fc6f7f7e54efb600cd50974ca97ac4eef5538d0b1,More Than a Feeling
288,Mi enfermedad,Fabiana Cantilo,1991,https://www.youtube.com/watch?v=1YfCh5NLE30,557fb04daff0e4a43b9ef374229de67e8cbb64249db118ef86a8909bfac5fa22,Mi enfermedad
287,Read My Mind,The Killers,2006,https://www.youtube.com/watch?v=TUpVA00ZKIs,f97503ffb42f2c93299254d9047cd37cbe908777bc71e86d7008e6d745a238ca,Read My Mind
286,Vámonos De Viaje,Bandalos Chinos,2018,https://www.youtube.com/watch?v=Rwdd9TERzvk,1dd85e18359e14ff169fef2610b5795b7c2139330df67d889459de6f26d58f02,Vámonos De Viaje
285,Enamorado tuyo,El Cuarteto De Nos,2012,https://www.youtube.com/watch?v=R5cbxTPZNL0,5b217fe193a20ac2a979adcd491dcdfb3df62536b4c9fb1d01ca694a8f4cbb68,Enamorado tuyo
284,Get Back - Remastered 2015,The Beatles - Billy Preston,2000,https://www.youtube.com/watch?v=YEESfv-11ng,3c0bf058db8c4cb457a24f6b74520b4b193699c683753c69a4ae721167f459ef,Get Back (Remastered 2015)
283,Someone You Loved,Lewis Capaldi,2018,https://www.youtube.com/watch?v=pRIZohFFOMo,323aeaa8c8b8cd99745baf84008de2e5c3477120032bc4b6427998a256bb1b90,Someone You Loved
282,"Luck Ra: Bzrp Music Sessions, Vol. 61",Bizarrap - Luck Ra,2024,https://www.youtube.com/watch?v=ImGDE-rElVg,3c1a275997f55b99060a020ee3631484e4b016b813032e23fec567aa4864d98f,"Luck Ra: Bzrp Music Sessions, Vol. 61/66"
281,"Sugar, Sugar",The Archies,2007,https://www.youtube.com/watch?v=OXz_aJ6U7EA,d88c716b75bb4d3764a2dbc4e163cde195f29f0c720507700d688653ecd36f75,"Sugar, Sugar"
280,American Pie,Don McLean,1971,https://www.youtube.com/watch?v=iX_TFkut1PM,27b560454c0379b983618c7eb76c6eddf4aacde1bee0859d2595e7fed6799005,American Pie
279,Mañana Campestre,Arco Iris,1972,https://www.youtube.com/watch?v=hCi1wts37iY,b1f006524424eca16ede066131c2a38f712bb2852403d56e9942057adf105ad5,Mañana Campestre
278,Luna Tucumana,Atahualpa Yupanqui,2015,https://www.youtube.com/watch?v=PTPX4WOagMg,4424e276d97e3928d89a7e3cb31bce1200d3caff8d4e0614f4dcb0eb603a510c,Luna Tucumana
277,Eres,Café Tacvba,2003,https://www.youtube.com/watch?v=6cjUGT6vcfU,baec75f80a4376243598a5b5fa01b9c7be72fd37df77c4170a591ac37e6f18b8,Eres
276,Life on Mars? - 1999 Remaster,David Bowie,2002,https://www.youtube.com/watch?v=xUqbaAHt1qI,b0fcb3661d1df902baba9ebd2b491a73b1e88e3703d629fc888942026e8ee39c,Life on Mars? (1999 Remaster)
275,If You Leave Me Now,Chicago,1976,https://www.youtube.com/watch?v=OaOQdWyN67U,a5e506dbcc692646bb9df891dfc326b0647a4ef8c08458fd827d09ab29c65132,If You Leave Me Now
274,Piece of My Heart,Erma Franklin,2009,https://www.youtube.com/watch?v=QsRo9JNrNe8,746cbd8018d6fbbf1cf7a82992a2a7371d6dc5c5510004e313ab94d163893ed9,Piece of My Heart
273,Have You Ever Seen The Rain,Creedence Clearwater Revival,1970,https://www.youtube.com/watch?v=Xwy-3aI435o,9a5523c11ebfe42f16edcc5f950b431b5a72128f640ca10e9ce8f6a0844f3494,Have You Ever Seen The Rain
272,Celebration,Kool & The Gang,1980,https://www.youtube.com/watch?v=TBS6gAtj8gE,ac83c162f1079c8e65f88dfab09eebd8e34dfa17f741d9609712b17f947876e9,Celebration
271,Rehab,Amy Winehouse,2006,https://www.youtube.com/watch?v=t2TKqJ2FXGM,28553d02f674514f4c63b7be5b5d5e64d6c47e9627019ac946be1740b2d7a772,Rehab
270,Mr. Tambourine Man,The Byrds,1965,https://www.youtube.com/watch?v=XD7eOTeIGmA,0c8cd4018ec7209e782d92d6f41594a7bc9b0f57ee365f0e905570c96ce39725,Mr. Tambourine Man
269,Que Suerte!,Violeta Rivas,1964,https://www.youtube.com/watch?v=bB9MXbgQSiw,87728ab65a4759057578f3ac64e0117b0fe8f7812d1a1e8d4305e4edba79abe2,Que Suerte!
268,BUENOS AIRES,NATHY PELUSO,2020,https://www.youtube.com/watch?v=sDYftlGw-N8,cc3f0c61265de5c9bff7e46c3c89be1671a6734834ce13b1b84517f4cfd63435,BUENOS AIRES
267,California - Demo,Phantom Planet,2001,https://www.youtube.com/watch?v=QfhEq55ax9c,4b5507dc5b4101977ccb5b6db09f46d5eff0a18a33f7c80ca3c267d8e0ed034d,California
266,Dragostea din tei,O-Zone,2004,https://www.youtube.com/watch?v=f7P5Q2IIT4U,b54c44381f63057d544846925c4009861fc7da298da162add174f545eb9da5db,Dragostea din tei
265,Karma Chameleon,Culture Club,1983,https://www.youtube.com/watch?v=h5WA79F4UCs,0f4427d35340f6d57380bbb9c29d10b2dffce8301fdc2a0d3319f3bfb30224b6,Karma Chameleon
264,Escapar,Enrique Iglesias,2001,https://www.youtube.com/watch?v=zfrT0k65Eo4,58377f5ca481fc1e80724d94b510aac33d675e61c042849e835b691901c4d9d7,Escapar
263,Porcelain,Moby,1999,https://www.youtube.com/watch?v=Mw3LlFb0rRA,e51c7bb08e441432fb9a94f72018fe92466848f4cc6c64f534c0e08742c1f79e,Porcelain
262,Tears in Heaven,Eric Clapton,1999,https://www.youtube.com/watch?v=N-cgJwl8juU,51b7dc3a2313859b66269a23d6018d4aa7ad0c190848a0df857ed1bb4551a2cf,Tears in Heaven
261,That's Amore,Dean Martin,2009,https://www.youtube.com/watch?v=mUzD-1klU88,d2016bf23a4af2805b7c5f0d73d2b5067b539353e56113ea98e7503c7bd43671,That's Amore
260,Happy Together,The Turtles,1967,https://www.youtube.com/watch?v=BqZ6sRHpWIk,5a18d133c6151f6d632f6b8cc6f5e99c0da836237f5c4246921877ecd5eeaa6f,Happy Together
259,La Camisa Negra,Juanes,2004,https://www.youtube.com/watch?v=rx0PIgnU9Gs,8196605786f08ff5e57655b940047f49e864a36dac3cf865914c8f444aedc7d9,La Camisa Negra
258,Don't Stop Believin',Journey,1981,https://www.youtube.com/watch?v=mM3Vmn4pdog,16d33310df23f27326dbcff57deaf7c8075fbcff4cb3a156be14edc3bb544c2e,Don't Stop Believin' (2022 Remaster)
257,Don't Call Me Up,Mabel,2019,https://www.youtube.com/watch?v=pr4wzmibA2E,cb40b97a2a1a9046326365a0c7f50a1079a6ed8a98f1c97297b975ca7ec0a515,Rubyoung R630 - A Customizable Premium Bluetooth Speaker You'll Love (w/ Audio Test)
256,Beat It,Michael Jackson,2008,https://www.youtube.com/watch?v=kOn-HdEg6AQ,2f094089e60becbf841c8a8efc9305312aa02d8f38511bbdee061599f75a7866,Beat It
255,My Generation,The Who,1965,https://www.youtube.com/watch?v=fRipFYoji2A,5d99af79e0857341ac2cc3a85deb78c796c42c0b8870e1dfdc97689bb093b160,My Generation (Mono Version)
254,Bad Habits,Ed Sheeran,2021,https://www.youtube.com/watch?v=hJWSZDJb-W4,a2dfe3024c278d31b9e6db686cb0515ef0758bcef3122e7aa33935cfe54e168d,Bad Habits
253,RAMEN PARA DOS,Maria Becerra - Paulo Londra - XROSS,2025,https://www.youtube.com/watch?v=SIJIm45KO2M,86810e59415020c1e4fa479273779a3a4a33367b0d53d644cafaae582b26a528,RAMEN PARA DOS
252,Lunes Por La Madrugada,Los Abuelos De La Nada,1994,https://www.youtube.com/watch?v=Rj8zXVQ3j18,9de345349b5a324395504d117e1b710f8db11ce6682719f2c02bfdbda5c666ff,Lunes Por La Madrugada
