Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title
308,Panda,Desiigner,2016,https://www.youtube.com/watch?v=mXNyDEZv8e8,ac73e3622558d2c9b0a4cb8c3de4c4b1bb15689419c2f650424b4c9993953964,Panda
307,Starman - 2012 Remaster,David Bowie,1972,https://www.youtube.com/watch?v=aBKEt3MhNMM,2562c2a97130939f9718c6828aacc593a0e90dc6977aac9978e4bdbcd6c12c0a,Starman (2012 Remaster)
306,Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,1979,https://www.youtube.com/watch?v=pa2j0Bh83ms,fea458b99e8e085610ef2393a032f3d7fa2607066b64c108a0d98c5b9b08ac9a,Gimme! Gimme! Gimme! (A Man After Midnight)
305,Sweet Home Alabama,Lynyrd Skynyrd,1974,https://www.youtube.com/watch?v=iL-jC7XyLeo,979ec8aba71700374c6b790ae6d6e5010e88ddb911bf5e4053db57baf6f40668,Sweet Home Alabama
304,Super Freak,Rick James,1981,https://www.youtube.com/watch?v=wnKc4zi0MLA,8f383370cb72000066edfc8659a5ee96c38e4f30facafdc67416beea6169792d,Super Freak
303,Hit The Road Jack (1960 Recording Remastered),Ray Charles,2021,https://www.youtube.com/watch?v=uSiHqxgE2d0,a11e7152e03c930f70669aea34ab1c97ced473a645496b2a3a1fa51847cb1167,Ray Charles - Hit The Road Jack (Official Lyrics Video)
302,"Signed, Sealed, Delivered (I'm Yours)",Stevie Wonder,1970,https://www.youtube.com/watch?v=6To0fvX_wFA,e49d9a36dfd1f19b55441e61dcfde98eabf2a26121873b6aedb4f238018470ca,"Signed, Sealed, Delivered (I'm Yours)"
301,Bad Habits,Ed Sheeran,2021,https://www.youtube.com/watch?v=hJWSZDJb-W4,a2dfe3024c278d31b9e6db686cb0515ef0758bcef3122e7aa33935cfe54e168d,Bad Habits
300,Englishman In New York,Sting,1987,https://www.youtube.com/watch?v=hgGlDovNMog,30acf16487b4614bb374a86121b9fddd1b43cd0455b94191e95a13d62aa9fc04,Englishman In New York
299,Hard Rock Hallelujah,Lordi,2006,https://www.youtube.com/watch?v=gmhpUne5B5I,6a2cda328eca2dcfea784694bf52d10cfdf25009a1d04c61ca257f47d4edf11e,Hard Rock Hallelujah
298,Karma Chameleon,Culture Club,1983,https://www.youtube.com/watch?v=h5WA79F4UCs,0f4427d35340f6d57380bbb9c29d10b2dffce8301fdc2a0d3319f3bfb30224b6,Karma Chameleon
