Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title
308,Barbra Streisand (Radio Edit),Duck Sauce,2010,https://www.youtube.com/watch?v=piQZdu4wD60,614f77a061ac379f001856ddd3807a9bdb634b28c2a0f308928a6ce8dcf8895c,Barbra Streisand (Radio Edit)
307,When a Man Loves a Woman - Mono,Percy Sledge,1966,https://www.youtube.com/watch?v=dsQriJbxYBU,a86801463797ccf9042861b980d2027c7553895bdd5b4043d56cc37a04ac6088,When a Man Loves a Woman (Mono)
306,Let It Be - Remastered 2009,The Beatles,1970,https://www.youtube.com/watch?v=QDYfEBY9NM4,607ee409456c3d10afbfa296c61655a0d03f93ce99d1449fa40aef1bbcedb5a7,Let It Be (Remastered 2009)
305,Light My Fire,The Doors,1967,https://www.youtube.com/watch?v=PsZarHxfAPA,03d7b9472753d84c6693cd1d07c789e870a63770b586db8bb8a90d5e638582cf,Light My Fire
304,O vira,Secos & Molhados,1973,https://www.youtube.com/watch?v=Yar5xHImdwo,38926287fe44d149878a00f8872bbd73847e10331bfcc3cb868be72642674133,O vira
303,La Bamba - Single Version,Ritchie Valens,1959,https://www.youtube.com/watch?v=Y_Tg3s-9HSk,32f37da5015f1e98bc6a4c8383719a5706814be64b93101dda5ee13b3486533f,La Bamba
302,"Oh, Pretty Woman",Roy Orbison,1962,https://www.youtube.com/watch?v=efzeF3g6Q20,6fd2cdc414a7bce04c91c50abe26f2403f729c8f846bc756af543f2d0c9f3c33,"Oh, Pretty Woman"
301,I Like It,Cardi B - Bad Bunny - J Balvin,2018,https://www.youtube.com/watch?v=0CT4qFzpZoc,249991f357df9815901f7a3f43abb1090c832ba54552fb0b3be61e8a21b56f56,I Like It
300,Paradise By the Dashboard Light,Meat Loaf,1977,https://www.youtube.com/watch?v=a136H5K3OKw,fcfde09f081fbc0801c6bce85e7632c3791386b08e4c3a4781702bdea8e44de7,Paradise By the Dashboard Light
299,Anna Júlia,Los Hermanos,1999,https://www.youtube.com/watch?v=QOl_wKBtsiM,4e5c1709b0665be272edaf587446167ec4b5e9f03c29bb2735dedf4a257462be,Anna Júlia
298,O Sol Nascerá (A Sorrir),Cartola,1974,https://www.youtube.com/watch?v=kNQ9UX2f9SE,341a08b3b5f5a25ced0f4751c4aa98f110421a856fd6e9a30015bde04e041a87,O Sol Nascerá (A Sorrir)
