Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title
420,You Know I'm No Good,Amy Winehouse,2006,https://www.youtube.com/watch?v=Pr3g9TPPuH4,47aaa37493014d04ee42de0b285b123b953c1f73c8ea86888aa7f5d45c0cd8cc,You Know I'm No Good
419,Say It Right,Nelly Furtado,2006,https://www.youtube.com/watch?v=7JFtfM9rVvQ,621c2e0f77d58e12c1313884f215e60613ae8a3bdb763ae6743b38aa026a03ca,Say It Right
418,Tití Me Preguntó,Bad Bunny,2022,https://www.youtube.com/watch?v=juRFjpB5Ppg,d5590ab046a83d3ee835ba7e74c9ee937340859778865d6118571c4c8b804d7d,Tití Me Preguntó
417,Say You Won't Let Go,James Arthur,2016,https://www.youtube.com/watch?v=TUnEJM6W-Fw,ad38460f78c3645c4be3d452b8451e28e1f61a54a80affa1a85f62e3d360b510,Say You Won't Let Go
416,Womanizer,Britney Spears,2008,https://www.youtube.com/watch?v=x9xQZQn-3ok,e36bb42bc7484ea2eb731aed4b505e6f1200113593c8b8344d6ec31e69059ef0,Womanizer
415,You And Me,Lifehouse,2005,https://www.youtube.com/watch?v=iKtaPk8dCMc,c00e3c7c6b42dedb102dbbfe84c35ceea06a48e27468c3f1aff41256a3c781dc,You and Me
414,Animals - Radio Edit,Martin Garrix,2013,https://www.youtube.com/watch?v=DYf28lOb8KU,75984f9c8c19512adcd215c2770f1252e8b18f0de0cf5073f9aadd083c3e5f6a,Animals (Radio Edit)
413,Judas,Lady Gaga,2011,https://www.youtube.com/watch?v=9WfWnkVLwao,33d3a96e695610169dd481171660de9c00ca1e7ae08d7227a70c91f2b384d597,Judas
412,You Make Me Feel... (feat. Sabi),Cobra Starship - Sabi,2011,https://www.youtube.com/watch?v=sueq-SSnki4,bc87ec6478683d7f7fe5509ea120b6843cd52082ed0f36a3dfe88e50b2f2c1db,You Make Me Feel... (feat. Sabi)
411,Party In The U.S.A.,Miley Cyrus,2009,https://www.youtube.com/watch?v=7ARXrfGbQaI,c6025b48b47f4e8282527a9842cf00df5d942191737ffc33c2d1fc8fa64770ef,Party In The U.S.A.
410,Anxiety,Doechii,2025,https://www.youtube.com/watch?v=mpFRWmaDjhA,b2fb10e12986936df0c6ade034612d9634005503a3b327e8ffb17aa8ac5770e8,Anxiety
409,Just the Way You Are,Bruno Mars,2010,https://www.youtube.com/watch?v=Gfs5JTn2EvQ,08a3b4fe6f38c05ae77dee6bd5e183f73d1d903b0637dd367a8f013e6bf4f00c,Just the Way You Are
408,Pompeii,Bastille,2013,https://www.youtube.com/watch?v=AGrZ5AJmJFU,26d56e5b0fc7fe050269418ce6fb91a16be5d743ff821325eb55c23a00bca6e5,Pompeii
407,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth - Selena Gomez,2016,https://www.youtube.com/watch?v=YLuP3Z7ikfk,64668e86713c21a428bd8d56432ac476e160ed9d3dd4eb07189498a4079e2754,We Don't Talk Anymore (feat. Selena Gomez)
