Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title
308,Firework,Katy Perry,2010,https://www.youtube.com/watch?v=n55j6OfP25k,66f38a23d6308aa21858278215fafe125ac60632a3967ed39e49d3a653379899,Firework
307,When a Man Loves a Woman - Mono,Percy Sledge,1966,https://www.youtube.com/watch?v=dsQriJbxYBU,a86801463797ccf9042861b980d2027c7553895bdd5b4043d56cc37a04ac6088,When a Man Loves a Woman (Mono)
306,Let It Be - Remastered 2009,The Beatles,1970,https://www.youtube.com/watch?v=QDYfEBY9NM4,607ee409456c3d10afbfa296c61655a0d03f93ce99d1449fa40aef1bbcedb5a7,Let It Be (Remastered 2009)
305,Light My Fire,The Doors,1967,https://www.youtube.com/watch?v=PsZarHxfAPA,03d7b9472753d84c6693cd1d07c789e870a63770b586db8bb8a90d5e638582cf,Light My Fire
304,Jolene,Dolly Parton,1974,https://www.youtube.com/watch?v=gkMSLx2ly0A,76604b2f44004d1c3367c11f5d733e794ef211fae7e3741d7638b97946899395,Jolene
303,La Bamba - Single Version,Ritchie Valens,1959,https://www.youtube.com/watch?v=Y_Tg3s-9HSk,32f37da5015f1e98bc6a4c8383719a5706814be64b93101dda5ee13b3486533f,La Bamba
302,"Oh, Pretty Woman",Roy Orbison,1962,https://www.youtube.com/watch?v=efzeF3g6Q20,6fd2cdc414a7bce04c91c50abe26f2403f729c8f846bc756af543f2d0c9f3c33,"Oh, Pretty Woman"
301,Shallow - Radio Edit,Lady Gaga - Bradley Cooper,2018,https://www.youtube.com/watch?v=BpIf43m2ZQI,adfcad35ce4d9570ad1f688d1df057ddb0b121114c2caf0fec63ca62aa6a791d,Shallow (Radio Edit)
300,You Make Me Feel (Mighty Real),Sylvester,1978,https://www.youtube.com/watch?v=s8SM6Suzas8,38c3ba1706d8bf726d16f00bb1678fbca42ae066af77f28938084896cb2027cd,You Make Me Feel (Mighty Real)
299,It's My Life,Bon Jovi,2010,https://www.youtube.com/watch?v=bY3vXr7fm8k,a0d126f072d8f65ddb811f8fec4964a237ce8d133eae2229a3355faf3bf44199,It's My Life
298,No Woman No Cry,Bob Marley & The Wailers,1974,https://www.youtube.com/watch?v=ACIYuW91Zms,bd9b99d0795da89ac6f3b0988254c2e7c0b10e70e39ebe2f9e56ad24f1fdc5ed,No Woman No Cry
297,"Mrs. Robinson - From ""The Graduate"" Soundtrack",Simon & Garfunkel,1968,https://www.youtube.com/watch?v=_C2vqI9FVwg,bc36e8dd6bf97eb09f9940e3c8cc8d8d83843c012e11f17f020ca7832c88442c,"Mrs. Robinson (From ""The Graduate"" Soundtrack)"
296,You're Beautiful,James Blunt,2005,https://www.youtube.com/watch?v=i0N4hmT0NLw,6b4ab9078162de3eb6a7499ef1d09c420e1dee884fa67770634ad9bbc6f076db,You're Beautiful
295,Twist And Shout,The Isley Brothers,2005,https://www.youtube.com/watch?v=coTvaGhU9kc,501906c8ff6aa0538daf4fdf5837ad3a5ca7ac4114b35a3d7db66000743ae162,Twist And Shout
294,Set Fire to the Rain,Adele,2011,https://www.youtube.com/watch?v=a2giXO6eyuI,ef6db5181f36e78f87544693f68de5beddf3fb80671573cd4d5eae0de0cffdc6,Set Fire to the Rain
293,4 Minutes (feat. Justin Timberlake and Timbaland),Madonna,2008,https://www.youtube.com/watch?v=Cp4Ku-7jXh8,7a03a7c4d43132d3de210309fb50ce32bc9e03a24c35a07816c080cdf3b4dfa1,4 Minutes (feat. Justin Timberlake and Timbaland)
292,bad guy,Billie Eilish,2019,https://www.youtube.com/watch?v=yfH5H2oO8i0,18d1bc71ecec71204c34aabdfe425b11f0b744823b6d1408058d8cd950418785,Cyberpunk 2077 — No Limits
