Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title
308,Skyline,Pegasus,2013,https://www.youtube.com/watch?v=tVk2uWKGY8k,5f19b70983dcc63ae5648ca8ee7766f21a45aa035df3ecb21d0b9f0b8196dff4,Skyline
307,Swiss Lady,Pepe Lienhard Band,2007,https://www.youtube.com/watch?v=HtyZVrISvfU,fe00ab06470974465fb5c86fa7e139ea253e36dfeebfc62e4cc013ac434c1d83,Swiss Lady
306,Cambodia,Kim Wilde,2006,https://www.youtube.com/watch?v=VIN0q8vDQJc,ad05ab563a6f6c2429db96baf0c40f93c65be2062d8a25026c8128ad1164a7ed,Cambodia
305,Tu sei l'unica donna per me,Alan Sorrenti,1999,https://www.youtube.com/watch?v=eqPJh7USgYg,b4c06d7911ac2dea9b59196a57226379d0c79d5d0bc9d1d23b21c4883f6e488b,Tu sei l'unica donna per me
304,I Like Chopin,Gazebo,1994,https://www.youtube.com/watch?v=HBiiYsRt0Aw,af77dd1ebf42c8fbbe6f29f8cb0cebba7c38cd24bed1ad14573cba4f2fdb72ef,I Like Chopin (Classic)
303,Chirpy Chirpy Cheep Cheep,Middle Of The Road,1989,https://www.youtube.com/watch?v=rbHOornfq-s,8a46869c02187bdf4b61f26a1ecf46dc54789f47af06a480264175b960607f83,Chirpy Chirpy Cheep Cheep
302,Bohemian Rhapsody,Queen,2018,https://www.youtube.com/watch?v=bSnlKl_PoQU,6da751919f9603ea5d2a3c3bf828588f754f6b2b899b0768896116f510a1c0c9,Bohemian Rhapsody (Remastered 2011)
301,Punto,Loco Escrito,2019,https://www.youtube.com/watch?v=lrARQOYm7Fk,4a380ebfc38901963e9dc98891a67f6e40841d5a7f38d56fe9894d00c5db0b04,Punto
300,Voyage voyage,Desireless,2001,https://www.youtube.com/watch?v=It1Gv3xdD6U,63c1e5a11f1effe8b9eeade6e3b70c7ea143ac64a019ce7a428acb0c1c326360,[HD] Desireless - Voyage Voyage
299,La Camisa Negra,Juanes,2004,https://www.youtube.com/watch?v=zIVzqRmDu70,2d2ea9bdfe148055242cff9e7d7e880539d014a52af98e43e5d4eef6d13af8b6,La Camisa Negra
298,Big in Japan,Alphaville,1984,https://www.youtube.com/watch?v=t170TBvlZZY,babe9b70a9f378a89a9a8d26873b199d3c77ca0dde5c0a85b555c8f07dbc68ab,Big in Japan
297,Boat On The River,Styx,1979,https://www.youtube.com/watch?v=y2l5xkZvd0Y,45c52e88ef64132e09b0e9e8c4622bf2e2b03b190bd46b6c2774963e8b6e5354,Boat On The River
296,Wänn Nit Jetz Wänn Da,Sina,2007,https://www.youtube.com/watch?v=bIWWve64nJY,f7a147f9f1e2218e7c873093c6cb0656611b5f0a81a23c2dc4c2c99828c6336a,Wänn nit jetz wänn dä
295,Mama Loo,Les Humphries Singers,1982,https://www.youtube.com/watch?v=d4ibn6LjNE8,8c9db9d3d58ddd6601f346def14ffe5741cecf68c631ee7b2eb68920dcf78ec1,Mama Loo
294,Z'jung für mii,Trauffer,2013,https://www.youtube.com/watch?v=pC5c9L20B2I,e989c05ba08569f476f7246adcdf2f59cda9eab47f739fae59e0f6f4e68eab08,Z'jung für mii
293,Up in the Sky,77 Bombay Street,2011,https://www.youtube.com/watch?v=-ATshx48KfU,13c84a725146accf0ba6db68f278937c02380166e8c817a98d18eb7bb1cd1df6,Up in the Sky
292,Petra Sturzenegger,Stubete Gäng,2019,https://www.youtube.com/watch?v=phX5MNBbUT8,03e0f45d32b6ea555f35dbd10351c865a5273bb7e223d6f5decd7a9d6adfd6c8,Petra Sturzenegger
291,She Got Me,Luca Hänni,2019,https://www.youtube.com/watch?v=ydbjgQU1G_o,e669133f9d87783d3d10b112b37b0ab03e4f6e0ba9d3ceb6e489b8b0c7e25519,She Got Me (Bonus Track)
290,Love Tonight (David Guetta Remix Edit),Shouse - David Guetta,2021,https://www.youtube.com/watch?v=c8912QTmfTE,582850eba43c9cd4b337dc67c31c57e9c29b3ec2424b068c1fe4165c67206e91,Love Tonight (David Guetta Remix Edit)
