Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title
308,3 A.M.,Jesse & Joy - Gente De Zona,2017,https://www.youtube.com/watch?v=ZNBqCdakxB8,60c7a308ae8eb2b9c2e5c5f5ddc387df7e1f788c60ab8eb936c8e159d74f2f54,3 A.M.
307,"América, América",Nino Bravo,1976,https://www.youtube.com/watch?v=RZheqt_7c1A,a22d810c74ddc18e29d546104f6ef1e7512cf1a82a8584d19a4275127cd9b0ef,"América, América"
306,Tu No Sabes Querer,Lalo Rodriguez,2004,https://www.youtube.com/watch?v=-GohG0xJaCI,ade2a5f474f46e2e18d187ef42cc42b4d9e6245845c91d934b97128ed3271f77,Tu No Sabes Querer
305,En el Último Trago,José Alfredo Jimenez,1991,https://www.youtube.com/watch?v=pYphXd6AS2o,c8466649b8d5a00a94698b806441e6680bad3b2728695b5b6241d35c3410c681,En el Último Trago
304,¿Y Cómo Es Él?,José Luis Perales,1982,https://www.youtube.com/watch?v=f9sGyvLfQk4,a019d8e1795772e4e360d68b68a711ef42f157b6eeecf42ad5d6cbb28d25fac6,¿Y Cómo Es Él?
303,La Bamba - Single Version,Ritchie Valens,1959,https://www.youtube.com/watch?v=Y_Tg3s-9HSk,32f37da5015f1e98bc6a4c8383719a5706814be64b93101dda5ee13b3486533f,La Bamba
302,"Paco, Paco, Paco",Encarnita Polo,1970,https://www.youtube.com/watch?v=7zt70FhtdlU,5147e7b41114bdd9a1b399e6c6b0c25bceb7665b89b76a4ffc834b9e1fd192d5,"Paco, Paco, Paco"
301,El Merengue,Marshmello - Manuel Turizo,2023,https://www.youtube.com/watch?v=QtS4R89oHkM,985fce69d9b9b192cdf0f68671ea7453e84a5686284e1093164bb6e62fe8ed32,El Merengue
300,Hombres al Borde de un Ataque de Celos,Yuri,1988,https://www.youtube.com/watch?v=TdGssq73MWE,afe3e3392406a45ce95914e331266ef27d5b2bb60240eed400c88f8950bcd7cf,Hombres al Borde de un Ataque de Celos
299,De Rodillas Te Pido,Luis Miguel Del Amargue,2008,https://www.youtube.com/watch?v=V4L02kdqLa4,4119725facd29264217ced6ae25afd9cd71dd01130e032d7c8f00c13533d2ede,De Rodillas te Pido
298,Decisiones,Rubén Blades,1984,https://www.youtube.com/watch?v=CRqityqhhEY,468e81d23155efa0d35e9d29b54bb96fc498cdf25cbc116b8b532627cb2b0861,Decisiones
297,Echame A Mi La Culpa,Albert Hammond,1994,https://www.youtube.com/watch?v=7NAKZ2_MHiA,2ab408bbe5b757f77089a447d30349cb23b49a5932df7690f26b18cf65ff4f5d,Echame A Mi La Culpa
296,Eres Tú,Carla Morrison,2012,https://www.youtube.com/watch?v=wG2Qr9G9klw,332c306cdaab4d203223a88cd930b898754468649dca7eaa1c0125788e1fa8b6,Eres Tú
295,Cómo Te Extraño Mi Amor,Leo Dan,1964,https://www.youtube.com/watch?v=D8YGud-8NFs,7799fbf11b2299db2385b71a353a1c5cf2df1246c36416444489159f04ff138c,Cómo Te Extraño Mi Amor
294,Mala Mujer,C. Tangana,2017,https://www.youtube.com/watch?v=Fi8V_SMBmiU,c105d2d54751864f1a7a22e7ff6bdc5f81d77369a63fc73172369de9434defa1,Mala Mujer
293,Quédate Con Ella,Natalia Jiménez,2015,https://www.youtube.com/watch?v=yeQ_i2LdtUs,2d2ac6d91021013a268199749c85f21aa6c905d1b0b79c8484466daf7cff3e8c,Quédate Con Ella
292,La_Original.mp3,Emilia - TINI,2023,https://www.youtube.com/watch?v=bdZuMdTk25U,6357da63d9c029f762a4c5d104a25c66dda62d5559b17be404600fa9946d67a3,La_Original.mp3
291,EL AMOR DE SU VIDA,Grupo Frontera - Grupo Firme,2023,https://www.youtube.com/watch?v=Qa4l4eLxb3Q,19e8974a48fc394e7e9af10e6b29866f14b78ac627a0593ad01c5c32646078c8,EL AMOR DE SU VIDA
290,Una Vida Pasada,Camilo - Carin Leon,2024,https://www.youtube.com/watch?v=hrcBnDALOQs,67abab6b1ebd3151e7f47833fe951265d8d35002fa06698bf8ff18a380b6041d,Una Vida Pasada
289,Cuando Pase El Temblor - Remasterizado 2007,Soda Stereo,1985,https://www.youtube.com/watch?v=7PHqjNbwnwU,ff3556bab5150454ad0e1cce1080364cf6cedf8dae03b70bf7aaa09998eb2111,Cuando Pase El Temblor (Remasterizado 2007)
