Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title
154,Ahnma,Beginner - Gzuz - Gentleman,2016,https://www.youtube.com/watch?v=tI828DaW7dQ,4ccaffad6d2f526ca7bae3c9ec859b3e4f8b30e4583cd07a2566e9dda82ec505,Ahnma
153,Traum,CRO,2014,https://www.youtube.com/watch?v=iydk9Z7PKRA,5a92e7a8bd7bfa616842cfa9c20679ef713e35ecf1e81b157a0652bffccc9791,Traum
152,"Höha, schnella, weita - Länga",Rödelheim Hartreim Projekt - Moses Pelham,1996,https://www.youtube.com/watch?v=kNJaLo9f89A,22d4ddc5089f3d32e2a090fa4dad41d6fef22f78ab9b5b638e9a4a2ede592d57,"Höha, schnella, weita (Länga)"
151,Doo Wop (That Thing),Ms. Lauryn Hill,1998,https://www.youtube.com/watch?v=2yu0O7_PPpM,ca9d2afafbb9ae43ad8256a301e3e139a9dafdddf944be83e728d7369c760cc5,Doo Wop (That Thing)
150,"The Message - 7"" Version",Grandmaster Flash - The Furious Five,2006,https://www.youtube.com/watch?v=jwo8-IUzOuc,8e1a38aac5f76ab8ff30d17f890d0725f96106338f1d92ff9de8d1d32425dab0,The Message
149,It Takes Two,Rob Base & DJ EZ Rock,1988,https://www.youtube.com/watch?v=wPUQvSk44Rc,5c87c4fdda8b4568c81a4850518fc283240384ef0fa5acda718e928bc7cf31ed,It Takes Two
148,Tha Crossroads,Bone Thugs-N-Harmony,1995,https://www.youtube.com/watch?v=WRGzLl1DTqo,60b19a0107b54b116c2c732b15d9d9dd8025426bf3a0ef003a59b5ac3faa3aed,Tha Crossroads
147,Nordisch by nature,Fettes Brot - Gaze Matratze - Der Tobi & Das Bo - Eißfeldt - Fischmob - Supermario - Cram - Tabularasa,1995,https://www.youtube.com/watch?v=QeFEOklro4I,0a6954544aecb1cc8310cde7617dbb7d7af17bcd4039d8e529bba683b66e3e71,Nordisch by Nature
146,Kids (2 Finger an den Kopf),Marteria,2014,https://www.youtube.com/watch?v=F3bF-iNHxxE,1c0957b57f1e734c13d6e2a03fe78407ef1d2289567a7473d2ce606fd0614874,Kids (2 Finger An Den Kopf)
145,Jump,Kris Kross,1992,https://www.youtube.com/watch?v=MS9qGfK3Z30,6e8e3369d395bc4b905fcb8062bf2f234796304833d603dffcc5d8fbd0abe3b4,Jump
144,Funky Cold Medina,Tone-Loc,1989,https://www.youtube.com/watch?v=_J52ADRbnWg,6d98e9ea72cfd007f1defcf05322122901d9d722541cb5c3e9bd43d057d29354,Funky Cold Medina
143,Anxiety,Doechii,2025,https://www.youtube.com/watch?v=xZWbh0iz_WQ,314438286b3d192db11106f7234ea36677d988a57abe05bc54aeb364bc9f01ce,Anxiety
142,Me Myself and I,De La Soul,1989,https://www.youtube.com/watch?v=a0ZhDbZIbiM,986b56840fcf7a1a29daa1b4e8187e39f2d46cf5bf71a9c22d0c45d127f084f3,Me Myself and I
141,bauch beine po,Shirin David,2025,https://www.youtube.com/watch?v=2kpgGbInVE4,024223d1e73d61bc9cea7daf5554c6f69ecc4687870d67b03ea41f79e886557b,bauch beine po
140,Affalterbach,Shindy - Shirin David,2019,https://www.youtube.com/watch?v=c3f6QdP221M,768409616efd94d12c17bb52ee38ca26caea7fb0d1a66fd9ee7cf0f34ff851c3,Affalterbach
139,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis - Macklemore - Ryan Lewis - Wanz,2012,https://www.youtube.com/watch?v=27WDAYaVS-s,91072db5bf7b2dc7211c6641c87791caafb6e2845dfd0a80b467c977a0502343,Thrift Shop (feat. Wanz)
138,Waterfalls,TLC,1994,https://www.youtube.com/watch?v=A_iTphwVNYs,92f9ae5c6c55f8edc92408b1d92b2f90ec87db6178b62741877e2f9699738c82,Waterfalls
137,All 4 One,Kool Savas - AZAD,2008,https://www.youtube.com/watch?v=YKhcB1P44aY,62db1d8af6d4b9b103c58ba9862d2bcc4eeaa70f95b821f63809835e487e4002,All 4 One
136,AKON,Jazeek,2025,https://www.youtube.com/watch?v=s9aGh3ZuWYY,1c776e409946b9e550ead6be54159114e91c7a9a11b9d626fe9da04bbe5dcad3,AKON
135,Planet Rock,Afrika Bambaataa - The Soulsonic Force,1982,https://www.youtube.com/watch?v=nGsQT3DAo7M,52dfea2d79af64c4bc5a2479e524b3e2c745610b30dc0f715e99568e819473d5,Planet Rock
134,The Breaks,Kurtis Blow,1994,https://www.youtube.com/watch?v=1pEp6DjVkmw,a85b452e2fed1500849a88d04245441861cb60a2bad8888fd3a54c9f2262a39c,The Breaks
133,Truth Hurts,Lizzo,2019,https://www.youtube.com/watch?v=pzFPNctITis,2d5f128fc5277193956c0bb81d99d7f41ef608c362e428cef712e331aadab105,Truth Hurts
132,Rapper's Delight,The Sugarhill Gang,2010,https://www.youtube.com/watch?v=bIEFMhQRlRo,f6679b0bd2f91f1d81840a8b433995a71dc7fe24c70c4bd5235d09f41fad673f,Rapper's Delight
131,Empire State Of Mind,JAY-Z - Alicia Keys,2009,https://www.youtube.com/watch?v=_ydMlTassYc,3fe9ae3461a9fa3c06fa7b127499aa5817cdd7270fc0bb754219fa580af89360,Empire State Of Mind
130,Whatta Man,Salt-N-Pepa - En Vogue,1993,https://www.youtube.com/watch?v=drIhwUfRIO8,e4c5b8da8a5db1532c0285b47b429cae7387e54033db4e4e81e5a642279af29d,Whatta Man
129,Lucid Dreams,Juice WRLD,2018,https://www.youtube.com/watch?v=hHtv2XMZlKs,237b8440f785f0bc4498a3ab986be30ae3e794b030dca33804493257e718cbe5,Lucid Dreams
128,Apache (Jump on It),The Sugarhill Gang,2005,https://www.youtube.com/watch?v=tnxNMR5JQ9A,3151e9d28cf1ad9c79a5acd8b4cddaacfd032a42f50d3becc445fb73fe5578cb,Apache (Jump on It)
127,Intergalactic - Remastered 2009,Beastie Boys,1998,https://www.youtube.com/watch?v=6TgTXYFHlfk,30271966a8d6097c1b0a1ea2d05186ae932e3892c2b148f2b9588a61f3396f40,Intergalactic (Remastered 2009)
126,Troy,Die Fantastischen Vier,2004,https://www.youtube.com/watch?v=vNbT1Es6JrQ,f0832d3b634062a9b8d99faa722d8dc3e1089595c6b034d90147eb601c276da0,Troy
