Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title
1,Wann wird's mal wieder richtig Sommer,Rudi Carrell,1975,https://www.youtube.com/watch?v=KzEOvyDcVas,7f8671fd4d7274ea10dd6d60d15c1f7e82408a17cb974b3095ffb4484f629823,Rudi Carrell - Wann wird's mal wieder richtig Sommer 1975
2,You Can Call Me Al,Paul Simon,1986,https://www.youtube.com/watch?v=uq-gYOrU8bA,ae21eb2cd4e650d93c199b02eee73bc9499d30b7de0362aabd8b5027857d97fa,Paul Simon - You Can Call Me Al (Official Video)
3,Start Me Up,The Rolling Stones,1981,https://www.youtube.com/watch?v=SGyOaCXr8Lw,35731704a308936ec96c3a2a1799afe6a7ec0089b26aa8bea84cffa450493b79,The Rolling Stones - Start Me Up - Official Promo
4,The Twist,Chubby Checker,1960,https://www.youtube.com/watch?v=-CCgDvUM4TM,9eabf33d5cf64a217b2b80f08c3b4db06a5da5c9e05d62a8affcbba35f4f74b7,Chubby Checker - The Twist (Official Music Video)
5,Blurred Lines,Robin Thicke feat. T.I. & Pharrell Williams,2013,https://www.youtube.com/watch?v=yyDUC1LUXSU,539c2aa3cd6bbd136f2401819dbd603f798ceabca94d3b4943971b64e48e8348,"Robin Thicke - Blurred Lines ft. T.I., Pharrell"
6,Hangover,"Taio Cruz, Flo Rida",2011,https://www.youtube.com/watch?v=dLhFDYQHDQY,4652d89ebaa2523ee093296b3639682d2f4bbb7fe295272900c7d54b1fbee0a3,Taio Cruz - Hangover (Official Video) ft. Flo Rida
7,One More Time,Daft Punk,2000,https://www.youtube.com/watch?v=FGBhQbmPwH8,bc2e1ae8e81a5d546b7bf08932cc35c40f988577da723a5df7490d9a11bbd0a5,Daft Punk - One More Time (Official Video)
8,China In Your Hand,T'Pau,1987,https://www.youtube.com/watch?v=T4sV3lqzKqQ,0f56e9aa3474564bea5aa1b8c4abe253fe6d95aa6d159eddfff324f9063cb05e,T'Pau - China In Your Hand
9,The Best,Tina Turner,1989,https://www.youtube.com/watch?v=GC5E8ie2pdM,aa719a927a4ae78937d9fc92f6133cbdd3746d9fbc9edd2f1358351cdb82f3d5,Tina Turner - The Best (Official Music Video) [HD Upgrade]
10,The Hustle,Van McCoy & The Soul City Symphony,1975,https://www.youtube.com/watch?v=SFzMs2SN--s,cab765c421220209c103ea61538beb7b06726b28127293857984130e2f53507e,Van McCoy - The Hustle (Official Music Video) [HD]
11,Piece of My Heart,Erma Franklin,1967,https://www.youtube.com/watch?v=L0QAxIKf8G4,a5b39e83817b6eb7194a39040188b57a248b65f68dafadf296fcade3b1844e76,Erma Franklin - Piece of My Heart (Official Video)
12,Hungry Eyes,Eric Carmen,1987,https://www.youtube.com/watch?v=2ssCL292DQA,7a7d981d90df45faafb3596f551933279036ba598e32b18cdc7222be81e97e7a,Eric Carmen - Hungry Eyes (Official HD Video)
13,Karma Chameleon,Culture Club,1983,https://www.youtube.com/watch?v=JmcA9LIIXWw,aacf9610a428e94d689c887088d61c11b87fa9150205b24bf9d3793100110359,Culture Club - Karma Chameleon (Official Music Video)
14,99 Luftballons,Nena,1983,https://www.youtube.com/watch?v=Fpu5a0Bl8eY,4eb040b8e7ca5882001e5861b1c28880bb6e6b64c752e84ea293a097e0ff26f9,NENA | 99 Luftballons [1983] [Offizielles HD Musikvideo]
15,Beinhart,Torfrock,1990,https://www.youtube.com/watch?v=Pmi0XqTlEY8,5e304b32dfe4c346c36b28ff9bf983192eda2e2ce69daef8482e806ee685bbd7,Torfrock - Beinhart (Musicvideo)
16,In Da Club,50 Cent,2003,https://www.youtube.com/watch?v=5qm8PH4xAss,3aeb025af734e624bfeeb2c7b0b1646f981e2678729dc72a08e27ad1e8869c90,50 Cent - In Da Club (Official Music Video)
17,Don't Go,Yazoo,1982,https://www.youtube.com/watch?v=_sQGwDeambg,fb9cb286fb5146b304f74fc0e897fca76a267d452c912c75c6cff23ab1470c67,Yazoo - Don't Go (Official HD Video)
18,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,1987,https://www.youtube.com/watch?v=LX366rnYTB4,6bfcdc58ab79f046b242eeb5c21a9c49c8309e05ff4798717da12eb88df32fa7,Whitney Houston - I Wanna Dance with Somebody (Who Loves Me) (Official Lyric Video)
19,7 Years,Lukas Graham,2015,https://www.youtube.com/watch?v=LHCob76kigA,49edbeb80700203912ab56f8d150696e9b31a1d712ba66485df0048c8fe1d0fa,Lukas Graham - 7 Years [Official Music Video]
20,Sugar-Baby,Peter Kraus,1958,https://www.youtube.com/watch?v=-9R3_53qe08,aa0ddd12e2f8cfb8a2fa14038e0a39291e24d342812bf925d354743d38088af6,Sugar Baby  -   Peter Kraus
21,Lean On (feat. MØ),Major Lazer & DJ Snake,2015,https://www.youtube.com/watch?v=YqeW9_5kURI,3b0375be80639f87794015fe229e6990f70990749f33015c91c439618a6ac1ca,Major Lazer & DJ Snake - Lean On (feat. MØ) [Official 4K Music Video]
22,Einmal um die Welt,CRO,2012,https://www.youtube.com/watch?v=u2pySXCmwpc,e66841f839ccaff353eb611a2b7f37627b381b2bdd098972ca82ebc25931c23e,CRO - Einmal um die Welt (Official Version)
23,Ich will keine Schokolade,Trude Herr,1960,https://www.youtube.com/watch?v=2OqgIupSf5k,33bcd58f497db51b4312227f0f98bf5cc4a4852c5885debe5b4709562e883177,Ich will keine Schokolade
24,80 Millionen,Max Giesinger,2016,https://www.youtube.com/watch?v=uC08L4xxjNM,99143ce1de9b6339da2c504cc1effbdf6b4c41f605d27c18231977b5d019d570,Max Giesinger - 80 Millionen (Offizielles Video)
25,Friday I'm In Love,The Cure,1992,https://www.youtube.com/watch?v=mGgMZpGYiy8,04ea00dc3ac6f19518e70f9ed6db266ff8738ae0b26d0c30a1380516d7f32b9b,The Cure - Friday I'm In Love
26,What Is Love,Haddaway,1993,https://www.youtube.com/watch?v=HEXWRTEbj1I,0d64c49eac81fdb5ea8cb95050bc05b4487dd12bae6cac8a56a2b80de6855b24,Haddaway - What Is Love (Official 4K Video)
27,Auf uns,Andreas Bourani,2014,https://www.youtube.com/watch?v=k9EYjn5f_nE,92c27a3ea7df93e98aaf161bf74f98df0940e4f85e40051b9fca52863722657f,Andreas Bourani - Auf uns (Official Video)
28,Don't Stop Believin',Journey,1981,https://www.youtube.com/watch?v=1k8craCGpgs,ea332c1491efe27cb60816b3cc60795ca2a952aea848b5b7a677302a65611209,Journey - Don't Stop Believin' (Official Audio)
29,Orinoco Flow,Enya,1988,https://www.youtube.com/watch?v=LTrk4X9ACtw,a7a1c044fd1579681ee3b85846f0b6e43d8f919b74283143fa95e71b0d8e9b14,Enya - Orinoco Flow (Official 4K Music Video)
