Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title
308,Somebody That I Used to Know,Gotye - Kimbra,2011,https://www.youtube.com/watch?v=_iRmr3_GRxw,121ab74bdeb5e840bb600e1b166ae2b7ce28c66c7ab6262956f32914c2123791,Somebody That I Used To Know
307,Piece of My Heart,Erma Franklin,2009,https://www.youtube.com/watch?v=QsRo9JNrNe8,746cbd8018d6fbbf1cf7a82992a2a7371d6dc5c5510004e313ab94d163893ed9,Piece of My Heart
306,Eva Maria,Formula V,1985,https://www.youtube.com/watch?v=tDZO0CU_h3A,b411e2e056291d4e7172ffac279bf348a60ae32d6f7a4ecbf1aa89776c343bd1,Eva Maria
305,Born To Be Wild,Steppenwolf,1968,https://www.youtube.com/watch?v=93fAJe8WVjA,4788f3cad53f808622fa7fca3ba9bc0f81a87c68f5305df1b6c6984b04998b60,Born To Be Wild
304,Canta y Sé Feliz,Peret,2001,https://www.youtube.com/watch?v=yivgTMs14GM,1736a053f407068878f01909b7fdcabe03f5c05975fe10c7f61668072afc3f96,Canta y Sé Feliz
303,La Bamba - Single Version,Ritchie Valens,1959,https://www.youtube.com/watch?v=Y_Tg3s-9HSk,32f37da5015f1e98bc6a4c8383719a5706814be64b93101dda5ee13b3486533f,La Bamba
302,These Boots Are Made for Walkin',Nancy Sinatra,1987,https://www.youtube.com/watch?v=fZjrkbkeWzo,b9f3078d2f6ca96311dfd139e3258f4dafea292c1e86462f186ed7dd398ba26d,These Boots Are Made for Walkin'
301,Felices los 4,Maluma,2018,https://www.youtube.com/watch?v=9rp10tWxZnk,5619a620756eb7ec570f45d70c49fb8c2c70a2e85614e19ba039a81d9d4bb832,Felices los 4
300,Me Quedo Contigo,Los Chunguitos,1991,https://www.youtube.com/watch?v=DeFYqBa8xao,5fff9c4dde2dd117df4bdb682d637f08931a642a3cf54bd2570c4e49c9d2196c,Me quedo contigo
299,How You Remind Me,Nickelback,2001,https://www.youtube.com/watch?v=vkvrbbtnp6s,66bf96b7f79b6c6b1c217f0c0992a11a75e63a1baf157edb838c7d15e21216d8,How You Remind Me
298,En el Amor Todo Es Empezar (A far l'amore comincia tu) - Spanish Version,Raffaella Carrà,2022,https://www.youtube.com/watch?v=vwFztjY9si8,db85a053124a170e4d98b660a3e992b550f434d8a575c6793e34104dee4fcc8b,En el Amor Todo Es Empezar (A far l'amore comincia tu) (Spanish Version)
297,Vivo Cantando,Salomé,2003,https://www.youtube.com/watch?v=IDXOTrVEHsQ,78fcbefbc498b2d6eac62902da389aeeaf5fb36296bb3976ef6af59e0fce3ec8,Vivo cantando
296,Say It Right,Nelly Furtado,2006,https://www.youtube.com/watch?v=7JFtfM9rVvQ,621c2e0f77d58e12c1313884f215e60613ae8a3bdb763ae6743b38aa026a03ca,Say It Right
295,Tombola,Marisol,2013,https://www.youtube.com/watch?v=Nby3UZRylok,f2808210decdc25048b6f1ebb38463e9143c3d05c7777dd777dc160173cc546b,Marisol - Tómbola
294,Yo Te Esperaré,Cali Y El Dandee,2012,https://www.youtube.com/watch?v=ZaK2iulTwFc,c24c37e1e65526d702aa06bdb35d86106f2f6852ee2b266af2224fa1adbbb859,Yo Te Esperaré
293,Todos los días sale el sol,Bongo Botrako,2010,https://www.youtube.com/watch?v=UOnP5j9KDsE,8fdf8cdb1f567abff383ca3460bcd0cf052467be5152b7e5df6b27210ded656c,Todos los días sale el sol
292,Havana (feat. Young Thug),Camila Cabello - Young Thug,2018,https://www.youtube.com/watch?v=mJLDjIWuPXU,6f65402106d3c73e66d878910503447503505155d82063fae492f575c004da40,Havana
291,Promises (with Sam Smith),Calvin Harris - Sam Smith - Jessie Reyez,2018,https://www.youtube.com/watch?v=X8JH6npiSC4,543671983f3291046122126c69543b9338eaff3bcc7254a9edc1a293a0efcd4e,Promises
