Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title
225,La bohème,Charles Aznavour,1966,https://www.youtube.com/watch?v=1QJI6sPAiOg,6880d5b4755b5202c7ef6c0b7c95ed207239e7b079194020a34831e9add6e48f,La bohème
224,Ma révolution,Jenifer,2004,https://www.youtube.com/watch?v=7q3dp8qffWI,04445b205af969caed8fd841256494bd2f1ad27ab868e10b556287d15834922e,Ma révolution
223,Everybody Needs Somebody to Love,The Blues Brothers,1980,https://www.youtube.com/watch?v=KxHBtiVlsyI,ed41eb18edfbc22c3eb30650ed569cc3372b3ba3c6e4536fefc0175bc73f5fd1,Everybody Needs Somebody to Love
222,In the Shadows,The Rasmus,2003,https://www.youtube.com/watch?v=CjDCAyfF9_I,a2d48d77f30c74b40a0231473df968de6d4221d5e08d624bed7aaf9df6cd98ed,In the Shadows
221,1973,James Blunt,2007,https://www.youtube.com/watch?v=svQr-biTn1U,b9c1b48d516d261d02a56f11ea833a1582f9c3f877b7be9726abc7748320e4c9,1973
220,7 Seconds (feat. Neneh Cherry),Youssou N'Dour - Neneh Cherry,2004,https://www.youtube.com/watch?v=QgWNByQJA4A,ebc3cd651c50a4b3aa1cb9470d9e3b3655c1015c4cdfbba62b8ecc888ddb815f,7 Seconds
219,Big in Japan - Single Version; 2019 Remaster,Alphaville,1984,https://www.youtube.com/watch?v=x1hqXFIvZzA,dcf8a82763761a46be07cad76e6c5574ef0c09b2c464e4770bab077f0f8d1b7b,Big in Japan (2019 Remaster)
218,À nos souvenirs,Trois Cafés Gourmands,2018,https://www.youtube.com/watch?v=8d0nDmbGy90,ba4a5cf98ed7d36e811b9ab5aaee79da6b63285095b6580e6753f58ff040cbcd,À nos souvenirs
217,Telephone,Lady Gaga - Beyoncé,2009,https://www.youtube.com/watch?v=Q6ygh2dkjZw,e2aa227c3c4231f8a0d6040a9ddfa271cd3725f2522d28a044510f85ee7dcab8,Telephone
216,In the Navy - Original Version 1979,Village People,1979,https://www.youtube.com/watch?v=nmGuy0jievs,077bb7c64cce80e438e8aa3655d85026ec3f628cefcbeea1120eec9ab599f41e,"IN THE NAVY---VILLAGE PEOPLE, Official Music Video (1979) HD"
215,So What,P!nk,2008,https://www.youtube.com/watch?v=BQ2P1K7Yl00,7cf7933029f2d82bd1c1e9c2dd5760d6de9860542d9a06de9d94f738fff7e274,So What
214,Over My Shoulder,Mike + The Mechanics,1995,https://www.youtube.com/watch?v=X_FtuIrjfqc,cf571485ec44f238ddbf6f50e520af98355d348c22573654cc2639a2e4180d88,Over My Shoulder
213,Treat You Better,Shawn Mendes,2017,https://www.youtube.com/watch?v=qSay_8xzijg,ade252251949adcd03636b8ba64ff3daaa683edbec2765b62e6c663be4a71e5f,Treat You Better
212,Ain't No Other Man,Christina Aguilera,2006,https://www.youtube.com/watch?v=dCdbRKznqrM,96be5a43d33a989311c5682dfc8cc2046af4ab42a1908272c79d67d7803e6b8c,Ain't No Other Man
211,On écrit sur les murs,Kids United,2015,https://www.youtube.com/watch?v=8OFquDkGvkk,979a9e4b4ac72725558f8a9770e9b17637790ae9994b82cc5c63d0e2ecb86729,On écrit sur les murs
210,Sultans Of Swing,Dire Straits,1978,https://www.youtube.com/watch?v=cF3OWCYLLVQ,cb77454dd821397b0c9c0f40313a5d888186020b87653b41c178f0c4af36e0de,Sultans Of Swing
209,All The Things She Said,t.A.T.u.,2002,https://www.youtube.com/watch?v=ujpvNvSgcic,bbddcb497e605d5a347b67a932ce7d594a543552bfedbf706a902df5a985e249,All The Things She Said
208,That's Not My Name,The Ting Tings,2007,https://www.youtube.com/watch?v=JFh_xNsx2u0,b6824192e1e20e57f3b446594b9a49131263268c256d05380ef669eddd927635,That's Not My Name
207,Without Me,Eminem,2002,https://www.youtube.com/watch?v=tqxRidAWER8,038e73a9d18ba5a70ac2af68f31cbc3914f69d64c5bf1a9e54d12d9beee30efc,Without Me
206,Les démons de minuit,Images,1986,https://www.youtube.com/watch?v=OP1Q1flNbVA,34d7f1dd32fa16f5543ec1282ec13e6a148a9baf3a3d332ccf1ba3fd8ee195ac,Les démons de minuit
205,Let's Get It Started - Spike Mix,Black Eyed Peas,2003,https://www.youtube.com/watch?v=mRaQAdynxto,05c25c3ff3320d5d5529bae062fe777891063fa12a59bb4e7671e274946e604b,Let's Get It Started (Spike Mix)
204,Demons,Imagine Dragons,2012,https://www.youtube.com/watch?v=y4FiCl-tUJc,f3b97ff97de302b2eb549b0eedb3a77d676bf04fa2b5120055fcebd7c23191cf,Demons
203,Pardonne-moi,Louane,2023,https://www.youtube.com/watch?v=Vw9h8erSpvA,2c80503f4aaf33e37b82c17544a25f585ab1360274386f8ea6cc43223f2bfa5d,Pardonne-moi
202,Reptilia,The Strokes,2003,https://www.youtube.com/watch?v=YdRjNeu11Ww,a6a120d28ff8ac0ac6a57977bdd5805bca17b6ce98a0c6e16e191057104a6060,Reptilia
201,You're Makin' Me High,Toni Braxton,1996,https://www.youtube.com/watch?v=SOWJuln89xo,bfa30c5131c67e83150ed942cbeee724b3d2e70f39e48a78dde7f86067b66e11,You're Makin' Me High
200,Learn to Fly,Foo Fighters,1999,https://www.youtube.com/watch?v=HJMLLKgknvk,533b693e9a0a593129fb90b610c4384b14cd20875b447047fc81ad207a5f567a,Learn to Fly
199,All The Small Things,blink-182,1999,https://www.youtube.com/watch?v=5_PBNZXlzp0,4e6795f1bf7d5bff4d257346d2a06dea13ae9abd76ad80efc2f3ff075a15c684,All The Small Things
198,You Oughta Know - 2015 Remaster,Alanis Morissette,1995,https://www.youtube.com/watch?v=YuFLAtARc3Y,51af028ecb0e6590a52d7fd76283713417337f261f4b1f88a83dfa3a8c395628,You Oughta Know (2015 Remaster)
197,Don't Look Back In Anger,Oasis,1995,https://www.youtube.com/watch?v=aW_8kbyOKeQ,e7a3c798b72b8d943e728535a13013b3d307bd0845cfb91f76f93f007d873e62,Don't Look Back In Anger
