Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title
1,Disco inferno,The Trammps,1976,https://www.youtube.com/watch?v=pG8TyIEAqps,5fccf1122162f2b4ea29bd5ddcdeb42c50db9f2118529d326e1205dc65e06eb5,Disco Inferno (Edit)
2,Volare (Nel Blu Di Pinto Di Blu),Gipsy Kings,1989,https://www.youtube.com/watch?v=X8TOhb_4jU0,ee58cb0986f4d0f87511baeea41ea98995126eacd5dee1b6c47c5fc1803269dc,Gipsy Kings - Volare (Nel Blu di Pinto di Blu) (Official HD Video)
3,Don't Go,Yazoo,1982,https://www.youtube.com/watch?v=_sQGwDeambg,fb9cb286fb5146b304f74fc0e897fca76a267d452c912c75c6cff23ab1470c67,Yazoo - Don't Go (Official HD Video)
4,Can't Help Falling In Love,Elvis Presley,1961,https://www.youtube.com/watch?v=vGJTaP6anOU,c6bc25d59e68133ffe3326c7fa3f59142241f070add277e56edbae4a2b8c85c7,Elvis Presley - Can't Help Falling In Love (Official Audio)
5,7 Years,Lukas Graham,2015,https://www.youtube.com/watch?v=LHCob76kigA,49edbeb80700203912ab56f8d150696e9b31a1d712ba66485df0048c8fe1d0fa,Lukas Graham - 7 Years [Official Music Video]
6,Andalouse,Kendji Girac,2014,https://www.youtube.com/watch?v=FndmvPkI1Ms,6dfde8f5b139799f1a5429e04bf2b4aa4e4182d2d70f2560552b7d5f9e0219bc,Kendji Girac - Andalouse (Clip Officiel)
7,Femme Like U,K.Maro,2004,https://www.youtube.com/watch?v=8qfM7offtiA,bb120e47be8a501d2b2e4f27267f763301a283c5901edcef863620c848f21600,K.Maro - Femme Like U (Clip officiel)
8,Foule sentimentale,Alain Souchon,1993,https://www.youtube.com/watch?v=V_SNDGwwGFM,4d44cd1b947ecec40f6e617a89e692e42333b040df14d5914ee2aad8d1dc7373,Alain Souchon - Foule sentimentale (Clip officiel)
9,Sensualité,Axelle Red,1993,https://www.youtube.com/watch?v=iXKkxZ7U-lo,5c60f657cd2d0841fdcb308868a6d343b3b6864a3264ff0226713b8abe628a13,Axelle Red - Sensualité (Clip Officiel)
10,Don't Leave Me This Way,Thelma Houston,1976,https://www.youtube.com/watch?v=rUdw7V-FC_Q,3c73213b1d2d4e6a3e8c884d93b4e88158d49c426f4875386205cbad4e86c688,Don't Leave Me This Way
11,Get Back,The Beatles,1969,https://www.youtube.com/watch?v=IKJqecxswCA,1ecd23d6402a221a0c5f8a8aec944d39041609c6e726e3f358b6c41510eb31e4,Get Back (Remastered 2009)
12,Osez Joséphine,Alain Bashung,1991,https://www.youtube.com/watch?v=MaIDRUp2Luo,34f9a261680d6183023f2f6252581342039117e24b181ca457da39a8abec251a,Alain Bashung - Osez Joséphine
13,En rouge et noir,Jeanne Mas,1986,https://www.youtube.com/watch?v=OplDIhyp31Y,ef80b00fac1beb754d94ae48496b8102ebbd109b6a6044363053acb7e7962a03,Jeanne Mas - En rouge et noir (Clip officiel)
14,On se retrouvera,Francis Lalanne,1986,https://www.youtube.com/watch?v=yuvZQaPDbuA,28606c8e6734081db2d3c9e235831359334cbd030b1089de472d7a25c999e066,Francis Lalanne - On se retrouvera (1986 - Clip Officiel HD)
15,7 Seconds,Youssou N'Dour et Neneh Cherry,1994,https://www.youtube.com/watch?v=GbfBML1LHfs,0e63cdcd832c8acc13447987ac41803ff1b3158e4565f043689dc330c55687dd,"Youssou N&#39;Dour &amp; Neneh Cherry - 7 Seconds (Official Video), Full HD (AI Remastered and Upscaled)"
16,No One,Alicia Keys,2007,https://www.youtube.com/watch?v=rywUS-ohqeE,793ad673faa3c05b3b4f1361cfdb9413ded369133970b688b6778750134afac4,Alicia Keys - No One (Official Music Video)
17,"Besoin de tien, envie de toi",Peter et Sloane,1984,https://www.youtube.com/watch?v=Jy21qtn9zCg,3a2c4c656e68f04550ace8a16b424e5cad71620c311edb2a84167ec27b62fb21,"Peter & Sloane - Besoin de rien, envie de toi"
18,Ice Ice Baby,Vanille Ice,1990,https://www.youtube.com/watch?v=rog8ou-ZepE,ce763d5fa6df6b7de40940190f7603da283254197fd7153fb12690055f151cf7,Vanilla Ice - Ice Ice Baby (Official Music Video)
19,Fête de trop,Eddy de Pretto,2017,https://www.youtube.com/watch?v=iA5UBqaJiVQ,9f7c46e8243f32bc05b686dfeea6ed29ddd24a2f6b8565bcf3f19e8905433c4f,Eddy de Pretto - Fête de trop (Clip Officiel)
20,(What A) Wonderful World,Sam Cooke,1960,https://www.youtube.com/watch?v=R4GLAKEjU4w,b5a2a6eafd5194fad0446c5b6b5cb43fc2b281f27b3cbd34e700d704873366df,Sam Cooke - What A Wonderful World (Official Lyric Video)
21,O. Macarena,Damso,2017,https://www.youtube.com/watch?v=GGhKPm18E48,93441c8f3dc846b5dee635d7acb0b7cc0667f044a41dcd10de358d967d144f59,Damso - Θ. Macarena (Clip Officiel)
