Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title
308,Don't You Worry Child - Radio Edit,Swedish House Mafia - John Martin,2012,https://www.youtube.com/watch?v=3mWbRB3Y4R8,cc5e7d5ca987968e691d85854a00bf3fbe3a91003667f3ff5cbdb3dc04a8bbb4,Don't You Worry Child (Radio Edit)
307,California Soul,Marlena Shaw,1969,https://www.youtube.com/watch?v=CUosSQZSw5c,a6f636dec60bd37ffb3d304d2284306ceb0a965626c7162a69576807d943d487,California Soul
306,Walk On the Wild Side,Lou Reed,1972,https://www.youtube.com/watch?v=Qu6F-mMAQhk,7a99f5f73971b990e2f86f56059552ddbfce9a93c638646001147045640084f4,Walk On the Wild Side
305,(Sittin' On) the Dock of the Bay,Otis Redding,1968,https://www.youtube.com/watch?v=Zu5chXCp1Ag,62a915d0c7cbae2a56a5c89286c8fb4ba9104dffa5bd549003432c26be9b99f3,[Sittin' On] the Dock of the Bay
304,Tiger Feet,Mud,1990,https://www.youtube.com/watch?v=2rrtXCFyMII,747d09d48e1123187a4523b4bfafd0a995974321082448ffe1461a2d9982ecdc,Tiger Feet
303,Jump in the Line,Harry Belafonte,1961,https://www.youtube.com/watch?v=dgWXF32nxLs,a7408ed77e212065fb1e562770b402c2ce49d232b6ce5abcbb5930fc8e534d52,Jump in the Line
302,Mais Que Nada,Sergio Mendes & Brasil '66,1972,https://www.youtube.com/watch?v=zpETaSe72lY,f4bd359e86e5cc85ac358de2c270a70481de1c058559e8098cb813ff5dac7969,Mais Que Nada
301,Golden,Harry Styles,2019,https://www.youtube.com/watch?v=m_zZK5ahLo4,06e8983b8d6e926fcde686d450af5d35ed3ec8e325c919635761ba3d612be8b9,Golden
300,We Are Family - 1995 Remaster,Sister Sledge,1995,https://www.youtube.com/watch?v=FkoetZKf5Eo,682cf3c95897373b0aa22fe00020116e8493e011e9fe2fe2d64190b8fd2dd90b,We Are Family (1995 Remaster)
299,Have A Nice Day,Stereophonics,2001,https://www.youtube.com/watch?v=tgkeg5sjPP4,13f732e493586290a3713dd177d11bcf1b9343de6349033d6ab37c1da3f74ea5,Have A Nice Day
298,Dancing Queen,ABBA,1976,https://www.youtube.com/watch?v=YkLLcIKhJ64,ec1eeb29a881fe29a3ad28b5e68916c434d88118a7b1be4b9da6acf4035cd68a,Dancing Queen
297,Here Comes The Sun - Remastered 2009,The Beatles,1969,https://www.youtube.com/watch?v=xUNqsfFUwhY,5c0e8c26dabd817bfd0ea4a8a4a0075317a174ad7abd65783901a72e4b1a9738,Here Comes The Sun (Remastered 2009)
296,Grace Kelly,MIKA,2006,https://www.youtube.com/watch?v=T9UhfphHSc4,7e0e9e80a143648177fcf8faadf5c02bd5a906dbba5fc4b0c5bee92ebf3c516f,Grace Kelly
295,I Feel Fine - Remastered 2015,The Beatles,2000,https://www.youtube.com/watch?v=xLBVgnZyuic,1ea4e985b6707d66291ef60abf1263fbcc543a18203446e8916648ef74a563a8,I Feel Fine (Remastered 2015)
294,All of Me,John Legend,2013,https://www.youtube.com/watch?v=sQtnhwU2R9Y,266dd8a8fb629641f54d1d5bdf28fb48e372982cd5d710ce3407e6ec0fcbd2de,All of Me
293,Party Rock Anthem,LMFAO - Lauren Bennett - GoonRock,2010,https://www.youtube.com/watch?v=kmioyMNkgx4,2043fae2a714d311eba7b0573719fbdf3ba855cfc446c96b560ab1424197be21,Party Rock Anthem
292,Peru,Fireboy DML - Ed Sheeran,2021,https://www.youtube.com/watch?v=89dJhQxKnfY,ae2cc7e690c2bdb647b2a5154817f509d72bb3ff03fafbced08c0ca4e7adc605,Peru
291,Savage Love (Laxed - Siren Beat),Jawsh 685 - Jason Derulo,2020,https://www.youtube.com/watch?v=zfvfxA166eQ,dbd26b882b296ebd3d597239eedc3a0ecbd1f7de1edadec3549eef8c85e060dd,Savage Love (Laxed - Siren Beat)
290,Mercy (feat. Jacob Lusk),The Blessed Madonna - Jacob Lusk,2023,https://www.youtube.com/watch?v=cI6v4feqRIg,2a8b54789e4693d8f43cb722b2bbf4a67e98d76fe20655b71092c259e62a16b9,The Blessed Madonna - Mercy (feat. Jacob Lusk)
289,I Feel Love,Donna Summer,1979,https://www.youtube.com/watch?v=nTNcCKq6V2c,58d30f240ad549a1f400929bf53814322edec2006132610de8333b575f72d2c9,I Feel Love
288,Sweat (A La La La La Long),Inner Circle,2010,https://www.youtube.com/watch?v=P-i4oRmNbb0,a3a2e35402eb344756011abf04e7d3767550413aa35f24c9b36f45b4d690950d,Sweat (A La La La La Long)
287,Wavin' Flag,K'NAAN,2009,https://www.youtube.com/watch?v=NENQMda7Mbs,45676510049671179a6d9d6bd994d44ffeb103c76dbd87337ff0fbe95551c73b,Wavin' Flag
286,Lovely Day,Bill Withers,1977,https://www.youtube.com/watch?v=QCgeitX5xg0,109ad4d9b6c70736d7362706abf5b600a101770b26fabc315dddd20319494c2c,Lovely Day
285,Am I Wrong,Nico & Vinz,2014,https://www.youtube.com/watch?v=OLlh4fkXu5M,65d0238f123a7bf21c6f07a8587319b1c8011aa8ba7eb429debb6d3dddbd34bc,Am I Wrong
