Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title
308,Moves Like Jagger,Maroon 5 - Christina Aguilera,2015,https://www.youtube.com/watch?v=2UfIXzKXic0,a7d3fed6526f087fb1d86c191db88f9fbe823ed63d82c87c19d6edaa6ff07181,"Moves Like Jagger (Studio Recording From ""The Voice"" Performance)"
307,I'm a Believer - 2006 Remaster,The Monkees,1967,https://www.youtube.com/watch?v=G5EuEF05G2M,392e415592b98086e23b81d5e2c03f0749d4ef095f98c6dc06195d1abe2ea725,I'm a Believer (2006 Remaster)
306,"Signed, Sealed, Delivered (I'm Yours)",Stevie Wonder,1970,https://www.youtube.com/watch?v=6To0fvX_wFA,e49d9a36dfd1f19b55441e61dcfde98eabf2a26121873b6aedb4f238018470ca,"Signed, Sealed, Delivered (I'm Yours)"
305,Happy Together,The Turtles,1967,https://www.youtube.com/watch?v=BqZ6sRHpWIk,5a18d133c6151f6d632f6b8cc6f5e99c0da836237f5c4246921877ecd5eeaa6f,Happy Together
304,To Feggari Panothe Mou,Tolis Voskopoulos,1988,https://www.youtube.com/watch?v=NOt9Suk1ZwY,7619c83f14d2b4ad75c221f1be3b1bfec942e1a6c9211421e7b1788e00a354a0,To Feggari Panothe Mou
303,Bye Bye Love,The Everly Brothers,1964,https://www.youtube.com/watch?v=CKXROTu81sU,c459e36554ce8b9e792ad72f981a2c9001c95e92b72f9b84a7df2a222757a3ff,Bye Bye Love
302,I Got You (I Feel Good),James Brown & The Famous Flames,1966,https://www.youtube.com/watch?v=iSLwVaebsJg,1bd9096577e1e149b2c56d242bcac16201b19917f09b6873e3297b331ec479e4,I Got You (I Feel Good)
301,Don't Call Me Up,Mabel,2019,https://www.youtube.com/watch?v=pr4wzmibA2E,cb40b97a2a1a9046326365a0c7f50a1079a6ed8a98f1c97297b975ca7ec0a515,Rubyoung R630 - A Customizable Premium Bluetooth Speaker You'll Love (w/ Audio Test)
300,Escape (The Pina Colada Song),Rupert Holmes,1979,https://www.youtube.com/watch?v=YxNpnxNrTpI,dd2bc4034a41a2783d2295b7ba6dfdeed101d7e4ff529d8440ca35a1f0f7b0dd,Escape (The Pina Colada Song)
299,It Wasn't Me,Shaggy - Rik Rok,2000,https://www.youtube.com/watch?v=ihRO8zRPpVc,255dcbd6b60a06719ea70a4e416fb8e500828d874866cea90122d5120980d5e5,It Wasn't Me
298,Itane Mia Fora,Nikos Xilouris,1976,https://www.youtube.com/watch?v=fP2qsHSe4pU,26875b8760fd578f983f680172ae4a3bb5c7665e6a46b92b96657d359ca44ae5,Itane Mia Fora
297,I Heard It Through The Grapevine,Marvin Gaye,1968,https://www.youtube.com/watch?v=kAPj9oP4q_w,ea0fae405d2ba15b1e4a2c4a8df389cb39f84808fb8519ce55c16542050cc0ef,I Heard It Through The Grapevine
296,My Number One,Helena Paparizou,2005,https://www.youtube.com/watch?v=cgxiN5WSxhU,9e7c478a25b813fa32f6c7d9b59552b443e01656cb763ffbccf7b8f2dcedbec9,My Number One
295,Twist And Shout,The Isley Brothers,2005,https://www.youtube.com/watch?v=coTvaGhU9kc,501906c8ff6aa0538daf4fdf5837ad3a5ca7ac4114b35a3d7db66000743ae162,Twist And Shout
294,Somebody That I Used to Know,Gotye - Kimbra,2011,https://www.youtube.com/watch?v=_iRmr3_GRxw,121ab74bdeb5e840bb600e1b166ae2b7ce28c66c7ab6262956f32914c2123791,Somebody That I Used To Know
293,4 Minutes (feat. Justin Timberlake and Timbaland),Madonna,2008,https://www.youtube.com/watch?v=Cp4Ku-7jXh8,7a03a7c4d43132d3de210309fb50ce32bc9e03a24c35a07816c080cdf3b4dfa1,4 Minutes (feat. Justin Timberlake and Timbaland)
292,Dance Monkey,Tones And I,2019,https://www.youtube.com/watch?v=Hx4nWW9z0ig,e1c3101d22776518a22afe8efa3fa9668f5a331c8e73c483177f0183efcd88c4,Dance Monkey
291,Blinding Lights,The Weeknd,2020,https://www.youtube.com/watch?v=H64a2ggVIWc,d578815c8829db7025b839819898a27a8c13457872f61a88c02f59acbbc75098,Blinding Lights
290,Kotera,Mad Clip,2020,https://www.youtube.com/watch?v=vsJatpD_Lfs,562af8fc180ae43471967b1f665b8fcdbad8b535e4aa66516c35638d2e0a93f0,Kotera
289,Pes Mou Pou Poulan' Kardies,Dimitris Mitropanos,1974,https://www.youtube.com/watch?v=xEvJg2zaWHU,102d32ffee96a7bb9c06547f80e229f4bd45280b64bb3ed491fa3593fae2ca94,Pes Mou Pou Poulan' Kardies
288,Ice Ice Baby,Vanilla Ice,1990,https://www.youtube.com/watch?v=jewmMjnbfzE,48e4aa0ba0ca8f2311f93b679b803103b5b7384d84b132fd631ba6f7113a34ed,Ice Ice Baby
287,O Horos (Klise Ta Matia),Onirama,2013,https://www.youtube.com/watch?v=YXI8j2OaR4A,c124a9b4a068d706109ee73cfe055e0725d676d696d166d39d9c3fb8f4ae70a6,O Horos (Klise Ta Matia)
286,An Ine I Agapi Amartia,Tzeni Vanou,1974,https://www.youtube.com/watch?v=15qpBCmBMBU,698ecb4a0e6d2a2f3b5a894ae839e445e785e9cbd1e38d4459d1d7fd819efa13,An Ine I Agapi Amartia
285,I Love It (feat. Charli XCX),Icona Pop - Charli xcx,2013,https://www.youtube.com/watch?v=JeSkFRTj7kU,68c03ebfa18c4ba4cfcb24dfa3e37c15c845b66f6b08e6b2b1a2b30a6cfb0e6d,I Love It (feat. Charli XCX)
284,Sti Mama Mou Tha To Po,Alba - Aris and The Olympics,2014,https://www.youtube.com/watch?v=Y17T-WbXfLk,0845ae836a494d51e33dcae339411cc7bce0bdd918dbb25720f1fca1516662cc,Sti Mama Mou Tha To Po
283,Lucid Dreams,Juice WRLD,2021,https://www.youtube.com/watch?v=VTG-ForqDk4,6d3e2fb4e7590d4eca8cba307f47bc81364f2e874d3411ec9f5e7d3fa4b4fa8c,Lucid Dreams
282,Nisi,Fy - Mc Daddy - Display,2022,https://www.youtube.com/watch?v=RiCd-LiJ4bU,aeb310fcdd9ac593f7ca5db947a6f24b4afc22be1ab8f1d40c15e004392e1eec,Nisi
281,Sou 'Dosa Tin Agapi Mou,The Idols,2008,https://www.youtube.com/watch?v=gB5C9Le_6Zc,b5e05a33725ccc06e714ae85b3c854635ec52282095105f9140aad7f9140fec9,Sou 'Dosa Tin Agapi Mou
280,American Pie,Don McLean,1971,https://www.youtube.com/watch?v=iX_TFkut1PM,27b560454c0379b983618c7eb76c6eddf4aacde1bee0859d2595e7fed6799005,American Pie
279,"Vrehi Fotia Sti Strata Mou - From ""Oratotis Miden""",Stratos Dionisiou,1970,https://www.youtube.com/watch?v=-RGJ8EqeNUM,d519a9e0d3b846953a19a5537d458f35fca97448bc64ff2deaf5a2879bfd592f,"Vrehi Fotia Sti Strata Mou (From ""Oratotis Miden"")"
278,Παλαμάκια,Μ.Νίνου - Giorgos Mitsakis - I. Τατασόπουλος,1950,https://www.youtube.com/watch?v=nxLevSG-wh4,e880034172f9ebaec65f56c0f05dec3c1e4196127cdaaa453f0a23d8c0bcab01,Παλαμάκια
277,Sa Nauagi,Nino Xypolitas,2003,https://www.youtube.com/watch?v=XHSXV0SJUeg,c737d8727dcd821e75ef3ee18918338186b1de053a3ab90917f22fac0a5bb5ca,Sa Nauagi
276,Tzamaika,Giannis Kalatzis,1981,https://www.youtube.com/watch?v=LwGWSh4f-W4,d44233a03dfb85cb92d0d225f155cd1ced160c07c8ec681d87bbedc3333f0b12,Tzamaika
275,You Sexy Thing - Single Version,Hot Chocolate,2007,https://www.youtube.com/watch?v=iD4ympXPrWs,200a1688d7b557470c1824454f14b550030f5e8d908392be7d7b3f9877e6844c,You Sexy Thing (Single Version)
