Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title
308,The Less I Know The Better,Tame Impala,2015,https://www.youtube.com/watch?v=PvM79DJ2PmM,a83916305a5caf6259c37287ef5f8ecc09949a7f4b6bcb302605f392b4ff7edd,The Less I Know The Better
307,Zöld csillag,Béla Radics,2024,https://www.youtube.com/watch?v=qKCu6WnEWFY,033a256ad8e2b03a679c255bed104bc3a8b8a4f2af1d0adf62eaa19948bf0f3c,Zöld csillag
306,Sheena Is a Punk Rocker - 2017 Remaster,Ramones,1977,https://www.youtube.com/watch?v=0sPeq_mFCKc,ad1bda2210e30231081e90e285ef95b4a424a3207155c2b412ef309cf43461e5,Sheena Is a Punk Rocker (2017 Remaster)
305,Burn - Remastered 2004,Deep Purple,1974,https://www.youtube.com/watch?v=jgbf03MJyS4,f313954a45f514422746a037b0a3f6c5ecadc4d3b95907de2e5aa50f37e8902a,Burn (Remastered 2004)
304,Hold the Line,TOTO,1978,https://www.youtube.com/watch?v=ZP69PLBqFUo,364bdc5db790d25a8f676bdc219510396f89ba3bbc2d45035c3c5fcdc4b75a53,Hold the Line
303,Waterloo Sunset,The Kinks,2008,https://www.youtube.com/watch?v=JuQvZkJkszk,c8e118bcd47b1562b9bfd3c9c697093c5be98eb3220d19a4c3c5d85095877145,Waterloo Sunset
302,Won't Get Fooled Again - Original Album Version,The Who,1971,https://www.youtube.com/watch?v=NkWQEVFKr08,c307d5c513a48512de3ac476079bee63e836653ef0160ab8a19489d5db873d24,Won't Get Fooled Again
301,Utolsókból Elsők,Nova Prospect,2021,https://www.youtube.com/watch?v=GK9ICNT8OD8,df56f5a7df6d0ab75a677a559d5d65c3bbf75cc66f6e93c3b4c52d429de56a45,Nova Prospect - Utolsókból elsők (A Dal 2022)
300,Féltelek …,Tibor Bokor - Color,1999,https://www.youtube.com/watch?v=yCJpgzywjHk,94aae4d097f454f62ff4aad845ad882f76c9ad66efb0baf8106e434d0b95f04b,Féltelek
299,You Only Live Once,The Strokes,2006,https://www.youtube.com/watch?v=6FnbPTaoahM,444531a7ab038fe1ab40a66f98f1fa1c7a1861ecc38d15f5757ef83b7d4edd46,You Only Live Once
298,Atomic,Blondie,1979,https://www.youtube.com/watch?v=zR40a7EhDR0,a2844b5c77d0394e99be457529de207bce7401c36714cd2332cbc9ab3cfdf98e,Atomic
