Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title
308,A Legnagyobb Hős,Honeybeast,2014,https://www.youtube.com/watch?v=XNcqGew7_fs,d90cd5fcb55fe4e18e63df161746ba34088612de034f621436d0938c673e121c,A Legnagyobb Hős
307,Keresem a szót,Zsuzsa Koncz,1992,https://www.youtube.com/watch?v=TtVWTi7Amy8,c9a2d60ff6ff9907bee48955639a5566ea3e1bdd040bfb7c109a71e234e9d237,Keresem a szót
306,Szóljon hangosan az ének,Rezsö Soltész,1991,https://www.youtube.com/watch?v=NIux6VYzgBI,e84af0cd835d390f2dc0bfc15393199d96e337323dc5770c630e9abbcba55aac,Szóljon hangosan az ének
305,Hot Stuff,Donna Summer,1979,https://www.youtube.com/watch?v=nYMeJSehCe4,5f3d826b0ee7b8943afc97b68043698cc9939a10b9783ce6522b6d793af2cd7f,Hot Stuff
304,Our House,Madness,1982,https://www.youtube.com/watch?v=1h-rhqw-Wy0,d38180f6ff6edee6a05d80974035cc8739d3f385a5660359923a2d8834598866,Our House
303,Starman - 2012 Remaster,David Bowie,1972,https://www.youtube.com/watch?v=aBKEt3MhNMM,2562c2a97130939f9718c6828aacc593a0e90dc6977aac9978e4bdbcd6c12c0a,Starman (2012 Remaster)
302,Lady N,Korda György,1997,https://www.youtube.com/watch?v=GgBbCwIkHmg,87d6b013628ed26fe5a4fdc2abec6dc722cc8562cf69fed1bc4ee6f69d53f727,Lady N
301,Mostantól,Rácz Gergő - Orsovai Reni,2019,https://www.youtube.com/watch?v=U0Rysu7nalM,0a3529481e0e52d4f267fbb62c246989ac3f6140647da851fa86cd278fdcf642,Mostantól
300,Fast Car,Tracy Chapman,1988,https://www.youtube.com/watch?v=IJ8i49EqgYI,161580b9aae1e9e328548509c750d86c4a64d1c7df8afe25cd04848427bb6f9b,Fast Car
299,Umbrella,Rihanna - JAY-Z,2008,https://www.youtube.com/watch?v=xXD5tltX9Pg,1bf9d488dcfa5ebae945397278b835fa95b43934867e7570d6c53f104ee9c39a,Umbrella
298,Somebody's Watching Me,Rockwell,2011,https://www.youtube.com/watch?v=KFS9c852M_k,5872f9d59bf3db1ff5e7224a4db5dfba5e9371c8247cae71874fffbb5701f706,Somebody's Watching Me
297,Csókkirály,Hungária,1992,https://www.youtube.com/watch?v=HQV9dD6sF7c,04e77d3519685f38a35bba4d135732f30fea4d66982a83c9a8ed24262058cda3,Csókkirály
296,Lehet zöld az ég...,Varga Viktor,2011,https://www.youtube.com/watch?v=_SxEPTwAYTc,208fa370ce45c55101aa80dd7a7ffbea24a195b636ae16319ab17b5ceeb28456,Lehet zöld az ég...
