Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title
308,קרמלה,Moshe Peretz,2017,https://www.youtube.com/watch?v=J-SCYmD9Asc,adf563d8f640ecda6ef4602f8e0805c56af8dd63ffb7baa3317ea64a20eebfe5,קרמלה
307,ערב של יום בהיר,Efraim Shamir,1977,https://www.youtube.com/watch?v=BiJ6Cn3j-5E,ddd7a4cec9ca0dfcca86dc52693fd6d5274b96c0a6e1d5bab4d8507cb4844919,ערב של יום בהיר
306,ערב אבוד,Gidi Gov,1993,https://www.youtube.com/watch?v=HEp1YL1LBM8,aaa8076301d9c12bfc7939aa7c03480666eca1007e4b0c44fba31e33c9f4c58b,ערב אבוד
305,הנה ימים באים,Ilanit,1978,https://www.youtube.com/watch?v=PjiiSao3-OE,63b6a21a14a2f6adca0832d3c52515fe97e0400fb1c78767813f25e46f9dffd4,הנה ימים באים
304,הורה,אבי טולדנו,1992,https://www.youtube.com/watch?v=mvWEwZjveWM,68f948007fb4edb635575751e22b8fce2351a02489c4ca212b71ba914289e51a,אבי טולדנו - הורה
303,אני רואה אותך בדרך לגימנסיה,Arik Einstein - Miki Gavrielov,1971,https://www.youtube.com/watch?v=tWnKZp9mmeM,ef189a93ae024e5af32c7d214a49b37b99939bf213e77797d8f4dc6c1ea2ff6b,Ani Roe Ota Baderech Lagimnasia
302,נח,Matti Caspi - Chocolate Menta Mastik,1974,https://www.youtube.com/watch?v=iANtqxmBAXk,a96e16569dfe2866a3404a0e2924309833d7deeed878c3f6394cf8a5e12de866,נח
301,אינטלקטוערס,אודיה,2022,https://www.youtube.com/watch?v=Ci3Ioce_CxY,85fb8a066e8898b76109405468a0a9891a8f96044c53c517c4f1e68daf0aab52,אינטלקטוערס
300,סוד,Adam,1987,https://www.youtube.com/watch?v=Fy2H_STZ95k,3f3be0bcf4338c38a8ed8df73e07732a29a99df720f4ed11f6c9fa1692f7869e,סוד
299,רכבת לצפון,Assaf Amdursky,2008,https://www.youtube.com/watch?v=jUsymnjdgGQ,f650d5e0fcd84a506c110627ad808390a039d2cf525b182e863bcf62a6fb1d5e,רכבת לצפון
298,אני בא הביתה מהלילה,Danny Robas,1983,https://www.youtube.com/watch?v=uhSxUh6L7s0,0ff311a58d478e9997dabd26f0730185ecec3621a6bdb1ec545c96cdf2d1f435,אני בא הביתה מהלילה
297,טרמינל לומינלט,Meir Ariel,1979,https://www.youtube.com/watch?v=mXHep3oN5YQ,0e873842ae8c95d94a436978ef39ae1f61fae35adab4e740a4f3fd96aee114f4,טרמינל לומינלט
296,כמו כל יום,Idan Rafael Haviv,2013,https://www.youtube.com/watch?v=E1HKLk_kUyI,d3e5d1315dea65a8b1ab8bfc7e866dc300ebb837b8149a9e87281828c71b43b8,כמו כל יום
295,המגפיים של ברוך,Kaveret,1973,https://www.youtube.com/watch?v=2J_HRgAbBhs,b26af3ab4bb9fff805cf716931df759cba64f330ebbb889759b9c6fb2ea667ca,המגפיים של ברוך
294,חלק מהזמן,Idan Amedi,2018,https://www.youtube.com/watch?v=BsyCpmarnvk,7c03b390de3c25c7ca368a54faeb99882b44b1ff369842bd3fa0a03db2a22379,חלק מהזמן
293,השעות הקטנות,ניב דמירל,2017,https://www.youtube.com/watch?v=eJLR5srPmv8,16b890cb084f1d10297fb3fcc44eb681096dc17fb8876097fd0fe4b4eca78f60,השעות הקטנות
292,מה לעשות עם הזאב,Alma Gov,2023,https://www.youtube.com/watch?v=pPMN3_2IDO8,308c0eb08c7b9f9ad14cec1638b13a0ad05987d8719947cde2fad794dbc89131,מה לעשות עם הזאב
291,אהבה חולה,Peer Tasi,2022,https://www.youtube.com/watch?v=Be2PsVRkeEQ,c900c7e363cf1256ea1c62074134de5e7998766966c502048c0da3b8c336688f,אהבה חולה
