Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title
308,Timber,Pitbull - Kesha,2012,https://www.youtube.com/watch?v=GcYF1xnmZTI,ad89a924972ab6e8c9e09a969eda27f534e433c98dc55f79e0a5bd805dd07464,Timber
307,I Say a Little Prayer,Aretha Franklin,1968,https://www.youtube.com/watch?v=5vl6hspNb4o,71646c13c13687359009cdfcdd4b919fac19bc6aaf0e5d5099432ce9505cea52,I Say a Little Prayer
306,אין לך מה לדאוג,Uzi Fux,1974,https://www.youtube.com/watch?v=sohzAAyGDnk,4291f1ed0ff958e7ff5ff2c432a6993c1420b0612a5aa216e02d193e8086d596,אין לך מה לדאוג
305,Space Oddity - 2015 Remaster,David Bowie,1969,https://www.youtube.com/watch?v=5PgdZDXg0z0,406dfd76a3fa223b41a5fc27329eb12e4c4c3f79970735a80e7ace3f1ca87d45,Space Oddity (2015 Remaster)
304,Dancing Queen,ABBA,1976,https://www.youtube.com/watch?v=YkLLcIKhJ64,ec1eeb29a881fe29a3ad28b5e68916c434d88118a7b1be4b9da6acf4035cd68a,Dancing Queen
303,Hit The Road Jack (1960 Recording Remastered),Ray Charles,2021,https://www.youtube.com/watch?v=uSiHqxgE2d0,a11e7152e03c930f70669aea34ab1c97ced473a645496b2a3a1fa51847cb1167,Ray Charles - Hit The Road Jack (Official Lyrics Video)
302,You Can't Hurry Love,The Supremes,1966,https://www.youtube.com/watch?v=LDqZmvVA2Qc,bc1535aa4e2c55b8092be5705e3b3566832ae9dd47cfeadff1ead8ce4030769b,You Can't Hurry Love
301,Toy,Netta,2019,https://www.youtube.com/watch?v=PctzQsrVkPs,4b119cdee37ef21a8c206ebf2167f7a2d4e74e35cb256acb51d0c9336517b54e,Toy
300,Don't Stop Believin',Journey,1981,https://www.youtube.com/watch?v=mM3Vmn4pdog,16d33310df23f27326dbcff57deaf7c8075fbcff4cb3a156be14edc3bb544c2e,Don't Stop Believin' (2022 Remaster)
299,Hey Ya!,Outkast,2003,https://www.youtube.com/watch?v=jyyt0T-4dc4,074d258a4ec912c30fe9674b54caf61107a790cbaa58a4d1206ce137084e9ef3,Hey Ya!
298,We Are The Champions - Remastered 2011,Queen,1977,https://www.youtube.com/watch?v=T358p-F4HRs,8a048d01529eaf6d622254f2e2950a99232c67f004354d745d3f21746ee6026e,We Are The Champions (Remastered 2011)
