Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title
308,Hailslide,Júníus Meyvant,2015,https://www.youtube.com/watch?v=JUTcTnXS0tk,2fe9f2e3df77576072fa90d03a91ded513aa9c6fdce16e14c2be7c6f6932d24d,Hailslide
307,To Be Grateful,Trúbrot,1971,https://www.youtube.com/watch?v=lMxezp_eN6E,c1a7863624e3a55c2dff4766995b450593aa6f220f67418de4301e4653437bd9,To Be Grateful
306,Íslensk kjötsúpa,Íslensk kjötsúpa,1979,https://www.youtube.com/watch?v=ssem2x2SOIM,56ed98abc7731422aa4f09d445446cecbac696ff123b033bd2ab442307ff45cf,Íslensk kjötsúpa
305,Ó þú,Mannakorn,1975,https://www.youtube.com/watch?v=JRBG5otXBLE,eadc77e8c14bd13974d1497b295ed93b9b1860736105c0f0de318deeb714fa9b,Ó þú
304,Búkolla,Laddi,1981,https://www.youtube.com/watch?v=y71wKVzDxBA,4ac0db8e02d8a44b7d5e99dc60f90bb099826d511f878ece5a6358601eb0df6c,Búkolla
303,Út á sjó,Guðbergur Auðunsson,2005,https://www.youtube.com/watch?v=gBKtlEzPk4w,9bc8d591394797b35158f657a3492850f646199a35dbc25ee52bb1af4570289c,Út á sjó
302,Vetrarnótt,Nútímabörn,1969,https://www.youtube.com/watch?v=ons-rLvq_Eg,c29af56c4e3b91c71027fe6502bfeca7211458ff1380f43cf7c3ed3b4079a5a3,Vetrarnótt
301,Dansa og bánsa,Inspector Spacetime,2021,https://www.youtube.com/watch?v=O_RaNuWmOCI,8f9bc351768dbdef0a8e652f01d6919b018a5437a643fbb911c301743f84a36c,Dansa og bánsa
300,Gleðibankinn,Icy,2001,https://www.youtube.com/watch?v=E2bmS1rjaLM,7d32b0b59289b97b61115770cf9b6186c0fe42827356409c62fbb4f155fb3304,Gleðibankinn
299,Þú komst við hjartað í mér,Hjaltalín,2007,https://www.youtube.com/watch?v=_OjNo5wF0iI,d741e70e13d57032396963c904b2ecdfc27a098f31234211b755607341502044,Þú komst við hjartað í mér
298,Ekkert mál,Grýlurnar,1982,https://www.youtube.com/watch?v=Eb56AR2SBQ4,c2509e3f9895e0f0700f085f757b578d16cc2028909558a226535c3a819b5aa5,Ekkert mál
297,"Rock 'n' roll, öll mín bestu ár",Brimkló,1976,https://www.youtube.com/watch?v=InFfxpiTOd8,db7bb0ce73de0bec539185ae07e73777cf5e596a3f1a9fb170121c582bc7011e,"Rock 'n' roll, öll mín bestu ár"
296,Ég er farinn,Úlfur Úlfur,2011,https://www.youtube.com/watch?v=2x4nRaaR5aE,92b7c4cc6a8ea5da6da778ce1ff4cbcaf324bcdb29249abd52f0bc2a0726b022,Ég er farinn
295,Hífopp æpti karlinn,Jónas Árnason,2008,https://www.youtube.com/watch?v=YynCbeP0Zj8,eef2617010fbf2eb6fbcc0dccaaa3c41008e7880ca56b984ca4f5493ee339e15,Hífopp æpti karlinn
294,Crystals,Of Monsters and Men,2015,https://www.youtube.com/watch?v=xhUmZJ-mNQI,3cb95870bb176b58422cba50d81b3b5a0d323079d09bb7516271424b355306d5,Crystals
293,Dark Water,Agent Fresco,2014,https://www.youtube.com/watch?v=prbskbmYJLY,8900274cf8dd9cfc22155204529883d2d874430dba5d0faede735a90f0ff351f,Dark Water
292,Á óvart,Benni Hemm Hemm - Urður - Kött Grá Pjé,2022,https://www.youtube.com/watch?v=kqwxh31lwds,ae1b5102f330484cd1a76324ff3d45906d293472b51179dbf7af4693be0ed0b4,Á óvart
291,Er þetta ást? - Live á RÚV,Unnsteinn,2021,https://www.youtube.com/watch?v=J7Smvh8i908,269f83fef5f5001102ebd48b3f7995d6e743b884ccd584282495a19da3b7335b,Er þetta ást? (Live á RÚV)
290,Þorparinn,HÚGÓ - Þormóður,2023,https://www.youtube.com/watch?v=LCn_G5Z7xrI,cf558b9f056efd4ea84efbf97e31d3544b65cf5d56942c789b86bfaa477f9fba,Þorparinn
289,Krókódílamaðurinn,Íkarus - Megas,1993,https://www.youtube.com/watch?v=d9_E9cO0WI8,9eb29db18d536cbef643d9dac0fcb0b82789e23251498388655746de5bbe64f7,Krókódílamaðurinn
288,Draumur um straum,Súkkat,1998,https://www.youtube.com/watch?v=IZYHpnMbRdM,c7b9c4b6920ae0073c585e57e71bf54f16625df422e25b9bbcc5aea2a3af6aac,Draumur um straum
287,Sýn,Valdimar,2012,https://www.youtube.com/watch?v=slJyrUb_2_4,c844ff19f54762376dc5e9cb206ed125bf805467faeb62c65d5f68333516efb5,Sýn
286,Matter Of Time,Baraflokkurinn,1983,https://www.youtube.com/watch?v=Tl5PdNg9ldA,9cfae053654bb4db348f6c698c5308e2f13fc52531301dbd509a6437629511d9,Matter Of Time
285,Er hann birtist,Hjálmar - Mr. Silla,2016,https://www.youtube.com/watch?v=XHVYmpWHim0,215764db020021ff7d80b6fb8d8a169bad86c98c7cf3f89ca7f74b18a00a0b43,Er hann birtist - Hjálmar & Mr. Silla
284,Royi Roggers,Halli og Laddi,2002,https://www.youtube.com/watch?v=GvXXAV_VzSQ,cc128667e587ef723636e39949a257129c204f809653cf98488508d983ee96be,Royi Roggers
283,Ég Er Svo Flottur,Séra Bjössi,2020,https://www.youtube.com/watch?v=lMx4KGWtKCw,72e99c10d3658e63d9261321c4a10cc3d69dbbf9beef32f1b7f0bb3b98bba306,Ég Er Svo Flottur
282,Andvaka,Izleifur - Daniil,2024,https://www.youtube.com/watch?v=2wwlR9_y_H0,ed33ccf1a95ff16f3231b703a064bc6d5947c9a973321c485eb1dd6a29509bb4,Andvaka
281,Tóm tjara,Ruth Reginalds,1977,https://www.youtube.com/watch?v=qzknbfMQ6a0,0a0826e0fc27043833d66ba3f4cbea8df602a0caa2ed339aa6a9e1b32341b05f,Tóm tjara
280,Hvers vegna varst' ekki kyrr?,Pálmi Gunnarsson,2001,https://www.youtube.com/watch?v=d2WTtiq2KKE,04b0e8e874209f5bb2d6a50a6b84d9b977798d7402b9beb15e38afbfa2fbaf7a,Hvers vegna varst' ekki kyrr?
279,Ég hvísla yfir hafið,Áhöfnin á Halastjörnunni,1980,https://www.youtube.com/watch?v=FjL5lzVV7DU,ae9764a55b6fd20e572ed8ec1212b53e4d01f1b7f25004ff79f551670b5cbbf6,Ég hvísla yfir hafið
278,Dagný,Sigfús Halldórsson,2017,https://www.youtube.com/watch?v=6QQ4Gpa4KG8,35ba3aa3e51579c9deae3870f1cfe58388a281f7f985a09b3c89143592761d8a,Dagný
277,Búum Til Börn,Moses Hightower,2010,https://www.youtube.com/watch?v=TzP8z3M5A0c,840f4a3520a76a05fafdaf54ab86d3938fce9d8f438f313d2de0f65040225775,Búum til börn
276,Í nótt,Fræbbblarnir,1996,https://www.youtube.com/watch?v=Pr9E-gFYVyA,ec22ac1ca6fbefca84e5b5f498e4af778987bc5e3c520de37b0283d39986486e,Í nótt
275,Hippinn,Bjartmar Guðlaugsson,1991,https://www.youtube.com/watch?v=qET37Fku02U,b75cb82315478b646ec264dd042eb5d13ba860891b78dce64326c6d048e22a3c,Hippinn
274,Þú vilt ganga þinn veg,Einar S. Ólafsson,2008,https://www.youtube.com/watch?v=wjJBdwyH8bQ,ad40aae994bbf60cacc31d5cc0a5cca74b8fb0ec4371245971f0973b88aad933,Þú vilt ganga þinn veg
273,Sandalar,Brunaliðið,1978,https://www.youtube.com/watch?v=CLpTwnWcbhk,ea0e7607198e3bfbbfd2c64a55bb634eb9f32ff803f433666c10a5f5ead4e816,Sandalar
272,Það er fjör,Eiríkur Fjalar,2013,https://www.youtube.com/watch?v=z3OfcaNAnsc,7d14accfe547817c371614ca4b7ce2d023d6b995a3020a069891a844aadba135,Það er fjör
271,Hello Luv,The Charlies,2012,https://www.youtube.com/watch?v=Y1cCuF3nJMw,e74a654a94a1b3541172ef2ebd54faaf52b977e8a92dc2351b748c1618619172,Hello Luv
270,Leikur að vonum,Mánar,1992,https://www.youtube.com/watch?v=IprywyvHDto,859f5690350117edacc267e7d17bff23e4dbf9331f96f40229038abce3597e63,Leikur að vonum
269,Þó líði ár og öld,Björgvin Halldórsson,1994,https://www.youtube.com/watch?v=MZCCNcRt52g,de3c096adb9a6219b1766bad634e017cfa1dfdf4cc7923b651d2aabb0d50ff37,Þó líði ár og öld
268,Í larí lei,Stuðlabandið,2022,https://www.youtube.com/watch?v=IhSGsoMJ5js,b66390873a733f313879a2d368cee7576dd6b06ec0abc66f516dcfb8fb742bee,Í larí lei
267,Supertime,Berndsen,2011,https://www.youtube.com/watch?v=GY4Z3A3Q-CA,ef752e200ea71eb57f322aba93c91c064f7d14a87c6d36b07762af400a35ed7c,Supertime
266,Lengi skal manninn reyna,Megas - Ágústa Eva Erlendsdóttir - Senuþjófarnir,2011,https://www.youtube.com/watch?v=pjZ3LYe3WRc,85fccca122d90c7c9686dadb9df2b15838239834c2ef09cd4a50e3a40ebdcbd3,Lengi skal manninn reyna
265,Regina,Sykurmolarnir,1989,https://www.youtube.com/watch?v=Qfd5srbPUlo,b0f4bfd24f328c1de8a72b0433e4e755f1cdaa68da580fa499b33a0bb3a006f5,The Sugarcubes - Regina
264,Lady Fish And Chips,Memfismafían - Sigurður Guðmundsson,2008,https://www.youtube.com/watch?v=_T3NwePPqLE,80c4f36df3bf1a62d1d4530ea4240734354c448a41c49a691b6c00df020044ac,Lady Fish And Chips
263,The Dolphins Cry,Magni,2010,https://www.youtube.com/watch?v=oKthctP-cDA,367d9c02c92be3276e50d713cac4eb6281af914e47c394191f912b8132a1dfba,The Dolphins Cry
262,Makarena,Strumparnir,2000,https://www.youtube.com/watch?v=wV9B2Ho24Tk,75cbedcc66db1ab923d6fc73d8e6d4e53a382d80a24fadec564989ef6383189f,Makarena
261,Sestu hérna hjá mér,Svavar Lárusson,2009,https://www.youtube.com/watch?v=g0Mf4w05U_c,d818736d321727617ed66cb25792e2a48d753be8ade252d2505f764c70281da9,Sestu hérna hjá mér
260,Eniga meniga,Olga Guðrún Árnadóttir - Ólafur Haukur Símonarson,1976,https://www.youtube.com/watch?v=x_fRZfjnqB4,e7b0b514fc1207e84c4c560c406acdfd5172589331e3a38081bc355c402b60ce,Eniga meniga
259,Wonderful,Toggi,2011,https://www.youtube.com/watch?v=JAf528XVLWg,cee4fa30e9f60fe01b80b7a37014d96aef9db8eebff0f534a839c9cde0254e0d,Wonderful
258,Frystikistulagið,Greifarnir,1996,https://www.youtube.com/watch?v=yQK82-DHxos,62b3d1fbbfb837d885f46e607ebd8edc2f75839f2ffe41c59ae9005fa546b8e4,Frystikistulagið
257,Með stjörnunum,Herbert Guðmundsson,2021,https://www.youtube.com/watch?v=sy7y6puFrOE,4756f485ad35a1d52fd9d0018096fa7f12fba02b8d2c41a6a62cff7734daddd2,Með stjörnunum
256,Eldur í mér,Írafár,2002,https://www.youtube.com/watch?v=YmMQpBrkFp4,289089783d91100318ee6972687d210866303cafe0f690688d81c01fe298644e,Eldur í mér
255,Ef ég væri ríkur,Róbert Arnfinnsson,2014,https://www.youtube.com/watch?v=VKr0d5vnQYA,cd45a61c7b8a2696f660af0a098dab6fa4e480460124981c363f1dc7e0e4f053,Ef ég væri ríkur
254,Hún ógnar mér,FLOTT,2023,https://www.youtube.com/watch?v=h4MfGNufBjE,1d49bc3f95ceb90db0d5aecbd3d6cc0ce80c4c2743b503fb74891a893cddc628,Hún ógnar mér
253,Bleikur Range Rover,aronkristinn - Birnir,2025,https://www.youtube.com/watch?v=WE6GNUEyfJ8,5703f8f674642742ac9d81eacb7efc6dd4a08e8a2ba6c64e453ebdf93f7ccd64,Bleikur Range Rover
252,Eldlagið,Todmobile,1990,https://www.youtube.com/watch?v=Bmhv0BDXLeQ,69239d004dac3f96aaacde6ef38b52bcc6b8f0cb68077c5f6a00888c87931e42,Eldlagið
251,Keyrum yfir Ísland,Sprengjuhöllin,2007,https://www.youtube.com/watch?v=06BcJ1rpcxo,147f39972d0016cfecb078937607a3e5ca3bcbaa91ddee017a842db5611ab7ea,Keyrum yfir Ísland
250,Sódóma,Sálin hans Jóns míns,1992,https://www.youtube.com/watch?v=6wKi0IxssBQ,6aab26eae662f31d0e3f22a30855b7583cd4a9730c26b135af7cacd4cbac3587,Sódóma
249,The one,Trabant,2005,https://www.youtube.com/watch?v=J--rsBlYRRU,679961f1f5ec92afc3ffdfc329730279d1671c1d5d2bca2d66b36edf7bc26f6c,The one
248,Bjarni bróðir minn,Savanna tríóið,1991,https://www.youtube.com/watch?v=qxEsjjkcWN8,e127a4d5529ca0139f203d6d81b08ec92277c44aa93c272bd511f79810fb2e7c,Bjarni bróðir minn
247,Rúlletta,ICEGUYS,2023,https://www.youtube.com/watch?v=v32i6YRY79Q,4e5d9b4ec2e51711dd245b79d3c9d00c8817fd7c3c76e0a6be06f623110b947f,Rúlletta
246,Kleturrin,Mugison,2012,https://www.youtube.com/watch?v=4NI5sqYHStY,02f9d1a6cbbffda227d2a1717436ad44046c52ece265f335519be572946c089a,Kletturinn
245,Ég býð þér upp í dans,Sigurður Ólafsson - Soffia Karlsdottir,2005,https://www.youtube.com/watch?v=Mj8S5zthBlU,67f2e36441dda1b9ef5e4bfc179f373c4d538a52d63ba3ef84713df1b204d9c9,Ég býð þér upp í dans
244,Kalin Slóð,Múgsefjun,2008,https://www.youtube.com/watch?v=vq03PLdi1nc,0087c054b21d4ca6ca8194c86710bf4dfbcc625ecb21798ea505b86ffa033c44,Kalin Slóð
243,Við erum við,Sverrir Stormsker,1987,https://www.youtube.com/watch?v=y-0SsMznQoo,596710dbfe7708afd8248f19c2723f154332bae3dbcee2d73b783152e6ccd33f,Við erum við
242,Líttu sérhvert sólarlag,Sigríður Thorlacius - Valdimar Guðmundsson - Bragi Valdimar Skúlason,2013,https://www.youtube.com/watch?v=mReKMZed9Vo,95308f6c4f724ef73eea861cc65e41a320fb7b2c563cc08cca4625868e9c5989,Líttu sérhvert sólarlag
241,Lestin er að fara,Sálin hans Jóns míns,2008,https://www.youtube.com/watch?v=PJYmCaq-nJk,982442144bdfe214e0743cf940e423c2c8b52f608b166334192192a2495a5398,Lestin er að fara
240,Vor í Vaglaskógi,Vilhjálmur Vilhjálmsson,2007,https://www.youtube.com/watch?v=7BM58enV1hk,7cf0952f3121c2963a864f94f2f7726cc2ce2a75a65830f691afe5baffcef629,Vor í Vaglaskógi
239,Sumarsykur,igore,2004,https://www.youtube.com/watch?v=EsMBzL8qLYI,c0306fdecedf5b7490e906c3cf60c1526ccb39f85eabdd9f42af04d4894f60d4,Sumarsykur
238,Sautjándi júní,Dúmbó og Steini,1977,https://www.youtube.com/watch?v=RYAlVCQ9aBk,b0af4a64249350b013022ac31b6cf19246cd669f3a5e72ed46573914daf0ed38,Sautjándi júní
237,Lóa Lóa,Megas,1986,https://www.youtube.com/watch?v=jIFizUxisbU,38d91c1911c49876ba3d055592aae278dab25fb220f34f3720f7dad62036f4cf,Lóa Lóa
236,Peacemaker,Mono Town,2014,https://www.youtube.com/watch?v=P-s-g_j76jw,999db2745afce3cc38ca098f061f4a7d210e9170069bcfff6b2eefd90c2cf22a,Peacemaker
235,Heilræðavísur Stanleys,Faraldur,2004,https://www.youtube.com/watch?v=F35VLZU09T4,f3fe79624d97803f8a7f567305a1d0627addbca2e9a6dbfcac08012bf95b1c84,Heilræðavísur Stanleys
234,Hold You - Original Mix,GusGus,2007,https://www.youtube.com/watch?v=FvwH4cDNbPQ,392a6d97b9d1ed1d516a1a163ce38ed0a26cfd6d23e6367f2fdec2cbe0ba9117,Hold You (Original Mix)
233,Hesturinn,Skriðjöklar,2003,https://www.youtube.com/watch?v=ecx4dlOsqiA,e9634d9cd592239f66e98e8a4ce7f4863097885ad3972a5fb0e2cacd9df44c72,Hesturinn
232,Tenderloin,Tilbury,2012,https://www.youtube.com/watch?v=uDTdjl7kHLA,255dedebcda7ee0225e3f011edb91ddff337e27b323e4ba60e9e2a236d54e5bd,Tenderloin
231,Smells like teen spirit,Milljónamæringarnir - Ragnar Bjarnason,2001,https://www.youtube.com/watch?v=OiYZspX3ZlU,2a54a454e60dffcef9296ff6fd9f9de89a8dc70183246437cc1eca3dd1e76480,Smells like teen spirit
230,Heyr mína bæn,Elly Vilhjálms,1994,https://www.youtube.com/watch?v=el1kDY5S9w0,c27886326db9685c864870cbd5f80c8b071bab1ba0edb891e0568004c290ff2a,Heyr mína bæn
229,Fullir vasar,Aron Can,2017,https://www.youtube.com/watch?v=IlT6nriXR9c,77f655ad16cb2a01da59f396cc66341b960e6aecc7654c206e4bb8e61a551446,Fullir vasar
228,Gypsy Queen,Einar Vilberg Sr.,1972,https://www.youtube.com/watch?v=i2xBb38hcUY,1ea2c5966ad7d29fbf5bbdf64e75b24a99df5b35c2d1d592d39c9bd7ed1069df,Gypsy Queen
227,Lóan er komin,Póló - Erla Stefánsdóttir,1997,https://www.youtube.com/watch?v=a-sHsc5bUlE,994931b721045be94e9bbcb01b5ec290605d7f05aee433611499b3355acad8ea,Lóan er komin
226,Á pöbbinn,Ríó tríó,2016,https://www.youtube.com/watch?v=YNCv028wV2U,e27f939d8739bbebb526801d511787ddfdb8582b58dbe50133423cbe02d06200,Á pöbbinn
225,Góða ferð,Stebbi og Eyfi,2006,https://www.youtube.com/watch?v=-p5uV9aayPo,52313bdb218ba71038ca5d42fe7537fe94be697f4f57578d03d615c22f568dec,Góða ferð
224,Endalausar nætur,Buttercup,2002,https://www.youtube.com/watch?v=TF8rD6tkM5s,3f6afa0a0050cd332ac184387b90ed2c89e5f70f3cbab84e745c26aa774fe915,Endalausar nætur
223,Hún er svo sæt,Hljómsveit Ingimars Eydal - Þorvaldur Halldórsson,1996,https://www.youtube.com/watch?v=TFM6r7p23V4,615b0c69f624191c294282470523fddaa4203836a36037806d3ca91043cd70fe,Hún er svo sæt
222,Too Late,Þórunn Antonía,2012,https://www.youtube.com/watch?v=ezS9z0-xYgI,b294a428b0fbbf1819bbf8fd7b0f603f512171f606a4971b952235f9717bfe81,Too Late
221,Blekkingin,Loðin rotta,1990,https://www.youtube.com/watch?v=6QqG0yEznaw,f44214d29001956868bd66e174a0da621f46c08c4bc1ba1d660da44ba3eead49,Blekkingin
220,She's Done It Again,Jóhann Helgason,1981,https://www.youtube.com/watch?v=Rc5I9PaM4XY,6db981ae34c9e827f161d63b9d6d061cce00d8a81cadc1d37999a9786cfa77ed,She's Done It Again
219,Allar stelpur úr að ofan!,Dáðadrengir,2016,https://www.youtube.com/watch?v=qvmm1e2WpPQ,3155c66dd8bc675cae0fd52cfe17a9898c938c9f5129e610748fadb107825682,Allar stelpur úr að ofan! (Live)
218,Stop In the Name of Love,Bang Gang,2003,https://www.youtube.com/watch?v=C5fL2rxcBG8,b21f1c9d2a70de302f495f1772c526b99043d0775dc7ff38c6fa3d5bd83f87c3,Stop in the Name of Love
217,Vegbúi,KK,1992,https://www.youtube.com/watch?v=IgkZPEHM0cc,b91b5dce548a3396d21f0a36c8d09ba051084507a11b4e529f047d658c2de99a,Vegbúi
216,Komdu í partý,Funkstrasse,1992,https://www.youtube.com/watch?v=3e6ydZpEXd4,1986d9791bcbaefeda32319fdc8da00d178acd0f94b2207fb47488713f0987fa,Komdu í partý
215,Congratulations,Jeff who?,2008,https://www.youtube.com/watch?v=V5_ik4eNRcs,e48858f10cf5d0de74b8e31e2f7152701a0db7e9190dfb98a202a7fa7b45af26,Congratulations
214,Hvítir Skór,BlazRoca - Ásgeir,2016,https://www.youtube.com/watch?v=VKQoBCOW7FQ,a35ddb764028ae672eb3c73b359f20c36c8df0d5d526ec1fb2b991f8cbecf7cc,Hvítir Skór
213,Breaking the Waves,Dikta,2005,https://www.youtube.com/watch?v=hRCBCGbllNU,225790ee6241913565f8bc9a8c2a656c4def8b83a9f2e4b04da1a90fdeffdf3c,Dikta - Breaking The Waves
212,Kavíar,Klamedía X,1999,https://www.youtube.com/watch?v=VAe_eW7qJIA,8e606a8af44fdc79ba09354f1bcd6f06f437877f305ee86de1d6c77f93fa53ed,Kavíar
211,Ég vil ei vera væminn,Tvíhöfði,2001,https://www.youtube.com/watch?v=WZmHv6SPcws,6aedf08c808579848e94d599e2dac22e7b615a97a68e261290a0a723141ec1aa,Ég vil ei vera væminn
210,Flökku Jói,KK Sextettinn - Ragnar Bjarnason,2010,https://www.youtube.com/watch?v=oBJXuuEp9M0,8996ce44f5c8d2d8c4b200a0369e296c55226ed757fec7131aaf89104de7a359,Flökku Jói
209,Logn á undan storminum,Skytturnar,2003,https://www.youtube.com/watch?v=Mr6MXWnA84I,427af6a9e332416015ea877337e17cdd26324611087afcd338f2d69d4f6b5db5,Logn á undan storminum
208,Húfan,Guðjón Rúdolf,2003,https://www.youtube.com/watch?v=z6v0B122kpk,2bfa5816e94e64fb776977ebdc94fe526de92e1c0840c88ebc98512c7ff8f247,Húfan
207,Heimilisfriður,Hljómsveit Svavars Gests - Anna Vilhjálms - Berti Möller,2017,https://www.youtube.com/watch?v=7nEGz0vuh6w,62d5dc227a71d934580230cf4272cb2add6667e936c104e5c75bfe4c77dde1d4,Heimilisfriður
206,LSMLÍ (lífið sem mig langar í),Hipsumhaps,2019,https://www.youtube.com/watch?v=J4NZOLSQim4,d9da8921c4189b180c8388db0340c1e1910ff590493e212ae982d9b0fc9a4931,"Hipsumhaps - LSMLÍ (lífið sem mig langar í) - 30. mars, 2020"
205,Ólafía og Óliver,Björgvin Halldórsson - Sigga Beinteins,1997,https://www.youtube.com/watch?v=YJyaKq4z0tQ,9147842100ef029bb1b8eafc5a6351322efd4bdef5aac2391ee01fbb0752c951,Ólafía og Óliver
204,Maður með mönnum,Vinir vors & blóma,1994,https://www.youtube.com/watch?v=BO4gnFZDJrI,2f6ada0ccc5b8b36c171284e37a97f796427ddb94350d6b9decd375b137e5214,Maður með mönnum
203,Hugarró,GDRN,2020,https://www.youtube.com/watch?v=5kZ8uUzHoog,9f1d10b7ad46e0468632a54ed8266b5e0f6a3a6aaa1ba6e5fa0f416a535c0425,Hugarró
