Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title
308,"Il mio nuovo sogno - Da ""Rapunzel: L'intreccio della Torre Disney""",Laura Chiatti - Massimiliano Alto,2010,https://www.youtube.com/watch?v=8Hp0yQqahhU,3d83f24740b4206035bc8efdc767cc70f85515da5886861e4be7188d43996c63,"Il mio nuovo sogno (Da ""Rapunzel: L'intreccio della Torre Disney"")"
307,"Bang Bang (My Baby Shot Me Down) [From""Kill Bill""]",Geek Music,2021,https://www.youtube.com/watch?v=uyu9hmT-O2E,a28c191029716d93f426c360937f2839120198928550f210ef53f2df17e30b46,"Bang Bang (My Baby Shot Me Down) (From""Kill Bill"")"
306,Across 110th Street,Bobby Womack,1993,https://www.youtube.com/watch?v=o818PfdcfvM,52c2056d288bf45be1319f3a6f7ac45c5cd1108afcea90a0b8beacf38c434642,Across 110th Street
305,Luglio,Riccardo Del Turco,1984,https://www.youtube.com/watch?v=BZ82cOweuhA,239eb023b5cabcba008b11b0ad8bcc6212c88e5a93f354cba2ca42b216bcf821,Luglio
304,Lilly,Antonello Venditti,1999,https://www.youtube.com/watch?v=dSNQbkjkxKs,d1ebfcd50bb9627e591c0d19ed45826724cc833168e648078500f545ead309c3,Lilly
303,Vola e Va'!,Chorus - Peter Pan,2002,https://www.youtube.com/watch?v=qmfY-Uo4vSE,28974ebeb2df7a763a8dbd6185974580acfe28a18b1ce3ed5dd8024652af417a,Vola e Va'!
302,You Never Can Tell,Chuck Berry,1994,https://www.youtube.com/watch?v=Cn9t9bfbksY,745bc103da4cbea1239796cb7095a05cd44dcb42a19642755f2b532d7e7bca6f,You Never Can Tell (1964 Single Version)
301,lovely (with Khalid),Billie Eilish - Khalid,2018,https://www.youtube.com/watch?v=MMfpp0-lnw4,d4bb756025e3e592d13a1845a5f13bccb7376fcbf04fc6f87bd3d1b7374f65f2,lovely
300,Everybody Needs Somebody to Love,The Blues Brothers,1980,https://www.youtube.com/watch?v=KxHBtiVlsyI,ed41eb18edfbc22c3eb30650ed569cc3372b3ba3c6e4536fefc0175bc73f5fd1,Everybody Needs Somebody to Love
299,May It Be,Enya,2002,https://www.youtube.com/watch?v=acM4c1BYVlU,d397ebc6fb94f572c918efd9e69e0485fda06883d59e7d7f5b368a4d0629cd9b,May It Be
298,Somebody To Love,Queen,2018,https://www.youtube.com/watch?v=Xc9MrgDm7NI,4f54d1134bcc19dc39e8846edd8885e24190612292910befd76b014dbae50932,Somebody To Love
297,"Trinity (da ""Lo chiamavano Trinità"")",Annibale,2011,https://www.youtube.com/watch?v=D6OQtXunLgo,6e1b6acf6711f3e691704b007a0354ee7011a6270e82d1eb011a4c31af927860,"Trinity (da ""Lo chiamavano Trinità"") (Remastered)"
296,"The Best of Both Worlds - From ""Hannah Montana""/Soundtrack Version",Hannah Montana,2006,https://www.youtube.com/watch?v=pAWseFS4eAk,3e5ec9199b86e56fb6a4d19fcffa936bfbfc9dd0451b9198e3e8eb64b67a4abf,The Best of Both Worlds
295,Moon River (From Breakfast at Tiffany's) [Remastered],Audrey Hepburn,2014,https://www.youtube.com/watch?v=4zVF_6HW5d0,6d7796f5bb5131ae1bb45d3803a1fd7f5266da5a7f8b0402e265636653f0deac,Moon River (From Breakfast at Tiffany's) (Remastered)
294,We Are Sex Bob-Omb,Sex Bob-Omb,2021,https://www.youtube.com/watch?v=tceoGDRxtcI,37e9104cfb24fead0764fe0d175198c0b252e0fbfba2e20e6370493d9b0a88a6,We Are Sex Bob-Omb
293,"Jai Ho - From ""Slumdog Millionaire""",The Hollywood LA Soundtrack Orchestra,2013,https://www.youtube.com/watch?v=0PRzlpvHLPE,54297c440dc4eaed6d46e0972765a3efb0c569e2e1ee5997d768e7f434f157bc,"A.R. Rahman ""Jai Ho""- Nobel Peace Prize Concert 2010"
292,"Runnin (with A$AP Rocky, A$AP Ferg & Nicki Minaj)",Mike WiLL Made-It - A$AP Rocky - A$AP Ferg - Nicki Minaj,2018,https://www.youtube.com/watch?v=n8pSWteX2qg,0fdde43e2d3218623b7270d1461fa1ce88ebaccd79413fe00ba352dc75efac9a,Runnin
291,All The Stars (with SZA),Kendrick Lamar - SZA,2018,https://www.youtube.com/watch?v=vdXsLt0o_9g,91e6afd71fde9e161e034aba5104109394554174570876bc7ddd66de5668dab7,"All The Stars (From ""Black Panther: The Album"")"
290,Non si nomina Bruno,Renata Fusco - Fabrizio Vidale - Ilaria De Rosa - Alvaro Soler - Diana Del Bufalo - Margherita De Risi - Encanto - Cast,2021,https://www.youtube.com/watch?v=3y05sCABF6M,ee8b0dbdfab34d3c971e7246b225d7a0456bf6265f41819a8a7c7ed16d79cb68,Non si nomina Bruno
289,"New York, New York",Liza Minnelli,2009,https://www.youtube.com/watch?v=5-pyc_z7WbY,d0516113175a942e1aebbdd891cee2e3094c3f68dad6a34c251a36437aa7e0c5,"New York, New York"
288,Wake Up,Rage Against The Machine,1992,https://www.youtube.com/watch?v=yPMEV-S0V3o,09b3582708fead8000bcca1a5acecdf1f1db43144403561f0757ff25ed90283d,Wake Up
287,Low (feat. T-Pain),Flo Rida - T-Pain,2008,https://www.youtube.com/watch?v=uUL8a7eJCk8,a4d5f70bb42991dde23ecbf2fabc3b4b23faa931e743bdc45fa4ae2917893d49,Low (feat. T-Pain)
286,It's So Easy,Linda Ronstadt,2005,https://www.youtube.com/watch?v=5TQIoUr90Ww,91eb35a5c21015e026753865d80ee775a28338236f3bd8580c1c8eca3b3b089e,It's so Easy
285,Bloody Mary,Lady Gaga,2011,https://www.youtube.com/watch?v=1e32cgJrbBo,d400744bf8ca61d141d28fb7c553f95725742611af8f4b2adbb47458a8e45010,Bloody Mary
284,Romeo's Swing,Cast - Aristocats,2003,https://www.youtube.com/watch?v=rb6PIdi4hGM,635625eb68b28512e6123ba58f319a67b967e2d68baf8e8930c9912888c515c1,Romeo's Swing
