Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title
308,Price Tag,Jessie J - B.o.B,2011,https://www.youtube.com/watch?v=kn5VnkEGxzo,a52e36e5e5743f6a22b99e6b9cfdc2f64f76816bea47dae70d958d51523c3758,Price Tag
307,Piece of My Heart,Erma Franklin,2009,https://www.youtube.com/watch?v=QsRo9JNrNe8,746cbd8018d6fbbf1cf7a82992a2a7371d6dc5c5510004e313ab94d163893ed9,Piece of My Heart
306,Questo piccolo grande amore,Claudio Baglioni,1972,https://www.youtube.com/watch?v=aiM_s07SXhY,3b99b685851217756d7ab1db41c5f421cb2e12b31fbbe0b34d8d09baa0764dfc,Questo piccolo grande amore
305,Rose rosse,Massimo Ranieri,2000,https://www.youtube.com/watch?v=2gzi6Hywp5Q,d7b5d7936764164eb065a0172a2d0d5aa3db221b1075903bb2341770790fa552,Rose rosse
304,Waterloo,ABBA,1974,https://www.youtube.com/watch?v=9y-8ZiAJiQo,179f52e9e7dbaca297d5596d23d4fe1f424ebdcffa57269d3a53edbad13a9de9,Waterloo
303,Nel Blu Dipinto Di Blu,Domenico Modugno,2008,https://www.youtube.com/watch?v=sV1cVRzfBAE,1f4a889a022b4a5489bcbff3845d3e07d812a526d3084177861d501a142e1687,Nel Blu Dipinto Di Blu
302,I Got You (I Feel Good),James Brown & The Famous Flames,1966,https://www.youtube.com/watch?v=iSLwVaebsJg,1bd9096577e1e149b2c56d242bcac16201b19917f09b6873e3297b331ec479e4,I Got You (I Feel Good)
301,La Cintura,Alvaro Soler,2019,https://www.youtube.com/watch?v=IOFyEbXzFKs,b2e7620cff4f58bfafee49bcffff0b7cddfe6a300afcc264e338218b3975a8b4,La Cintura
300,Celebration,Kool & The Gang,1980,https://www.youtube.com/watch?v=TBS6gAtj8gE,ac83c162f1079c8e65f88dfab09eebd8e34dfa17f741d9609712b17f947876e9,Celebration
299,Non me lo so spiegare,Tiziano Ferro,2003,https://www.youtube.com/watch?v=eOcJy3hhr78,34fdbafa41bfb7a754326a57b7463f4e524f382238fde4c1d02de25ea58b8cc8,Non me lo so spiegare
298,Rimmel,Francesco De Gregori,1975,https://www.youtube.com/watch?v=I1dK0MBir1k,951016bc440a9409808924396a245a70ff609a694eb90a0816c1aafa27ca821c,Rimmel
297,Un'avventura,Lucio Battisti,1969,https://www.youtube.com/watch?v=tveolG9itU4,fb940258b65d39c6b0109c057d2b816919f056f8efa6879864cb8107e9c6931f,Un'avventura
296,This Is The Life,Amy Macdonald,2007,https://www.youtube.com/watch?v=Z_OJN7hCrAI,0c56c76f1ac602005de58ab5657b9413d7073bd45afe25c0b303c5e2209687ec,This Is The Life
295,La Partita Di Pallone,Rita Pavone,2000,https://www.youtube.com/watch?v=qgBm5zVL3rY,3001ddfbef0b761f1f4f0d79bc1ac649ab60fa4e237d9de3c7e66fd15628a18e,La partita di pallone
