Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title
308,봄,Park Bom - Sandara Park,2019,https://www.youtube.com/watch?v=BhUMy_KQ93w,154a8af19351c78c888bc1743540ca7643a94bcd300f98b482bb8857e397956f,봄 (feat. 산다라박)
307,네게 줄수 있는 건 오직 사랑뿐,Byun Jin-Sub,2021,https://www.youtube.com/watch?v=V6ZXNSfyhHU,bb8101c1f6fd01fe68e18c041e706ab6d80325c706fcd7c5c0dd735f45c98a52,네게 줄수 있는 건 오직 사랑뿐
306,White Winter,Mr.2,1993,https://www.youtube.com/watch?v=ql7WfNJ5ks0,e3bdedf79f9ee7a8e5c5f4f6b5f62efaefec166531ee4508afece780e43f3fbf,"Mr. 2 - '하얀 겨울' | Mr. 2 - 'White Winter' 【KBS 가요톱10, 1994】"
305,슬픔속에그댈지워야만해,Lee Hyun Woo,1991,https://www.youtube.com/watch?v=2GutMlITO0s,727d071cb81c12e630a48d99394d3921019284abfeb84e402af6ea5fb90bca1e,슬픔속에그댈지워야만해
304,사랑 Two,Yoon Do Hyun,2004,https://www.youtube.com/watch?v=3Uf5dVnAhFg,faebdbb7c18cff3e2e91ae64279859ac30fff2c75ea8a7af5087558ada300b70,사랑 Two
303,꿈을 먹는 젊은이,남궁옥분,1982,https://www.youtube.com/watch?v=tYFnWUYGSdE,6fc0f9497291fd478fec867d5f47777b23ffbc04c63b69c17b5378341cea94c5,꿈을 먹는 젊은이
302,깊은 밤을 날아서,Lee Moon Sae,1987,https://www.youtube.com/watch?v=E6dYA7qlXHU,723dfea6ebafc18408e05d32e0349616ff65f511784ab3baf8b657b99e8e3d06,깊은 밤을 날아서
301,Standing Next to You,Jung Kook,2023,https://www.youtube.com/watch?v=sn0viUbmUVU,bf9d40c66cc5490e8d4af886d28ac7fbffe0ee9c6aa9e32ab8c804f8a64935a6,Standing Next to You
300,말달리자 Speed Up Losers,CRYING NUT,1998,https://www.youtube.com/watch?v=Xwuc7co9OC4,5ebb18c0fc4e70aec8cebf074aa64bce035330a9c82e6ed0cf7df07df7483e88,말달리자 Speed Up Losers
299,CROOKED,G-DRAGON,2013,https://www.youtube.com/watch?v=ywoyAdPEyTg,404c576aad478752e6f63ff69ef3374520f7d58771998808cc5eee1494ee885a,삐딱하게 (Crooked)
298,굴레를 벗어나,DEUX,1997,https://www.youtube.com/watch?v=UMhGPxDYY8Y,5aa8f7ff8616b874891245cf1b766d0a271b1284ad875b261a67379a31b1bebb,굴레를 벗어나
297,이별의 그늘,Yoon Sang,2001,https://www.youtube.com/watch?v=J4pQBYxDpCQ,07d85596aec019fcea2a3dbda5a1999856607ae16e6f366a7a9f48e5d0dfd51d,이별의 그늘 (이별의 그늘)
296,Décalcomanie,MAMAMOO,2016,https://www.youtube.com/watch?v=fFZ1__X-kKs,eb608a6644b7064473a2595880d5308050f03daebf3023e2a0b23d34301e3b1d,Décalcomanie
295,바람바람바람,김범룡,1985,https://www.youtube.com/watch?v=wbXPmuez154,c9a29127f1096d7f4edf1fa3fbfb853de0231d6d2a2649aabab8962b2670154b,Wind Wind Wind
294,"How can I love the heartbreak, you're the one I love",AKMU,2019,https://www.youtube.com/watch?v=KczYjTVrK_o,26cb2a93fea5c446ddcf2db42ca29fe6ecd7d178b06f6f39878e665a0bd52ca8,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지 (How can I love the heartbreak,..."
293,Travel,BOL4,2018,https://www.youtube.com/watch?v=DMcRIihAq9Q,92c57e6842ecc1688fd3bd05d2bb92f31afdf701688422e480bf262f973904f2,여행
292,T.B.H,QWER,2024,https://www.youtube.com/watch?v=pbELDkeLdho,f2559ef1018cd0b4d2f6fa0d677487807f125b62ac92683605afd49da914b00d,T.B.H (고민중독)
291,Ordinary Confession,Lee Mujin,2023,https://www.youtube.com/watch?v=GefgcOILY9s,94369101616089211923e6bf04c48162d4db3954cbebd2a3f613179fbf991917,Ordinary Confession
290,FAMOUS,ALLDAY PROJECT,2025,https://www.youtube.com/watch?v=Gih5JOFQ1YQ,9cf95db185b8d606adfaa095244a1309934bbfaeba07ddd3af0f6df21433d2b5,FAMOUS
289,CANDY,H.O.T.,1996,https://www.youtube.com/watch?v=BaQDN_Ex9L4,8c20ca543dd3d3c9f496e0231e7953930691df499af60e2809ceb056c2cc7039,캔디 (Candy)
288,거리에서,Sung Si Kyung,2006,https://www.youtube.com/watch?v=mLwfuskNDOo,ada90da40d1b42faebcb10b69c145ef6c5a5c8c700562e24fcb4607c2c30944b,거리에서
287,It's Me (Pick Me),PRODUCE 101,2017,https://www.youtube.com/watch?v=_wNWJGSFcwg,f859e4bf7bbef45b18365391e92bdd86d60e89038881124687cc7aac14be20fd,나야 나 It's Me (PICK ME)
286,못난이 컴플렉스,YTC,1996,https://www.youtube.com/watch?v=UTIebcs2o4Y,49a41eebaf948db99b69b088acc0c58e2ccfc1ce7c8c0f7996bd329555afd309,못난이 컴플렉스
285,시작,Gaho,2020,https://www.youtube.com/watch?v=XbaSYBK5Nc0,d8bae963c214af526fdffbc62954cb4d74a625084c80ce2f82d67765da8e3c37,시작
284,이별 아닌 이별,이범학,1991,https://www.youtube.com/watch?v=dS5BCRZcqww,482fd23578163b8811d00c9458fedcacfcc9028eef4416d883a67d1611f62883,Farewell that is Not Farewell
283,Super Shy,NewJeans,2023,https://www.youtube.com/watch?v=0c7zGU2C2mM,eaf92ca512ba0d290af52fbd9de484fe8182fd8abfaee2d24f09ce3ba48beab5,Super Shy
282,Blue Valentine,NMIXX,2025,https://www.youtube.com/watch?v=TLftyCObb_E,e45219dfa37e41a94f5bebe2b68b2d2f2c2b42a8b254c5f1d71bb59497a0d019,Blue Valentine
281,You In Vague Memory - Original,HYUN JIN YOUNG,2023,https://www.youtube.com/watch?v=6wMUCMGFXPo,b95613ae65188183127192f8376d1bac8438deba31e4045febb2cfa59be8eb93,흐린 기억 속의 그대 You In Vague Memory (Original)
280,사랑할수록,BOOHWAL,1993,https://www.youtube.com/watch?v=ip3lOkHUiKc,72b33e7abc3864ef6d0bc2ef8df7a00cbb08bb801e045e99e1dd66bf76a18b80,사랑할수록
279,걸어서 하늘까지,장현철,1993,https://www.youtube.com/watch?v=uB9-e9vaIHU,8b11e7f6515fe793d5b7e0a5efd1324496f501cc0f0fc41ffd6a1b7baf0f6a12,Walking to heaven
278,After the Play Is Over,샤프,1988,https://www.youtube.com/watch?v=36u3s430p8E,c112dff36e6a7345a7af3065571618946568fb5326dd12f13edadbb00303e43e,After the play is over
277,니가 하면,GOT7,2015,https://www.youtube.com/watch?v=AeJmEjVDH58,080b56e2a414a84c09ebf2015c32a74cba7498b1b3b2ec6cfa6026fe4ca318bf,니가 하면 If You Do
276,Someday,Lee Sang-Eun,1993,https://www.youtube.com/watch?v=CNOjcBxR4X4,410e1cb80ad39c2c46b4a5c0da467167a002580243621eea5e8a0b4bae119ac2,Someday
275,존재의 이유,Kim Jong Hwan,1996,https://www.youtube.com/watch?v=jNdHXVctaCg,b967438aa207a2422352378bf1d6081183ea4fde2caa88a4587b3f6b07e23e28,존재의 이유
274,그 아픔까지 사랑한거야,조정현,1989,https://www.youtube.com/watch?v=zfSiLSW1u4Q,c8d96898983a8c424f71715fa2a4edb9366ffb06a14888aa0bce14120dffe78e,그 아픔까지 사랑한거야
273,Very longtime Lovers,015B,1992,https://www.youtube.com/watch?v=8TOAwryBotE,3e36532785b3938629de9940625d413b7b9e0498a16af4bf1320bce801cb192f,아주 오래된 연인들
272,영원,SKY,1999,https://www.youtube.com/watch?v=T2C96CCP3tg,af8a84e92e6b3c62b89bac59803a3497deff7939e7d70ae98910f650989c1112,영원
271,"무제(無題) (Untitled, 2014)",G-DRAGON,2017,https://www.youtube.com/watch?v=Nged3LwJsvQ,3e76284408619034951f32d92cb082d0458a5a42636a6cf40bc13804d6975010,"무제 (無題) (Untitled, 2014)"
270,To you,Shin Hae Chul,1991,https://www.youtube.com/watch?v=_qbkjD8f8A0,503b8baff7eea879ad10151f67f6b948f9ea59220a8f76c2139c5d37ae58e428,그대에게
269,어젯밤 이야기,소방차,1987,https://www.youtube.com/watch?v=MuiwjDqh5ZY,ae4a1443cd493296d2bfd06dda968403af44fed7dc22a0a204b29bdfe466b3c3,Story of Last Night
268,Sudden Shower,ECLIPSE,2024,https://www.youtube.com/watch?v=ESWcsKySnNs,fe5070dc3e7614842a5c53d9ed3e16e925c976fd4d23a9f30ddca017baa1b672,Sudden Shower
267,HER,Block B,2014,https://www.youtube.com/watch?v=g4pDuadNyzo,18a6d75c940e28fa2b5ba9ff8bdd8bf027cfdcdae0bb4b1b14e3507f2a8a647c,HER
266,You Are My Everything,GUMMY,2016,https://www.youtube.com/watch?v=XvE8T99zpUw,c1f8897ee4f8ee8dee502ffaf60978fef0761b8ea15839bb608a594869301803,You Are My Everything
265,쾌지나 칭칭,1TYM,2000,https://www.youtube.com/watch?v=Q1of-qbqOt4,cab11802bf82060cb035f74d97499194ebd468be1f249fd439d6a3598858229c,쾌지나 칭칭
264,BEAUTIFUL,Park Boram - ZICO,2014,https://www.youtube.com/watch?v=uFogEwzH4a0,9bd91081374d999af4e094984d0b0be2579962296e9ee982361e30b5ccc4791e,박보람 (Park Boram) - 예뻐졌다 (Feat. Zico of Block B) (BEAUTIFUL) MV
263,Gangnam Style (강남스타일),PSY,2013,https://www.youtube.com/watch?v=-XJEuZQ1Skg,9b7eb3cc2b978e6a3aeb5dffb35bc53536b4f94e6466480a672d30a8f6c3691f,Gangnam Style (강남스타일)
262,D.I.S.C.O (Feat. T.O.P),Uhm Jung Hwa - T.O.P.,2008,https://www.youtube.com/watch?v=C0USKQRvuIc,698c5e996230ae023d8dd3741e7762884b7c0b7b38577084bb037debb3ac4356,디스코 (D.I.S.C.O) ft. T.O.P
261,Short Hair,Cho Yong Pil,1980,https://www.youtube.com/watch?v=jW6Eq7Zc0g8,dfa0142112f7c3cb7db8ace3a2024d27a8079bd21159294a4f74e2efd6fdee47,Cho Yong Pil (조용필) - Short Hair (단발머리) Lyrics [Color Coded Han/Rom/Eng]
260,입영열차안에서,Kim Minwoo,1990,https://www.youtube.com/watch?v=oWZoA8WUJSg,e47066b64a943c1ba573c33b848a969e23437d002b0b8118bcff8506f4184b5a,입영열차안에서
259,Talk Love,K.Will,2016,https://www.youtube.com/watch?v=DuPkqQ0gv8E,508dc04cd1d7f86ea952d01d646a1ce36cb04aa92f1288fad59a8189ba05b9b0,Descendants Of The Sun (Original Television Soundtrack) Pt.6 - Talk Love (태양의 후예...
