Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title
309,Supersonic,fromis_9,2024,https://www.youtube.com/watch?v=MR2ela9evnk,619c48db057d6f42699716aec9ad5a5cc9b69c2541c9b938ccce994a745f12b4,Supersonic
308,Get Lucky (feat. Pharrell Williams and Nile Rodgers),Daft Punk - Pharrell Williams - Nile Rodgers,2013,https://www.youtube.com/watch?v=4D7u5KF7SP8,3cdb59a1dcc5033f7f10593cb15a691c6ea7284770642c6d66a2facd8335daf8,Get Lucky (feat. Pharrell Williams and Nile Rodgers)
307,Green Green Grass Of Home,Tom Jones,1997,https://www.youtube.com/watch?v=EmT1ptv3VEc,451dc6ff5b5e9f1c1726f0b196d02f7f0d684b9fdae55836157c3cc0062d5fc9,Green Green Grass Of Home
306,Don't You Miss Me?,Bunny Girls,1973,https://www.youtube.com/watch?v=9VWipJl__LU,91238a505f2c4737d419f3e93fcfb284ea28fd3f5b9507c30d106e753c605b38,Don't You Miss Me? (보고싶지도 않은가봐)
305,갑돌이와 갑순이,Kim Serena,1987,https://www.youtube.com/watch?v=O6QV7a8mQko,085c6721782865b8fc9593f4e6c9a135f206c9c5ed113d64bef5b714d9b7cad0,갑돌이와 갑순이
304,그건 너,Lee Janghee,2011,https://www.youtube.com/watch?v=Y2V6-Kot-q4,4688e01852201684df5928f4797930ef2bb830bd5f465415d6c86f5155286820,그건 너
303,I've Got a Woman,Ray Charles,1994,https://www.youtube.com/watch?v=hc24itDDCvM,47747040f01ba09670b22a51a9c518c769c480f3979a6731f71661e1d9e34407,I've Got a Woman
302,빨간 마후라,Johnny Brothers,2004,https://www.youtube.com/watch?v=If4UO1hN5KE,a80b5ed0f05e433cb090a9a307c9417315a2ac06dd331bd7969577e8d5da9d20,빨간 마후라
301,Tiger is Coming,LEENALCHI,2020,https://www.youtube.com/watch?v=vmIhY9k5KYM,cb9bf7f81343710ce3802a01f9802c49cbb86c960dad7201b0e465779aabbe8a,이날치 LEENALCHI - 범 내려온다 Tiger is Coming [360 Official M/V]
300,甜蜜蜜,Teresa Teng,1979,https://www.youtube.com/watch?v=KrAc3uKfgQs,15decf5b4ed772c6f27d5cacec440eeb5bb7a70abf69fabfbacda03466a03fd6,甜蜜蜜
299,雪の華,Mika Nakashima,2003,https://www.youtube.com/watch?v=7wmC_xX_JJU,65ecead7e76f90d77fe9585a22e306cddf5c013c2b5289f17f17ab7990c6a07a,Yuki No Hana
298,Beautiful Woman,Shin Jung-hyun and the postcards,1974,https://www.youtube.com/watch?v=cdaUCzj0aqA,4275fe37f7438b11c7c33177fbda5e047cd91ebf9835328bf2ef959ab7924401,Beautiful Woman
297,커피 한잔,Pearl Sisters,1994,https://www.youtube.com/watch?v=DU8WYPVud2M,6c3864b5b4ea7184a0263a504782c775289594df5bc8ff9017ef3585c693de6f,커피한잔
296,Halo,Beyoncé,2008,https://www.youtube.com/watch?v=VqQeT7wKqvs,5431ff5b8d0ed0366720da98a0e98f49d2eb9a3e7e2e822e54708f39e55af134,Halo
295,The Wanderer,Dion,2001,https://www.youtube.com/watch?v=trEBTaWNHeU,34cad60e5f083028ea08429ddaf4eab3c74ee24892617d207b1a4d928eae9702,The Wanderer
294,Blurred Lines,Robin Thicke - T.I. - Pharrell Williams,2013,https://www.youtube.com/watch?v=UJHEK0GIdYE,a4842526d49d15cea5913c0de3e9c3cf47d1928315a79240de50563d522177c0,Blurred Lines
293,"수고했어, 오늘도 Cheer Up",OKDAL,2011,https://www.youtube.com/watch?v=ctd_lt27YrM,80a0a242188163e62b72e197c2e5d91ee5d93a56c9f7a22736d7078070914a63,Cheer Up
292,Permission to Dance,BTS,2021,https://www.youtube.com/watch?v=LCpjdohpuEE,29b9bc24502b0580c578c2f3978bc93aa0ebce2cedc7fbada44a254caa709e6a,Permission to Dance
291,2 Phút Hơn - KAIZ Remix,Pháo - KAIZ,2020,https://www.youtube.com/watch?v=Ra5qZDJefJs,f366e3b6da8e63d4578ed2c96eca6e98c779b8df400a68e4676378cdd2458c17,2 Phút Hơn (KAIZ Remix)
290,Flowers,Miley Cyrus,2023,https://www.youtube.com/watch?v=BkSSOGNeWTM,c1115d7503478982a958fc75ab8405f7b19c150d36ef559c6fac72f490f3a9e0,Flowers
289,If You Leave Me Now,Chicago,1976,https://www.youtube.com/watch?v=OaOQdWyN67U,a5e506dbcc692646bb9df891dfc326b0647a4ef8c08458fd827d09ab29c65132,If You Leave Me Now
288,Under the Bridge,Red Hot Chili Peppers,1991,https://www.youtube.com/watch?v=4UnU3r0M3zg,a4f90321105a3a4da6916a230c39598df4412937036d57e8aa0c79c027fc94fa,Under the Bridge
