Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title
308,Boushret Kheir,Hussain Aljassmi,2012,https://www.youtube.com/watch?v=QUBvVTNRp4Q,f35c96fc26d9017bfbf3bbc9a00d23d29c0b0a93605e6419392a902f9eda7d2d,حسين الجسمي - بشرة خير (فيديو كليب) | Hussain Al Jassmi - Boshret Kheir | 2014
307,When a Man Loves a Woman - Mono,Percy Sledge,1966,https://www.youtube.com/watch?v=dsQriJbxYBU,a86801463797ccf9042861b980d2027c7553895bdd5b4043d56cc37a04ac6088,When a Man Loves a Woman (Mono)
306,Yay Yay Ya Nassini,Georgette Sayegh,1974,https://www.youtube.com/watch?v=O927XmJPpcM,268ed37bf2b736348b55b787d288d37a3b1842b8dbf0964e48fb889c84b59dee,Yay Yay Ya Nassini
305,Alf Leila We Leila,Umm Kulthum,1966,https://www.youtube.com/watch?v=3xzySqYNKkA,15657f81eb1c6aad6455f41e99c678898f74b6bca6ef58296f5c64c42eb326ea,Alf Leila We Leila  Umm Kulthum الف ليلة وليله  ام كلثوم
304,Hezzy Ya Nawaem,Issam Raggi,1996,https://www.youtube.com/watch?v=gzbRMHKF0f4,c0c66fc9581b7780b2bd329c5c05da8b4a8c13f927c343ed70bcd539be41e9bd,Hezy Ya Nawaaem
303,Fowq El Nakhel,Nazem al-Ghazali,2012,https://www.youtube.com/watch?v=2H32Zm3Deto,c3c660a72909513432d46243b986392c265c12837fa199ed9c673172bdb139a7,Fowq El Nakhel (Fog al-Nakhal)
302,Ashofak Kil Youm,Mohammed Abdu,2008,https://www.youtube.com/watch?v=lVFA_gpxHAc,43678c01aca25abffe439d093fca679e650d205df4a25b84f4c4f3f6b0ea49eb,Ashofak Kil Youm
301,Ti Ra Ra,Always April - Bashaar Al Jawad,2021,https://www.youtube.com/watch?v=CLm2t7RwzaY,6973654d433240ea38c6a6e9dd36e65d6a6dfed1ee112d16e588069059abbb43,Ti Ra Ra
300,Don't You Want Me,The Human League,1981,https://www.youtube.com/watch?v=dcZjXy-_Fcc,20f6304b82ee09cd35df0806325950d50961e19f56be8866c9819b9e75f08afa,Don't You Want Me
299,Yeah! (feat. Lil Jon & Ludacris),USHER - Lil Jon - Ludacris,2004,https://www.youtube.com/watch?v=XGXZOQ8yTU4,478e1855d6766e960bf4d4cb932d379b2e141cce3bfaa12a50b7168812634dfa,Yeah!
298,Addouka Al Mayass,Sabah Fakhri,1990,https://www.youtube.com/watch?v=YZU9d0Rypj8,2aa885fbe6b07c14a97172438e99894ded34bedab08b723b05fd357dae401d15,Addouka Al Mayass
297,Deggi Ya Rababa - Live,Samir Yazbeck,1970,https://www.youtube.com/watch?v=KMQ7Cy_t82Y,8cc82303eb58a6055338907ed9d8adc54a9e075ba38c228a75a4a9aa5989f234,Deggi Ya Rababa (Live)
296,Empire State Of Mind,JAY-Z - Alicia Keys,2009,https://www.youtube.com/watch?v=_ydMlTassYc,3fe9ae3461a9fa3c06fa7b127499aa5817cdd7270fc0bb754219fa580af89360,Empire State Of Mind
295,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Brian Hyland,1961,https://www.youtube.com/watch?v=s9HUWF6xLEA,a46efe6193dc5b7d60a8cf9e2c6fc9a1e162aea498e7ef5e167e080f96fa1107,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini (Single Version)
294,Lamaallem,Saad Lamjarred,2015,https://www.youtube.com/watch?v=xWl5NcRB8UI,436b9ea31329d341cb50a42f0de0e115c51bab063adcd2e19142a2f28747a28f,لمعلم
293,We Are Never Ever Getting Back Together,Taylor Swift,2012,https://www.youtube.com/watch?v=65Q7EdWnjqM,1d5cfcc54e8b703f45e622a601f25c21869862232a6486a0c615950b7c2e6cce,We Are Never Ever Getting Back Together
292,Elghazala Ray2a (feat. Mohamed Osama),Karim Mahmoud Abdelaziz - Mohamed Osama,2021,https://www.youtube.com/watch?v=dBar4qHVMjw,3dc54c7d46134556eef7e3427549b0fb128717af5e23061e238b5123fdbaa8c3,El Ghazala Ray2a
291,Hadal Ahbek,Issam Alnajjar,2021,https://www.youtube.com/watch?v=lFvLQlfLW0c,4baedc07c3b9151a0f4467b77daf66fa479ad6028da681ef3e3d1969332391b5,Hadal Ahbek
290,As It Was,Harry Styles,2022,https://www.youtube.com/watch?v=nujn6wbr-e8,fb7ed13b382f78948a76986a895be73effcf1e092c9014fa23155575b6591b3e,As It Was
289,Take A Chance On Me,ABBA,1977,https://www.youtube.com/watch?v=DkkQ8dCPiwA,c1ffd8776929f69f7928ca6ca3625d568e759615e1fa14a795875dfb0868143b,Take A Chance On Me
288,Don't Speak,No Doubt,2003,https://www.youtube.com/watch?v=Q7uiJcxIsK4,06ae2026e40c3b3823ab1473cd54256f5df58ce82dcbceccb13bff8a80b7e270,Don't Speak
287,سوا (مع رامي عياش),Maya Diab - Ramy Ayach,2011,https://www.youtube.com/watch?v=6xZyxlQJzzU,4506872a9dbb1a1ef8a4d0974a1073b254e55f85b6093a47d44b49891dbcbcb2,Sawa (feat. Ramy Ayach)
286,Stayin' Alive,Bee Gees,1977,https://www.youtube.com/watch?v=aZ5fQyiZgns,97f09f2d258b4b8062be6b8a578f994d3463dec7d665ba8422f6e8215b82eaf0,Stayin' Alive
285,Lean On (feat. MØ & DJ Snake),Major Lazer - MØ - DJ Snake,2015,https://www.youtube.com/watch?v=FFMMFR21lK0,982d6aea184360134bd47636d4f24caf5fc755c36a2aafef14eb6d3ccf6b56cb,Lean On
284,American Pie,Don McLean,1971,https://www.youtube.com/watch?v=iX_TFkut1PM,27b560454c0379b983618c7eb76c6eddf4aacde1bee0859d2595e7fed6799005,American Pie
283,Fady Shewaya,Hamza Namira,2020,https://www.youtube.com/watch?v=epJw2kDScTE,028b25011e6d8d6eb06381ae53ae950dd19f25fb02b778493b9848232e403248,Fady Shewaya
282,Ya Leil W Yal Ein,AL SHAMI,2023,https://www.youtube.com/watch?v=chAwfGsDKJg,7238fe35b94c052b20ead03b9b781e1166cecdaa1cb67022711e9cce2720f674,Ya Leil W Yal Ein
281,Ya Setti Ya Khityara,Taroub,1973,https://www.youtube.com/watch?v=DW-m1MS0S6Q,ec95e2a2e3b5148b6c2316b01a70846e9886817b180584312cc22b02c6e6dcd1,Ya Setti Ya Khityara
280,No Woman No Cry,Bob Marley & The Wailers,1974,https://www.youtube.com/watch?v=ACIYuW91Zms,bd9b99d0795da89ac6f3b0988254c2e7c0b10e70e39ebe2f9e56ad24f1fdc5ed,No Woman No Cry
279,Aandak Bahriya,Wadih El Safi,1974,https://www.youtube.com/watch?v=pi7mdtWk9fM,c3b0cd403d9bc439a29aa6c96ff1db417055b23d28ebeaba52bcb024f7ee068d,Aandak Bahriya
278,La Mosh Ana Elly Abky,Mohamed Abd El Wahab,1989,https://www.youtube.com/watch?v=veekVgjBMUI,c3b16b155fa65b5fddda249c8b7e3873f989414c6985da628912693941fe7069,La Mosh Ana Elly Abky
277,This Is The Life,Amy Macdonald,2007,https://www.youtube.com/watch?v=Z_OJN7hCrAI,0c56c76f1ac602005de58ab5657b9413d7073bd45afe25c0b303c5e2209687ec,This Is The Life
276,Sweet Home Alabama,Lynyrd Skynyrd,1974,https://www.youtube.com/watch?v=iL-jC7XyLeo,979ec8aba71700374c6b790ae6d6e5010e88ddb911bf5e4053db57baf6f40668,Sweet Home Alabama
275,Helwa Ya Baladi,Dalida,1979,https://www.youtube.com/watch?v=39RHI3ZZwLc,e398f9149b872b1ad58ece0f79c212e9b9441537d43ff1e09267890328ad7cb9,Helwa Ya Baladi
274,Respect,Aretha Franklin,1967,https://www.youtube.com/watch?v=UWUHaUJfhSo,1b95bcd5dc20220514815b18a42b192073846d9e8fa1bab319d132550aece9d1,Respect
273,Jolene,Dolly Parton,1974,https://www.youtube.com/watch?v=gkMSLx2ly0A,76604b2f44004d1c3367c11f5d733e794ef211fae7e3741d7638b97946899395,Jolene
272,Come On Eileen,Dexys Midnight Runners,1982,https://www.youtube.com/watch?v=GbpnAGajyMc,e98d547a28c61f8fc658cc6c7e666500aa912664e34578f91639478aa39ea295,Come On Eileen
271,Whatcha Say,Jason Derulo,2010,https://www.youtube.com/watch?v=XQUt2NT6Af4,3e87fee448c488865b463d0301ca3599c72f4a7ebb6e4ae73205b26a102c47cd,Whatcha Say
270,Ya Tair,Fairuz,1967,https://www.youtube.com/watch?v=mxsAAYjdYPs,aa8d1baaaeaa47e2f4240c3ec127d2351ec40b7238dc6e943a8999a992bcb64e,Ya Tair
269,Enta Omry,Umm Kulthum,1966,https://www.youtube.com/watch?v=XPGHpBOt5sE,373d0e294e804a5b183bf8cc3d8e4a31454eab1e0211a151c18999901beedd1b,"Umm Kulthum ( أم كلثوم ) live; ""Enta Omri"" (English subtitles)"
268,Bad Habits,Ed Sheeran,2021,https://www.youtube.com/watch?v=hJWSZDJb-W4,a2dfe3024c278d31b9e6db686cb0515ef0758bcef3122e7aa33935cfe54e168d,Bad Habits
267,Hips Don't Lie (feat. Wyclef Jean),Shakira - Wyclef Jean,2005,https://www.youtube.com/watch?v=6Tj4DsgJC4Q,f1c6be1d762821c51f78d32a41d2fd573f9ec5d52f914693f6723c2837752d93,Hips Don't Lie
266,Sex on Fire,Kings of Leon,2008,https://www.youtube.com/watch?v=EOjm4SEDMu8,2ae50462d68d7e37f7d6d27efe492ab13946366da0a6a43ce37557450dee626b,Sex on Fire
265,Take on Me,a-ha,1985,https://www.youtube.com/watch?v=HzdD8kbDzZA,596f5ac89e70dfd8675c2dd4a90d610e792a50ff04750b9636e98ad3d3b7382a,Take on Me
264,Eddam El Kel,Darine Hadchiti,2005,https://www.youtube.com/watch?v=umG5CxuwUzw,c35e8a69e5447607b7b96cd047f6f1e40cdcb2220d0919afdec70d7bbb1e0b07,Eddam El Kel
263,Nasini El Donya,Ragheb Alama,2003,https://www.youtube.com/watch?v=LHRzANXJEEM,1364589d3fd1cacbdb65cb5b20387af87051f3f12f413e3393e99e690826eb87,Nasini El Donya
262,Ma Arwa3ak - Live Concert,Fadel Chaker,2002,https://www.youtube.com/watch?v=1vDNq-l1l8c,b85ec7e5720c7d39caf041fd6287dd48c694952f938ed3069ed7e61c17a4f144,Ma Arwa3ak (Live Concert)
261,That's Amore,Dean Martin,2009,https://www.youtube.com/watch?v=mUzD-1klU88,d2016bf23a4af2805b7c5f0d73d2b5067b539353e56113ea98e7503c7bd43671,That's Amore
260,"Sugar, Sugar",The Archies,2007,https://www.youtube.com/watch?v=OXz_aJ6U7EA,d88c716b75bb4d3764a2dbc4e163cde195f29f0c720507700d688653ecd36f75,"Sugar, Sugar"
259,Khallini Shoufak - Live,Najwa Karam,2005,https://www.youtube.com/watch?v=POtYj9VCsV0,bc878db3fb3b6c3a764ba92d4931bd18266798b9f0c2c331172a56694ab21e6d,Khallini Shoufak (Live)
258,Girls Just Want to Have Fun,Cyndi Lauper,1983,https://www.youtube.com/watch?v=gvLMhpzYic0,6552fa0f75cb67d32d7ce10774aa774ef30afdb651da817f5600aac500a791b0,Girls Just Want to Have Fun
257,Dynamite,BTS,2020,https://www.youtube.com/watch?v=HaEYUJ2aRHs,41ecab702ab182eedee5d615c23e2c312d01f96ee099268a2727511c16022cdb,Dynamite
256,Abdel Kader,Khaled - Rachid Taha - Faudel,2014,https://www.youtube.com/watch?v=UssCXbmYl1Q,4da40c95ec42f0ca58ab9e4c8116179f987de588e778a3a77169b0ef7bfa98ba,Abdel Kader
255,Strangers In The Night,Frank Sinatra,1966,https://www.youtube.com/watch?v=BTOeRwIUnG0,5e0517ffe73461374a221c644ed50ce71918347653d74bd95088bba0d3e22573,Strangers In The Night
