Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title
308,Get Lucky (feat. Pharrell Williams and Nile Rodgers),Daft Punk - Pharrell Williams - Nile Rodgers,2013,https://www.youtube.com/watch?v=4D7u5KF7SP8,3cdb59a1dcc5033f7f10593cb15a691c6ea7284770642c6d66a2facd8335daf8,Get Lucky (feat. Pharrell Williams and Nile Rodgers)
307,Strangers In The Night,Frank Sinatra,1966,https://www.youtube.com/watch?v=BTOeRwIUnG0,5e0517ffe73461374a221c644ed50ce71918347653d74bd95088bba0d3e22573,Strangers In The Night
306,Jamás,Camilo Sesto,1975,https://www.youtube.com/watch?v=b3WPRga3tYs,6b742cec865b3a14578a9303c4956243af867fea07b526e63f35c63a409f5edb,Jamás
305,Get Back - Remastered 2009,The Beatles,1970,https://www.youtube.com/watch?v=IKJqecxswCA,1ecd23d6402a221a0c5f8a8aec944d39041609c6e726e3f358b6c41510eb31e4,Get Back (Remastered 2009)
304,Give A Little Bit,Supertramp,1977,https://www.youtube.com/watch?v=J9JOut9yh5g,7b5a72544af1300f7511aa3793ddaf58f7e3723e8ebb5243387dd961ec29bc56,Give A Little Bit
303,(We're Gonna) Rock Around The Clock,Bill Haley & His Comets,1955,https://www.youtube.com/watch?v=hzYBEJgKjv0,f97325cb83bbe80265afb9109b34e18398ea776c49cb4990b4395bf3214e31ef,[We're Gonna] Rock Around The Clock
302,Se Te Olvida (La Mentira),Javier Solís,1963,https://www.youtube.com/watch?v=GDzlm0nr3sU,9a2153e7603236e5e9ffd1a4fdf251428dabb5e7bf72be25037d0c692de01ea0,Se Te Olvida (La Mentira)
301,Say So,Doja Cat,2019,https://www.youtube.com/watch?v=mEhYtnHQAUw,dca699c39e3dc09c11af8de477d43e70cfd121ceecf73a2ced100aafd218d8bd,Say So
300,Every Breath You Take,The Police,1983,https://www.youtube.com/watch?v=-SaUrDhp034,215a9a110dba1b36fbe208d76240d02fc1fd8bbd9f3db7823ee3d8505737cb26,Every Breath You Take
299,Que Lloro,Sin Bandera,2003,https://www.youtube.com/watch?v=doJKpjjDkCo,7ca35505ba736e8792236d7649e76f165affa1e28b9ad0de779a68232f049899,Que Lloro
298,Y.M.C.A.,Village People,1978,https://www.youtube.com/watch?v=CS9OO0S5w2k,a35ca21c588862997fd6d6f19f36ddac0598d1f9409310387ca94b749c323a02,Village People - YMCA (OFFICIAL Music Video 1978)
297,"Take Me Home, Country Roads - Original Version",John Denver,1971,https://www.youtube.com/watch?v=HdldKQVrWw4,4e7f2381c3949dcbdc8c841694e928a0a4b6e3e12179a18db4bc6a6985df0271,"Take Me Home, Country Roads (Original Version)"
296,Viva La Vida,Coldplay,2008,https://www.youtube.com/watch?v=ALsvdSA9tOU,7725f2654a90ef70bf85ac059d6557b4ba1a2ddfa6e8a4d2ef349ade35c4d680,Viva La Vida
295,Twist And Shout,The Isley Brothers,2005,https://www.youtube.com/watch?v=coTvaGhU9kc,501906c8ff6aa0538daf4fdf5837ad3a5ca7ac4114b35a3d7db66000743ae162,Twist And Shout
294,No Role Modelz,J. Cole,2014,https://www.youtube.com/watch?v=8HBcV0MtAQg,7e702861463b64e6e1f3257ded9f401f073bfc06c705c3902b7f4d77a3fcd124,No Role Modelz
293,I Love It (feat. Charli XCX),Icona Pop - Charli xcx,2013,https://www.youtube.com/watch?v=JeSkFRTj7kU,68c03ebfa18c4ba4cfcb24dfa3e37c15c845b66f6b08e6b2b1a2b30a6cfb0e6d,I Love It (feat. Charli XCX)
