Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title
308,Gangnam Style (강남스타일),PSY,2012,https://www.youtube.com/watch?v=CVxMTl6cUSE,6a7454f3abd57648503556e0d0e037040860ff2b029e9ce0d07a8ef331aa898e,Gangnam Style (강남스타일)
307,Brown Eyed Girl,Van Morrison,1967,https://www.youtube.com/watch?v=nEQmbFWnQeE,20dc34e4f8622f6a7485346a34e4c019aab9bb5496822a8ebdc54154999ddc1f,Brown Eyed Girl
306,Rør ved mig,Lecia & Lucienne,1998,https://www.youtube.com/watch?v=DfgBf-sGmtg,23db6754a3cddbfad98759bcd6eb13889419c7090c2325ad1e8c9d1055f61d91,Rør ved mig
305,Vi skal gå hånd i hånd,Keld Heick,2020,https://www.youtube.com/watch?v=PMFhdnksV-4,c3f033f1d6ad88f1c8fad0efecac07358cd50b46ddb9520c78c7760d795f37cc,Keld Heick - 1968 - Vi Skal Gå Hånd I Hånd
304,Smuk Og Dejlig,Shit & Chalou,1976,https://www.youtube.com/watch?v=oAdF9f5c3UI,b2e1dd3598215fce6e16201d218978236ca6a6f1da5f4f5a0f930ba6e4d4c3ea,Smuk Og Dejlig
303,At Last,Etta James,1960,https://www.youtube.com/watch?v=1qJU8G7gR_g,edb6d09c8be8386e740c96fcc7bf0ff7238e875d536d9a8c3378cd9b4657c70d,At Last
302,(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,1965,https://www.youtube.com/watch?v=-dPEISUxAZo,05c45fd6c95f40e7734d6161d8214e4439dfedcc5f0535fb9daef5fb214a43f9,(I Can't Get No) Satisfaction (Mono)
301,I Wanna Be Dancing,Drew Sycamore,2021,https://www.youtube.com/watch?v=eBratwT0iRA,44db5ed132f09c84147c9453bf835b89393eff8ee687947ce4c19351dd22693a,I Wanna Be Dancing
300,We're Not Gonna Take It,Twisted Sister,1984,https://www.youtube.com/watch?v=orsonBB3Lf4,ebcbdd75d63e9b755fef8f2a0915f70ddb1b79581607852bbb13d79c7b39fafe,We're Not Gonna Take It
299,Aicha,Outlandish,2003,https://www.youtube.com/watch?v=5uO3ct_79zg,9538393f931fc89a916ee8f04c401ce169637e10e55bd20ce371a6bc77119dbb,Aicha
298,Video Killed The Radio Star,The Buggles,1980,https://www.youtube.com/watch?v=LrjdpNDfZLo,38b06695f33e8da7406db8e8e3e3691f4a59b33c4fd854f044d751d3e67845d6,Video Killed The Radio Star
297,"Take Me Home, Country Roads",John Denver,1997,https://www.youtube.com/watch?v=6N2b14J-5tA,9a56d56114721d1793d6e12d6d562c3e9f407dc235c96efc47a9799322ef16b8,"Take Me Home, Country Roads"
296,Bubbly,Colbie Caillat,2007,https://www.youtube.com/watch?v=KUqYuGYT0wI,436d9bb0eab7fea287376800c9b511b921a7f18f83233d833253b350b036de0e,Bubbly
295,Jeg snakker med mig selv,Gitte Hænning,1986,https://www.youtube.com/watch?v=XXlO2K7XHsY,5eafb5b8d5b5da62f68e655e04c67f11c3279af75f42244769462e5890f5aabd,Jeg snakker med mig selv
294,Take Me To Church,Hozier,2014,https://www.youtube.com/watch?v=JKlYOUfviXM,35e73c150d916ca0e62eb88e07c3840c381950578cc73ab7d46538ad715ac4a9,Take Me To Church
293,Pumped Up Kicks,Foster The People,2011,https://www.youtube.com/watch?v=rnO-MflYxCw,cc3f2a459dba828bb99ece1b20c59eea28a9eca00255a71f63f03ba746beb814,Pumped Up Kicks
292,Under Din Sne,The Minds Of 99,2022,https://www.youtube.com/watch?v=9a3LILb-yQE,788a8bd219c17478c561f29453b4f075e90df32709f3d22b55b2ad6ff5f25c19,Under Din Sne
291,death bed (coffee for your head),Powfu - beabadoobee,2020,https://www.youtube.com/watch?v=JApegyYlvyY,77470128596e705dde876e41a27170904999c04ccbe5a33aeef540538b610aad,death bed (coffee for your head)
290,Anti-Hero,Taylor Swift,2022,https://www.youtube.com/watch?v=3YgtjHZyCIQ,88a22f091998b32c81db9c40b9927eafc57c03e5bd5f0a0f51b23069f2a59d07,Anti-Hero
289,Kids In America,Kim Wilde,1981,https://www.youtube.com/watch?v=TVY4-N1xZeA,c6d21c362775ad0f27a0c7108b9f3c3eb54ae3a8e474300a93338d1d5bada603,Kids In America
288,Saturday Night - Radio Mix,Whigfield,1994,https://www.youtube.com/watch?v=ztVxSgXQo_k,16e0d6297e5055fe2ffca77dc20f16776f015803413712e88240e1205b42b607,Saturday Night (Radio Mix)
287,Hun Vil Ha' En Rapper,Jooks,2009,https://www.youtube.com/watch?v=BPAucDwVVL4,c1b7cea106fd31f4bc7d516cbfd460fcf6da0ac6bbdc0d1cfef74c89b7957b74,Hun Vil Ha' En Rapper
286,Midsommersangen,Shu-Bi-Dua,2010,https://www.youtube.com/watch?v=rJDHtnrcJkw,85e6ba2928950d9a53639d6713cbb05648387cdf74fd0740e79e6a64a6b193a2,Midsommersangen
285,Jubel - Radio Edit,Klingande,2013,https://www.youtube.com/watch?v=2PlTK6Bq25o,7a23480dabe87e67be40ec06aa921230afa994bfa287c0ebaf0ac10197220d3d,Jubel (Radio Edit)
284,Stairway to Heaven - Remaster,Led Zeppelin,1971,https://www.youtube.com/watch?v=iXQUu5Dti4g,ec73efb04352a199bf4cdc7675974d8c05251371c1333cf18d9c43c1b20acf6d,Stairway to Heaven (Remaster)
