Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title
308,Lean On,Major Lazer - MØ - DJ Snake,2015,https://www.youtube.com/watch?v=_mmHxzGjUZQ,cfa714d3a3863a0696e2973858db9cf02aa233cdf2e6a1b6a7763a96c4356236,Lean On (feat. MØ & DJ Snake)
307,Woman in Love,Barbra Streisand,1980,https://www.youtube.com/watch?v=ryGlgkvqzKE,399e96458711cc62cbbc375179c73976bf8487cbf66dabc679325d7df7753b04,Woman in Love
306,Part-Time Lover,Stevie Wonder,1985,https://www.youtube.com/watch?v=bgmMpT_m-t4,c156ab6ca4010802d007edd489f1a03dfb75c65c90bf194f222d492ad1dea386,Part-Time Lover
305,Rock the Casbah - Remastered,The Clash,1982,https://www.youtube.com/watch?v=LJTk64tzduQ,acc59a4ef721b879d6c452adedd4f1977fdcb03e0ea710944d9bb4e6f0a7cba4,The Clash - Rock the Casbah (Remastered)
304,A quién le importa,Alaska Y Dinarama,1986,https://www.youtube.com/watch?v=ixI8vCtZUWQ,1ac788ffc59d56040689127fd8c5f83e840053e65d18768bc2ba8ac87b7cfc25,A quién le importa
303,Angie - Remastered 2009,The Rolling Stones,1973,https://www.youtube.com/watch?v=aVLBF-UKevY,3881be9c1a335767688f70e01094597220d6145fb5d1434b3829955e8e5d7519,Angie (Remastered 2009)
302,Un Velero Llamado Libertad,José Luis Perales,2007,https://www.youtube.com/watch?v=FI-irRzefdM,0a0d870320016b0257b46af6ae4158cdb7c66eff308c8611993a0d45160f4999,Un Velero Llamado Libertad
301,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap - Quevedo,2022,https://www.youtube.com/watch?v=bfH2AO-oek0,68e5272f0a9cdc07f016fbf8c63c33f7de2b08526b182c5dec2c43e344cd77c7,"Quevedo: Bzrp Music Sessions, Vol. 52/66"
300,Personal Jesus,Depeche Mode,1990,https://www.youtube.com/watch?v=pm3sP0n7F-M,bdea169af9e6925f39bc9e023d7af433d02bcd17501a86f1516ae9bf72897390,Personal Jesus
299,Dispárame dispara,Laura Pausini,2006,https://www.youtube.com/watch?v=HJf7h5E1Plo,fd54dc41860c110825d631d8543620ee3575067b0a6710d8a7f1c8844ecf7e27,DISPÁRAME DISPARA
298,Boys - Summertime Love,Sabrina,1988,https://www.youtube.com/watch?v=_OIPDU8kCNo,647737680f120ec9d2ca9761a038cf400f4b4bf159421b354beb87c800b075bc,Boys (Summertime Love)
297,Sweet Dreams (Are Made of This) - 2005 Remaster,Eurythmics - Annie Lennox - Dave Stewart,1983,https://www.youtube.com/watch?v=eRhg7qPLeN8,d7c76ed4d6f53e3a64cd61eece9982ef132350bee6dbe8edce0b2dd2c46825f7,Sweet Dreams (Are Made of This) (2005 Remaster)
296,Girl on Fire,Alicia Keys,2012,https://www.youtube.com/watch?v=mVuSfxqpZa4,9ee4e960dece7bffafbcd2b1936ed71fa5a63d7c78088b44b1870dc09f414500,Girl on Fire
295,Don't Go Breaking My Heart,Elton John - Kiki Dee,1975,https://www.youtube.com/watch?v=VHK5k2ieudc,4516b78db731f27730844053f196e893b824d4bc30bdfde63a131355e6ca63fa,Don't Go Breaking My Heart
294,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit - Anne-Marie - Sean Paul,2018,https://www.youtube.com/watch?v=TOi1Ipwv5Qc,2ccc8d14fd16f185a8f1ea4e1e0b36ce89dcc9800d77a86d3fe9d6ee66aa621b,Rockabye (feat. Sean Paul & Anne-Marie)
293,Eres Mía,Romeo Santos,2014,https://www.youtube.com/watch?v=DYuhnVSOzwE,9e6ae0f9374e35aa2790c0ba64e1a131fee16d4fafc4383808ed02653bdd37b8,Eres Mía
292,PLAYA DEL INGLÉS,Quevedo - Myke Towers,2023,https://www.youtube.com/watch?v=ongGXq5O6GY,ccbb32c6aefd84cac1f49019894a0ab77e1be031cd8689ba161fc58dcb716cc4,PLAYA DEL INGLÉS
291,PROVENZA,KAROL G,2023,https://www.youtube.com/watch?v=i9gxO_5vA-Q,873db5002abe0b79162ed302c70f6a336882dc32114f714806dfbedbb51d26d4,PROVENZA
290,Si Antes Te Hubiera Conocido,KAROL G,2024,https://www.youtube.com/watch?v=mi-JD4jGVUQ,5b9945114134365c3073346df804463493594039b846633a83947fb3cbf92620,Si Antes Te Hubiera Conocido
289,Gimme Hope Jo'anna,Eddy Grant,2015,https://www.youtube.com/watch?v=xu1MLfCD5Mo,019b6539a7a930fc39c51451c250ed46dd18a09bcff09ddd96a88b017d8b70c0,Gimme Hope Jo'anna
288,Para No Verte Más,La Mosca,2000,https://www.youtube.com/watch?v=myW8YuosTq4,20e0f8f9938a3a4696cba8bcced0bade7d00ccd631098bf2c1eb8bda17ea0efa,Para No Verte Más
287,Rude,MAGIC!,2014,https://www.youtube.com/watch?v=3WzamI8QD2s,daca818e5f5965d470cf1fcfd9e2a270de674f82a53ee632ed9854780f1fc4c2,Rude
286,Vamos a Tocache,Miki Gonzalez,1995,https://www.youtube.com/watch?v=A2qUG7Bi2tw,0919a559ad7c83da2ed74d6d4603f37d878d9354242cc88428c5c47b0b2952ab,Vamos a Tocache
285,Reggaetón Lento (Bailemos),CNCO,2016,https://www.youtube.com/watch?v=-RjOjtv9cKg,2d67d0c498b226edc4c7d36a9a1c1b3a9e31b0ac784eefd867164713193205a1,Reggaetón Lento (Bailemos)
284,A Esa,Pimpinela,2002,https://www.youtube.com/watch?v=KWRF19s_EyQ,d2ae3f12792cd2cab42ea581516530e2499e3901e6216fd563d7b772292c5a74,A Esa
283,Pepas,Farruko,2021,https://www.youtube.com/watch?v=gNBkFme2BPE,7966d95b47bb5a3710f7de5fbb291fcf8112715974fca0eff2840840809f0a43,Pepas
282,si te pillara,Beéle,2025,https://www.youtube.com/watch?v=JAoRai-KPN0,1f8a8b4f4fb44e6cd08aeeb3d23e4a5b2511c55688e46c54e32705111b568337,si te pillara
281,Wake Me Up Before You Go-Go,Wham!,1984,https://www.youtube.com/watch?v=R14lGgHgVJM,fb29da214ccec3019a05f7fdbe5440b8e7855351fa3e3eabecb88053b9b523b7,Wake Me Up Before You Go-Go
280,Summer Of '69,Bryan Adams,1984,https://www.youtube.com/watch?v=9f06QZCVUHg,80427ffb978cddba0ac22ae38382ba4f9dd41e57039c9f24c3d323a61e75d9f2,Bryan Adams - Summer Of 69 (Official Music Video)
279,Venezia,Hombres G,1985,https://www.youtube.com/watch?v=3ax7Tsy_Nvw,94db9550a6c640f2ef296b4beec8fc51f2d696013136299fb124f3ccd10eef9e,Venezia
278,"La, La, La",Massiel,1966,https://www.youtube.com/watch?v=q0kYXd0kp7M,768c5d5d34a4d5a37dc05dd396f5a1eabf0083cf83c6e3e6a26217297ea2c7bd,"La, La, La"
277,Moves Like Jagger,Maroon 5 - Christina Aguilera,2015,https://www.youtube.com/watch?v=2UfIXzKXic0,a7d3fed6526f087fb1d86c191db88f9fbe823ed63d82c87c19d6edaa6ff07181,"Moves Like Jagger (Studio Recording From ""The Voice"" Performance)"
276,3e sexe - Live Zénith 1986,Indochine,1986,https://www.youtube.com/watch?v=3K8nSC19wm4,995c5c376940494bfea52d874d70f4f0072788aae5e5890ebb16b53a6734256a,3e sexe (Live Zénith 1986)
275,Todo Estaba Bien,Rio,2016,https://www.youtube.com/watch?v=tthkrQkfTbw,cee33f6c5665d83cacf77b6c722768c18bf033fa68bd37dce2af8413ed20a64a,Todo Estaba Bien
274,Bette Davis Eyes,Kim Carnes,1981,https://www.youtube.com/watch?v=qAqXDZoa624,4fd81da558520eccabb32956144275763afcdf71b93de6542ed9b8e8ce58523c,Bette Davis Eyes
273,Holding Out for a Hero - Single Version,Bonnie Tyler,2009,https://www.youtube.com/watch?v=rC0kX4YjcnY,710b23f1c32cfa2a9d3d6cb81b493e7b4b12067fa635431c76b3cda90a987b5c,Holding Out for a Hero (Single Version)
272,Rayando el Sol,Maná,1990,https://www.youtube.com/watch?v=EDkQB9b3cBw,c4cde0577ac60ed9cbe12b9391547446f22f84ebd09ed55da66ee4f8bac0d198,Rayando el Sol
271,Summertime Sadness,Lana Del Rey,2012,https://www.youtube.com/watch?v=fRQg_9ulGuI,63c9dd519d30764a0e2cc733d23c354187d8c7bcfcc9ae74485435766f9ac1f3,Summertime Sadness
270,Another One Bites The Dust,Queen,2018,https://www.youtube.com/watch?v=kU6uO40D6Tg,f9db01118472ab4b0704e053f17718531b0ef918edad01b4d7d9f2860105d260,Another One Bites The Dust (Remastered 2011)
269,I Was Made For Lovin' You,KISS,1979,https://www.youtube.com/watch?v=LB5uhCKrzVI,5bcffeb11ea1ddea3d2656c55aa5084d61763ce7de659d7139d39b48b3a79776,I Was Made For Lovin' You
268,BUBALU,Feid - Rema,2023,https://www.youtube.com/watch?v=eB5LpNp_WHY,08b420d0b5693c880500179ebbf7a720102e88da3d629b632058829301218137,BUBALU
267,Hot N Cold,Katy Perry,2008,https://www.youtube.com/watch?v=C-jAPrdc3PI,6135c1d23abcdeffa56aced14c2640b63db4f5c63c8af04207bd7ab623005c60,Hot N Cold
266,Una Vaina Loca,Fuego,2011,https://www.youtube.com/watch?v=QHrNY_K5cjg,8b0bdec99c04d4aaf8f3ec695a54b1a04e6d65c9e8129be52bbb860b2b678874,Una Vaina Loca
265,Two Princes,Spin Doctors,1991,https://www.youtube.com/watch?v=a748-dgSB10,1e5f80120372b262752e0fa0067057c645e9503453c2dc1d66a011d27ccd884f,Two Princes
264,Conteo Regresivo - Salsa Version,Gilberto Santa Rosa,2009,https://www.youtube.com/watch?v=Qe9W_KcJPqg,29a2fc3b828102b9569ac6a5a2b1d1a55324988defdade11588d4ecec5923952,Conteo Regresivo (Salsa Version)
263,Muñeca de Trapo,La Oreja de Van Gogh,2007,https://www.youtube.com/watch?v=L-0ynz8FAW4,5d2953238260b94bb92a6fcaa41b4b58cb37fd9d304897697679d83b0a6e5405,Muñeca de Trapo
262,Un Monton de Estrellas,Polo Montañez,2000,https://www.youtube.com/watch?v=_y_wfz-z0CM,49ed21ca005ef625b6cc9cb4de6b2dd10cbe00f3e5e36e385ca8b808fbfcd468,Un Montón de Estrellas
261,Un rayo de sol,Los Diablos,1990,https://www.youtube.com/watch?v=n1yBEN_8woE,8d412544d0d52e5be61e29a186b480a3b3058b407c671d057289f5d12efb448d,Un rayo de sol
260,Me Colé en una Fiesta,Mecano,1998,https://www.youtube.com/watch?v=V3SAzAgPV0Q,8bf2bc86d71677dee799ebaa414798d3b6d31a3c52889d0497fe35865c6700fa,Me Colé en una Fiesta
259,On The Floor,Jennifer Lopez - Pitbull,2011,https://www.youtube.com/watch?v=9lybsz-7TFM,bc024fdcba58307207a5ada5402008d361c2efe343710ac076585ca9a5db39c5,On The Floor
258,I'm Too Sexy,Right Said Fred,2010,https://www.youtube.com/watch?v=1l8KLXDhTMQ,7f037ded907210c6705726de37364e3a2c19dbc78a186cf8d9b342a30be8ebfb,I'm Too Sexy
257,Tiroteo - Remix,Marc Seguí - Rauw Alejandro - Pol Granch,2021,https://www.youtube.com/watch?v=v9SJykY5_T8,6cf0a3f5bc8153f7d5e0803016356d8671ce50e982a55924c311111e664fa158,Tiroteo (Remix)
256,Un nuevo amor,Tranzas,2006,https://www.youtube.com/watch?v=62FmalofOSc,b92d067045710fc69cb9898d690613682860273782e65b50354383750c069657,Un nuevo amor
255,Perdóname,Camilo Sesto,1980,https://www.youtube.com/watch?v=qpa68tjtMcA,f2e9f13fb4c34206220c7fb9cc8265a3c0df84bb8e23a7d7d3cd90e8bb28bd3f,Perdóname
254,greedy,Tate McRae,2023,https://www.youtube.com/watch?v=_QtN6qocpKU,e601a2b6f729031a40f924906827442a1603337fc9b799f595d3dace6052f8a4,greedy
253,The Fate of Ophelia,Taylor Swift,2025,https://www.youtube.com/watch?v=7nVctvQVz0U,7125de233fadc97ba0f43d8456f999ae9a88824afbb0d6854560632ada0a2ea5,The Fate of Ophelia
252,Mr. Jones,Counting Crows,1993,https://www.youtube.com/watch?v=x_dtKRzbCTU,9bb86fb4ec686d6675f0f4a9fd08689077a0d9ebc09994e80e74b50bbf46fbcb,Mr. Jones
251,La Culebritica,Grupo 5,2007,https://www.youtube.com/watch?v=qcVuBE9Xens,1b0a97aa428d805a97f3a4e8af47543732fcd6b8df08986a0b58812ff63f0daf,La Culebritica
250,You Oughta Know - 2015 Remaster,Alanis Morissette,1995,https://www.youtube.com/watch?v=YuFLAtARc3Y,51af028ecb0e6590a52d7fd76283713417337f261f4b1f88a83dfa3a8c395628,You Oughta Know (2015 Remaster)
249,Me Voy,Julieta Venegas,2006,https://www.youtube.com/watch?v=shdIDi0ipBQ,9203ad39891a4561bf9168bdf131d3fa3ddb7681a0415ef9c023494171cb1f1e,Me Voy
