Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title
308,Wrecking Ball,Miley Cyrus,2013,https://www.youtube.com/watch?v=iqXxfOnk-Z4,18560d9e1bd6e9ce3f1cbb7c8ae66a41304f315f7e3fda2128de875e7898c478,Wrecking Ball
307,I Heard It Through The Grapevine,Marvin Gaye,1968,https://www.youtube.com/watch?v=kAPj9oP4q_w,ea0fae405d2ba15b1e4a2c4a8df389cb39f84808fb8519ce55c16542050cc0ef,I Heard It Through The Grapevine
306,You Sexy Thing - Single Version,Hot Chocolate,2007,https://www.youtube.com/watch?v=iD4ympXPrWs,200a1688d7b557470c1824454f14b550030f5e8d908392be7d7b3f9877e6844c,You Sexy Thing (Single Version)
305,Let It Be - Remastered 2009,The Beatles,1970,https://www.youtube.com/watch?v=QDYfEBY9NM4,607ee409456c3d10afbfa296c61655a0d03f93ce99d1449fa40aef1bbcedb5a7,Let It Be (Remastered 2009)
304,Paradise By the Dashboard Light,Meat Loaf,1977,https://www.youtube.com/watch?v=a136H5K3OKw,fcfde09f081fbc0801c6bce85e7632c3791386b08e4c3a4781702bdea8e44de7,Paradise By the Dashboard Light
303,Dream Lover,Bobby Darin,2004,https://www.youtube.com/watch?v=iAEZ9KtkAaI,c42801f662c8f809c51e20bc79b8b945a7880e3e8e256c17d1f689348ddb8e1c,Dream Lover
302,I'm a Believer - 2006 Remaster,The Monkees,1967,https://www.youtube.com/watch?v=G5EuEF05G2M,392e415592b98086e23b81d5e2c03f0749d4ef095f98c6dc06195d1abe2ea725,I'm a Believer (2006 Remaster)
301,Dynamite,BTS,2020,https://www.youtube.com/watch?v=HaEYUJ2aRHs,41ecab702ab182eedee5d615c23e2c312d01f96ee099268a2727511c16022cdb,Dynamite
300,When I Met You,APO Hiking Society,1982,https://www.youtube.com/watch?v=oSz0dD5Wowg,05e85dfa86a24f5702adb13a62b834c7b0c74bccab7507848932b8ffafa9a767,When I Met You
299,Where Is The Love?,Black Eyed Peas,2003,https://www.youtube.com/watch?v=RuPr33Jk2A4,24c68ef193d0dac425f4a105b41e4e110428d676a7fbce73a4c9c4dd13b946c3,Where Is The Love?
298,Sumayaw Sumunod,The Boyfriends,2001,https://www.youtube.com/watch?v=5BJIqkboCgs,81c33de172d405b8bf83babd5a09914b1a97f2a3a7913dba26caed665d585887,Sumayaw Sumunod
297,Life on Mars? - 1999 Remaster,David Bowie,2002,https://www.youtube.com/watch?v=xUqbaAHt1qI,b0fcb3661d1df902baba9ebd2b491a73b1e88e3703d629fc888942026e8ee39c,Life on Mars? (1999 Remaster)
296,Di Na Mababawi,Sponge Cola,2009,https://www.youtube.com/watch?v=0zcrSc-8J2I,e80d890a67e511109705c8344281ef917630b3ff9cb5c81be645f9ec03d33da5,Di Na Mababawi
295,My Guy,Mary Wells,1964,https://www.youtube.com/watch?v=17xoZti2jL8,ef21feece2006876dafb6b6e171503e45f30fc53af2855eefa4c7a8219a74825,My Guy
294,Trip Lang,Shehyee - Sam Pinto,2013,https://www.youtube.com/watch?v=2lNJ2NcFe3Y,0f29a66a475ab4fd30920e7ded571a3e4ba427ddbe2f2583759dbfe99de66cc9,Trip Lang (feat. Sam Pinto)
293,Somebody That I Used to Know,Gotye - Kimbra,2011,https://www.youtube.com/watch?v=_iRmr3_GRxw,121ab74bdeb5e840bb600e1b166ae2b7ce28c66c7ab6262956f32914c2123791,Somebody That I Used To Know
292,The Box,Roddy Ricch,2019,https://www.youtube.com/watch?v=IxJjY5T9yag,867f0f00329a308f1707c1c500316c796303de97f37732f753f566e6020bbadb,The Box
291,Toosie Slide,Drake,2020,https://www.youtube.com/watch?v=hpjiBIdvWfs,f9d7138a697582d577ef21a45aa160ab9b877f4a7f9d76f457fc790dbf151cf9,Toosie Slide
290,Fallen,Lola Amour,2021,https://www.youtube.com/watch?v=AaC4SOe1rQ4,090ed5963561ac057ceb9566c240bd1fd8ac87cb4906d0e77f9a6095002544e9,Fallen
289,Upside Down,Diana Ross,1980,https://www.youtube.com/watch?v=lZ9OP5dzkQg,dda2d686a579e121f993f62826f986dea4372397e04aabd018b2a5b65cc0b84a,Upside Down
288,Zombie,The Cranberries,1994,https://www.youtube.com/watch?v=yGxHDmHoqXc,a6652da044c1de4ecff628da9cc1c5b58b595c5113ead458715a825aa8d1504f,Zombie
287,Nosi Ba Lasi,Sampaguita,2009,https://www.youtube.com/watch?v=5lo4Tr6dtjs,9336e0a65d81c6eb4a9414d98684cb60294541db2a726c6b5786b647d3d4fb7c,Nosi Balasi Sampaguita Lyrics
286,Bakit Labis Kitang Mahal,The Boyfriends,2001,https://www.youtube.com/watch?v=5S6Sp0D8g2M,e072b097719c23ab9bd3513c18bc935ac0b703ab207d3506fef90db27d1d0dd4,Bakit Labis Kitang Mahal
285,One Last Time,Ariana Grande,2014,https://www.youtube.com/watch?v=KEGZVv6KXL0,fae964bf5875b50580f65de1f27f9bf219422ed74ff146b49f8991520dce3f34,One Last Time
284,Jolene,Dolly Parton,1974,https://www.youtube.com/watch?v=gkMSLx2ly0A,76604b2f44004d1c3367c11f5d733e794ef211fae7e3741d7638b97946899395,Jolene
283,Blinding Lights,The Weeknd,2020,https://www.youtube.com/watch?v=H64a2ggVIWc,d578815c8829db7025b839819898a27a8c13457872f61a88c02f59acbbc75098,Blinding Lights
282,Pantropiko,BINI,2023,https://www.youtube.com/watch?v=L4KvD79RwbM,217696ecec5163e76b866090681c73d03e46deebeb10e543b51c61430c86232c,Pantropiko
281,Waterloo,ABBA,1974,https://www.youtube.com/watch?v=9y-8ZiAJiQo,179f52e9e7dbaca297d5596d23d4fe1f424ebdcffa57269d3a53edbad13a9de9,Waterloo
280,Easy,Commodores,1977,https://www.youtube.com/watch?v=aCsZ3_db_Fk,c833c702db158aca55836e39b68bb368bee0b01933ff5a89366ac335991b8fd8,Easy (Album Version)
279,Don't Leave Me This Way,Thelma Houston,1976,https://www.youtube.com/watch?v=rUdw7V-FC_Q,3c73213b1d2d4e6a3e8c884d93b4e88158d49c426f4875386205cbad4e86c688,Don't Leave Me This Way
278,(We're Gonna) Rock Around The Clock,Bill Haley & His Comets,1955,https://www.youtube.com/watch?v=hzYBEJgKjv0,f97325cb83bbe80265afb9109b34e18398ea776c49cb4990b4395bf3214e31ef,[We're Gonna] Rock Around The Clock
277,World Hold on (Children of the Sky) [Radio Edit],Bob Sinclar - Steve Edwards,2006,https://www.youtube.com/watch?v=8L_ZzjqyCUE,863571149a0d9fe53f0e9d4af286533b1fda35234de5d8adcf5f3edf12b0cb08,"World, Hold On (Children of the Sky)"
276,Hotel California - 2013 Remaster,Eagles,1976,https://www.youtube.com/watch?v=BciS5krYL80,a4129818086e26931b4b67a5d1878db161e51759541027d1557aad8e8209ca0a,Hotel California (2013 Remaster)
275,Funkytown,Lipps Inc.,2018,https://www.youtube.com/watch?v=hbp53NNBzTw,a15a3f894684cae10a5770e4e1648d43d4afad4026e9bcc3edf43cf1e74afa28,Funkytown (Single Version)
274,"Sugar, Sugar",The Archies,2007,https://www.youtube.com/watch?v=OXz_aJ6U7EA,d88c716b75bb4d3764a2dbc4e163cde195f29f0c720507700d688653ecd36f75,"Sugar, Sugar"
273,"You're The First, The Last, My Everything",Barry White,1974,https://www.youtube.com/watch?v=K-LBGA0O9o4,7ad5562d283d73aae0cf361728fa9e8a99507cc2ee61922e93fb8b01e27057aa,"You're The First, The Last, My Everything"
272,Every Breath You Take,The Police,1983,https://www.youtube.com/watch?v=-SaUrDhp034,215a9a110dba1b36fbe208d76240d02fc1fd8bbd9f3db7823ee3d8505737cb26,Every Breath You Take
271,Whatcha Say,Jason Derulo,2010,https://www.youtube.com/watch?v=XQUt2NT6Af4,3e87fee448c488865b463d0301ca3599c72f4a7ebb6e4ae73205b26a102c47cd,Whatcha Say
270,Happy Together,The Turtles,1967,https://www.youtube.com/watch?v=BqZ6sRHpWIk,5a18d133c6151f6d632f6b8cc6f5e99c0da836237f5c4246921877ecd5eeaa6f,Happy Together
269,"Monday, Monday - Single Version",The Mamas & The Papas,1966,https://www.youtube.com/watch?v=sWGh92O9kxU,675c146cc3b8e981d4ba917635dff392384ee07eafd3571e1999bf70b0f11bef,"Monday, Monday (Single Version)"
268,Marikit,Juan Caoile - Kyleswish,2020,https://www.youtube.com/watch?v=BYJ23QAx_L8,f83d940bb40a1a66023d07daed7825f48d4846bf21806a71a4a3174261c45f62,Juan and Kyle - Marikit (Official Music Video)
267,Yeah! (feat. Lil Jon & Ludacris),USHER - Lil Jon - Ludacris,2004,https://www.youtube.com/watch?v=XGXZOQ8yTU4,478e1855d6766e960bf4d4cb932d379b2e141cce3bfaa12a50b7168812634dfa,Yeah!
266,Migraine,Moonstar88,2008,https://www.youtube.com/watch?v=F3FZBfCLWYc,4ba13e70fdeab30475b8dea0e2f36a600d412fd3947e619f774eb6a13a11fa50,Migraine
265,The Whole of the Moon - 2004 Remaster,The Waterboys,1985,https://www.youtube.com/watch?v=d388s231dqQ,a0ed2b7f1ca4f76d0f54d1c3f918406e09de168ca056839b0a64670441f8a92e,The Whole of the Moon (2004 Remaster)
264,Call on Me - Radio Mix,Eric Prydz,2004,https://www.youtube.com/watch?v=lw3iCVeTe30,5906c5574819f4d105755e3058aaa7f4d46061657504dbd24fcd263de55ef360,Call on Me (Radio Mix)
263,Dilemma (feat. Kelly Rowland),Nelly - Kelly Rowland,2002,https://www.youtube.com/watch?v=HTiLJAeYTQY,64bdcf92154633b1f7c333e7ddee43671c6f8b583460688b6d382be4b6545f24,Dilemma
262,Waterfalls,TLC,1994,https://www.youtube.com/watch?v=A_iTphwVNYs,92f9ae5c6c55f8edc92408b1d92b2f90ec87db6178b62741877e2f9699738c82,Waterfalls
261,Be Bop a Lula,Gene Vincent,2007,https://www.youtube.com/watch?v=oyW11yqqT-Y,c395dcc98f2f450d9f6ba8c6473e6d3df79a133ed1f6c095e2487ec3e987d672,Be Bop a Lula
260,Lola,The Kinks,1970,https://www.youtube.com/watch?v=6CzrYXcXweI,787b53577f6a7a35b49c33eaa898ade7598a73f96227f9352c76d4ae42aa1b83,The Kinks - Lola (Official Music Video)
259,Poker Face,Lady Gaga,2008,https://www.youtube.com/watch?v=oG-4Uvhm4lI,813582f0699d7835b76d090c500100cd6a9f3ad794356fad630efef99bf2ae0b,Poker Face
