Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title
308,7,Catfish and the Bottlemen,2016,https://www.youtube.com/watch?v=IkDLsioZRTk,b03063432bfcb11c3f2ed29f3095f9ecd1c59de4d5c988892d3ff6ac6a6fd94f,7
307,"Płoną góry, płoną lasy",Czerwone Gitary,2015,https://www.youtube.com/watch?v=xswVqPOgPmI,d208e37f435dbd8b59d42a66e4d2aa8f3a3979449f8a7c65e1e1a4e46499a154,MONTE CASSINO OSP GRS SWPB
306,New Kid in Town,Eagles,1976,https://www.youtube.com/watch?v=4BjPxQm5lZc,7d40ef4afe2edd9cdfc933c7de3ac9b964941c1f94adaa8694f26b9719e5a501,"New Kid in Town (Live at The Forum, Los Angeles, CA, 10/20-22/1976)"
305,Ciężką Drogą,Stress,2015,https://www.youtube.com/watch?v=9_4-fm2_4Kk,c3fdedb07c59986988f0c7a726a424c4cbe64c71d8b42249f0b349e57940e30e,Ciężką Drogą
304,Dancing Barefoot,Patti Smith,1979,https://www.youtube.com/watch?v=ZKIWYddocpA,90256f2edfaa5ffb7018db834b675cf43b5525f8043f0546e1e041deafff7bb5,Dancing Barefoot
303,I Want You,Bob Dylan,1966,https://www.youtube.com/watch?v=PcsB6snEYn0,e63abc0c035600d660c82e8577d664e66737e7efead38fbec709ac2347ab2c20,I Want You
302,War Pigs - 2009 Remaster,Black Sabbath,1970,https://www.youtube.com/watch?v=hZcLIsHdvss,9559d90d7140f9b76e34f1d0b2879181be7d845ef2bd7f04be3b520c2c2bd407,War Pigs (2009 - Remaster)
301,The Foundations of Decay,My Chemical Romance,2022,https://www.youtube.com/watch?v=mCDoTp4aXf8,6184df5b6492013d62570ff2e8effcaf73d71c382ce73ace4887e19a874371f8,The Foundations of Decay
300,Big City Nights (2015 - Remaster),Scorpions,1984,https://www.youtube.com/watch?v=xItSNVQShw4,ebc7e9b803fb86b6cc2e7e4618b33b275fc32dd731b5ac2def417a4b7dff7920,Big City Nights (2015 - Remaster)
299,Make It Wit Chu,Queens of the Stone Age,2007,https://www.youtube.com/watch?v=AZdyD8yFQaU,9db9ad4964b69c3f7fefacdf267946696285e04551fc592c6b0a5796a16c9a5d,Make It Wit Chu
298,The Spirit Of Radio,Rush,1980,https://www.youtube.com/watch?v=ws2hOsgrLVA,1914321a6bf7f43bac4e7951004ff555e4d188c47583d78027c7c71e775ad758,The Spirit of Radio
297,Fluff (2009 Remaster),Black Sabbath,1973,https://www.youtube.com/watch?v=OVWW0XD6v2Q,846bc92bcd932bb490538c1eb5d02b41702555f3a815ab3e076c80d3542aefd4,Fluff (2009 Remaster)
296,Środa Czwartek,Video,2011,https://www.youtube.com/watch?v=l3npVrVRPJw,6a9b23238b46ae93ab1f6b9039ccd75d941812480aa38e7e4de162e0f4c20d81,Środa Czwartek
295,"Wszystko mi mówi, że mnie ktoś pokochał",Skaldowie,2008,https://www.youtube.com/watch?v=XqVh6KVlfJc,264ac94c2d36252e5b74f2d7ad89a2fa897bc00556d285bc3b3054883d996bcd,"Wszystko mi mówi, że mnie ktoś pokochał"
294,The Resistance,Skillet,2016,https://www.youtube.com/watch?v=cGvJbijeYSM,28f804c5576d3816d6bc6db66545c7a31149ef3c0876ee7575c8fa60a8a0c10a,The Resistance
293,Tli Się,Voo Voo,2014,https://www.youtube.com/watch?v=65cPsl1HU_M,3eade846058f69b0661d1f870c4c19723278146eaf0603a0de883ea91299f51d,Tli Się
292,Duchy,Wilki,2022,https://www.youtube.com/watch?v=SdYBp2MZBtU,c744941c4abbd557a2ca04181c540511a8a79c7f97d791ca7c37131a6f66bc6c,Duchy
291,Nie mów nikomu,Michał Sołtan,2022,https://www.youtube.com/watch?v=7lPe3vIR9UE,507296a0ad757b700a0aa5c632ae244970fc4dd519d61078592503a72fbf584a,Nie mów nikomu
290,Bez Słów,Cheap Tobacco,2024,https://www.youtube.com/watch?v=aeGEuPp2ZkQ,999b2132f4c7298f9b047d573107c3f3f937b2c63b09ceeae23cd5c49caa1193,Bez Słów
289,Tom Sawyer,Rush,1981,https://www.youtube.com/watch?v=QJ4-9tAf9UQ,022717a5056eba4db753d0198d9f9f8b8405f59cc027f40c77364c2719eab33b,Tom Sawyer
288,Oi! Młodzież,The Analogs,1996,https://www.youtube.com/watch?v=zhkZ02SUQXQ,2229dabc6ee1fca1feaf31f90b875c180cfcdb7ccdc5fb74cbec9cb651bbc544,Oi! Młodzież
