Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title
225,Delilah,Tom Jones,1968,https://www.youtube.com/watch?v=Qvo5SeAwz88,15dc873f3e50e90536b370dc6f65f86bf48625b7798b20de02acf4a2776995f9,Delilah
224,Tanto la Queria,Andy & Lucas,2001,https://www.youtube.com/watch?v=SedxZhxtyIk,51a27730634f98045885563702eb2230ea6bd586e38b8d203077d77a405dab94,Tanto la Queria
223,Chico Fininho,Rui Veloso,2001,https://www.youtube.com/watch?v=OkPlUDat1M4,01cc32cf3f695f48cfeb5c6abb1014aa6cff3e445b5d531e144aa4d3c6c89e4c,Chico Fininho
222,Carta,Toranja,2003,https://www.youtube.com/watch?v=qakomTWxC5c,ee61521fcd1b938246b3fda550e175b38db9cf87c41aa2906c6e093d4df7eedd,Carta
221,Paper Planes,M.I.A.,2007,https://www.youtube.com/watch?v=W_K0hemcU5o,abbb5b6ce2154cc011b26fe6a223c46791edeb35e284c460a27a637328356fc2,Paper Planes
220,Feiticeira (feat. Pablo Milanés),Luís Represas - Pablo Milanés,1993,https://www.youtube.com/watch?v=1_nTYTDc5rA,63cd2d07af58f239f64f58c364ec8dc98003c294e9f0b7f3143ca94bb0699791,Feiticeira (feat. Pablo Milanés)
219,I Just Called To Say I Love You,Stevie Wonder,1999,https://www.youtube.com/watch?v=58RgLQ_0Ars,a3cf0946b0cb52515a5c97bec33f1504fe2fa17b240a27b797411c07d133f61a,I Just Called To Say I Love You
218,Something Just Like This,The Chainsmokers - Coldplay,2017,https://www.youtube.com/watch?v=owTWCbq_nSk,f9f30c12849a3753dfda86c331308a8ebd15f7b1a26c96a9221deaea07b481e5,Something Just Like This
217,When I Grow Up,The Pussycat Dolls,2008,https://www.youtube.com/watch?v=RCavRoT79_o,27645842925e3fa9dabb69480b6e4e30a8919851a7ec04840fe4ebb78aed5e14,When I Grow Up
216,Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,1979,https://www.youtube.com/watch?v=pa2j0Bh83ms,fea458b99e8e085610ef2393a032f3d7fa2607066b64c108a0d98c5b9b08ac9a,Gimme! Gimme! Gimme! (A Man After Midnight)
215,1973,James Blunt,2007,https://www.youtube.com/watch?v=svQr-biTn1U,b9c1b48d516d261d02a56f11ea833a1582f9c3f877b7be9726abc7748320e4c9,1973
214,Common People - Full Length Version,Pulp,1995,https://www.youtube.com/watch?v=TZOdKdxP8Wk,68a339bae405afa02f11c4579fc4cef1c063f51f87cb45dea40e333b73f67982,Common People (Full Length Version)
213,Unstoppable,Sia,2016,https://www.youtube.com/watch?v=cfhwSpSDA9c,99d1af7152de5df4d7d684d0f2306448d0bf9e6b1553c69b6f0368b0adfc5484,Unstoppable
212,Secretamente,Rita Guerra,2006,https://www.youtube.com/watch?v=yoSlX-9V2rY,4a425f73cf6e10bb021468f1d4a1c2e1c4c0c29c902c0c694490b1398f7bffe9,Secretamente
211,Dear Future Husband,Meghan Trainor,2015,https://www.youtube.com/watch?v=DcWZ-mb1InA,3f9a6cf5fce41a7e68367296e8b39b1b0d121f1ed1d6930898633495e6dfac73,Dear Future Husband
210,Sultans Of Swing,Dire Straits,1978,https://www.youtube.com/watch?v=cF3OWCYLLVQ,cb77454dd821397b0c9c0f40313a5d888186020b87653b41c178f0c4af36e0de,Sultans Of Swing
209,Cry Me a River,Justin Timberlake,2002,https://www.youtube.com/watch?v=CIk45fEWBok,6c19b5e7fe57a7aaebaccc9ec2dbd131e74589bcfb413a652941bd4a0943f787,Cry Me a River
208,Beggin (original version),Madcon,2007,https://www.youtube.com/watch?v=DtacDHriV0o,e78802da39e87326ac1b7b1d296c802ae9952dde5266105a0e1f7ae2535d696b,Beggin (Original Version)
207,Without Me,Eminem,2002,https://www.youtube.com/watch?v=tqxRidAWER8,038e73a9d18ba5a70ac2af68f31cbc3914f69d64c5bf1a9e54d12d9beee30efc,Without Me
206,Deixa-me rir,Jorge Palma,1985,https://www.youtube.com/watch?v=mqln4Zv96WI,7de84a8e4f76057376d50ad4563beba639325450a45045b1959539d1d008b92d,Deixa-me rir
205,In the Shadows,The Rasmus,2003,https://www.youtube.com/watch?v=CjDCAyfF9_I,a2d48d77f30c74b40a0231473df968de6d4221d5e08d624bed7aaf9df6cd98ed,In the Shadows
204,Candy,Robbie Williams,2012,https://www.youtube.com/watch?v=HqM7g4jH5Hk,b40d14b1e7782be19b3fdd7c1ddcb587b5fcae85c64ba42ed8d5dc13f64b7927,Candy
203,Flowers,Miley Cyrus,2023,https://www.youtube.com/watch?v=BkSSOGNeWTM,c1115d7503478982a958fc75ab8405f7b19c150d36ef559c6fac72f490f3a9e0,Flowers
202,All The Things She Said,t.A.T.u.,2002,https://www.youtube.com/watch?v=ujpvNvSgcic,bbddcb497e605d5a347b67a932ce7d594a543552bfedbf706a902df5a985e249,All The Things She Said
201,Over My Shoulder,Mike + The Mechanics,1995,https://www.youtube.com/watch?v=X_FtuIrjfqc,cf571485ec44f238ddbf6f50e520af98355d348c22573654cc2639a2e4180d88,Over My Shoulder
200,Sing It Back - Boris Musical Mix - Edit,Moloko - Boris Dlugosch - Michael Lange,1999,https://www.youtube.com/watch?v=u_G_YliYNkg,89562251152b139395833e8751b6f4a94622e9e65faaf924bb4101af7625d199,Sing It Back (Boris Musical Mix) (Edit)
199,Thank You,Dido,1999,https://www.youtube.com/watch?v=Ezi1Owv_rag,dc5382656a6f49a199508f896e7ab2a13539398c563f9f5d97e5c5983b55cb93,Thank You
