Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title
308,Sarutari criminale,Maxim,2014,https://www.youtube.com/watch?v=SbmXHVBD8K4,8dc34c5f967e88f1b0a3f33257d697f206f4fa2c6a8059fa042d342dd82efcc9,Sarutari criminale
307,Don't Go Breaking My Heart,Elton John - Kiki Dee,1975,https://www.youtube.com/watch?v=VHK5k2ieudc,4516b78db731f27730844053f196e893b824d4bc30bdfde63a131355e6ca63fa,Don't Go Breaking My Heart
306,Billie Jean,Michael Jackson,2008,https://www.youtube.com/watch?v=Kr4EQDVETuA,74a7776fe54d5f47446c3aea8474417ac4701635548648a3429711c848cb2de9,Billie Jean
305,Because the Night,Patti Smith,1978,https://www.youtube.com/watch?v=wDlKTQ3Ig7A,d6132dada9a2cb8e079a979c6497f0697103197a70a5780e55339a0dae98a0cb,Because the Night
304,Fata din vis,COMPACT,1997,https://www.youtube.com/watch?v=J8uEgt78jJk,3991aa2f740465ea50de39cc8621ff59b02960f111ff2864ff699734d2ef6f47,Fata din vis
303,California Dreamin',The Mamas & The Papas,2001,https://www.youtube.com/watch?v=oU6uUEwZ8FM,3e6f864a76890c833f693e4781dc1b5049147b958041bbd7f89d78a6c5c1c5ca,California Dreamin' (Single Version)
302,Andrii Popa,Phoenix,1999,https://www.youtube.com/watch?v=6anKBcEKSho,9bdbc4f962a4459839bce1dd1c71c424c041d5c0e2176150c370eea2097f2ade,Phoenix - Andrii Popa
301,Dincolo de Marte,RANDI - Roxen,2021,https://www.youtube.com/watch?v=a8YvuMJ0X8w,4ec4934eb4c37bc8236869cfa8b856820b6e4f1141251b83eb978378eba022a9,Dincolo de Marte
300,Dor de viata,Aura Urziceanu,2001,https://www.youtube.com/watch?v=B0SqDAByZFs,17d9e2e75bd9c0d516c4fac6fff2afe24b64a6c5b2acc46f8b94d5f5d5c4f561,Dor de viata
299,Dragostea rămâne,Andra,2007,https://www.youtube.com/watch?v=22U8O_BGQRo,b5ac10f1321552a86ccc95206b0af507fe3f6e88e30786f4acc8cfbd3d99b52d,Andra - Dragostea ramane
298,Deschideți poarta soarelui,Dida Dragan,1984,https://www.youtube.com/watch?v=wq-MAI-4YAo,5f09bd1fb97e06ff9fe9c28da09b0410331c1f8d986f7a9d60f2145d07ecf98a,Dida Dragan - Deschideti poarta soarelui
297,Hot Stuff,Donna Summer,1979,https://www.youtube.com/watch?v=nYMeJSehCe4,5f3d826b0ee7b8943afc97b68043698cc9939a10b9783ce6522b6d793af2cd7f,Hot Stuff
296,Titanium (feat. Sia),David Guetta - Sia,2012,https://www.youtube.com/watch?v=LRPGqNeav_M,4d8310eddce60cc2d5d90955d7d364172700b16b664287037db771305dc0778f,Titanium (feat. Sia)
295,Starman - 2012 Remaster,David Bowie,1972,https://www.youtube.com/watch?v=aBKEt3MhNMM,2562c2a97130939f9718c6828aacc593a0e90dc6977aac9978e4bdbcd6c12c0a,Starman (2012 Remaster)
294,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,2015,https://www.youtube.com/watch?v=6eW99oNNRvI,140256e70531f373825de1e1518ba14d3fdcade5b0612fd34c0ee3354b8e32b9,"Love Me Like You Do (From ""Fifty Shades Of Grey"")"
293,Perfect Fără Tine,Vama,2013,https://www.youtube.com/watch?v=qYiz-UQdsiE,701b6d0207babe0c4fc71d3bd2245d1298c6a11f62e85e699aeea9fcc37dae8b,Perfect Fără Tine
292,STAY (with Justin Bieber),The Kid LAROI - Justin Bieber,2021,https://www.youtube.com/watch?v=XfEMj-z3TtA,81a837f1c020c63277642a195470d4f31836202bc90022d328135361cf133c2f,STAY
291,I WANNA BE YOUR SLAVE,Måneskin,2021,https://www.youtube.com/watch?v=0T-BCIFeqq8,153993b99c52a99fafdb098a10013ed2707ad7b88bd4af4b4302f64419786fea,I WANNA BE YOUR SLAVE
290,Taramul interzis,The Urs,2023,https://www.youtube.com/watch?v=5WMuZiPaTVQ,429b53e78a49e3b7614b1979a84a67301a98526c7fd4ad1e4cfd5db5d5c35ac9,Taramul interzis
289,Livin' On A Prayer,Bon Jovi,1986,https://www.youtube.com/watch?v=YBdyc1WDlBQ,d67096569eeb7dfafb6e2cf51d7a490d39f22f1aa00b5b548ab4b92884f4344d,Livin' On A Prayer
288,Stan,Eminem - Dido,2000,https://www.youtube.com/watch?v=HIqQ0PfuPo8,08bc11000c5cba066ad782d2155b12eee45fa7632498ca42f22594e47d747832,Stan
287,Vara nu dorm,Connect-R,2012,https://www.youtube.com/watch?v=41tuZGtwHyE,ac4516c219b70da137b312b26976ed5f06be750d5768a020f78769006f2b72a9,Vara nu dorm
286,Pseudofabula,Roșu și Negru,1984,https://www.youtube.com/watch?v=L_oBioBczkI,24cb0574689f13395c3eacb7ddf2fd1ab1e056d2686979cc0afc6809c6219239,Pseudofabulă
285,Ma ucide ea,Mihail,2015,https://www.youtube.com/watch?v=kT5xBYo58EI,d745198b39fe1d0bc23cb84c8475c4fddaf849a34a90322d56c4816c5d8cba62,Ma ucide ea
284,Woman In Love,Barbra Streisand,2002,https://www.youtube.com/watch?v=zJy2fHZiDXY,b8be84125647102423f938e6eb61086bb8807002a0f68b861d4d7ff33b434f41,Woman In Love
283,RITMO (Bad Boys For Life),Black Eyed Peas - J Balvin,2020,https://www.youtube.com/watch?v=W3Ad0K11mcM,a531dc4b33f32ca160a913de01a17b41586df6030b89821dced70ddb5a74728f,RITMO (Bad Boys For Life)
282,Bilet doar dus,INNA,2024,https://www.youtube.com/watch?v=1nP1gDjXg_o,75a072d6e9754c67914589cc08dae69653b5c45366838e1ccc3ee06d5ab82eb0,Bilet doar dus
281,9 to 5,Dolly Parton,1980,https://www.youtube.com/watch?v=OPoSuyu0dsY,2532ff97034bcbabaf63e8d950f1019b939d4dfd88cddc5be1c1e7c10895fe76,9 to 5
280,Total Eclipse of the Heart,Bonnie Tyler,1999,https://www.youtube.com/watch?v=kPUSXW-npIQ,e9206c31988715aef625cf714eb5af1e72589f29a4d5b6c600807e5b20d4447b,Total Eclipse of the Heart
279,"Du-mă acasă, măi tramvai",Gică Petrescu,2006,https://www.youtube.com/watch?v=zgCpj75TTfE,c0d15ec6f0ee12b1c43d99a80859238f2cb20e11afac3e40a9c364640692b521,"Du-mă Acasă, Măi Tramvai"
278,Cine iubește și lasă,Maria Tănase,2000,https://www.youtube.com/watch?v=RRXU5ee8OKY,804441ffd6e4707250cc4eb0e9cc3049fec34e858486d21cd46328f51f02e5c7,Cine Iubește Și Lasă
277,Ne Place / We Like It (Album Version),ROA (Rise Of Artificial),2011,https://www.youtube.com/watch?v=HWl9yWNZb4A,faf1fcb1f572bedf0785fe64ecdd2c88469dc3c258e3c40d35ccff7c652f0025,Ne place
276,Our House,Madness,1982,https://www.youtube.com/watch?v=1h-rhqw-Wy0,d38180f6ff6edee6a05d80974035cc8739d3f385a5660359923a2d8834598866,Our House
275,The Final Countdown,Europe,1986,https://www.youtube.com/watch?v=NNiTxUEnmKI,7191f8be6b51da1328db60b129600da9063284886f92580cd8c94979be4947e7,The Final Countdown
274,Amintire cu haiduci,Valeriu Sterian,1977,https://www.youtube.com/watch?v=kVRbCQc8I5E,1c525b51a875282ac2359e0624c5ec6097234884cd8e08bd7a30428cfbe74c8c,Valeriu Sterian -- Amintire cu haiduci
273,"Lasă-mi, toamnă, pomii verzi!",Margareta Paslaru,2006,https://www.youtube.com/watch?v=j5tSEZtp7r4,0279f2be6d915c339e663f6fbe4cd9e011b7191cc866fe0affbf90bddb85a012,"Lasă-Mi, Toamnă, Pomii Verzi!"
272,Fericirea are chipul tău,Mihaela Runceanu,1999,https://www.youtube.com/watch?v=sSmjpoiemlQ,38936f0f3e810c81566bd0d950eba4b5581d5a1051864687240339d876debe86,Fericirea Are Chipul Tău
271,Girl on Fire,Alicia Keys,2012,https://www.youtube.com/watch?v=mVuSfxqpZa4,9ee4e960dece7bffafbcd2b1936ed71fa5a63d7c78088b44b1870dc09f414500,Girl on Fire
270,Frumoasă vecina noastră,Tiberiu Ceia,1998,https://www.youtube.com/watch?v=QtvKVX7b9EM,80c5055489198a53d713335ce7dbb983db1eb7ef92bfa80ab148959eb2464242,Frumoasă Vecina Noastră
269,Sugar Baby Love,The Rubettes,1990,https://www.youtube.com/watch?v=ZdM52M-00UE,793eb2f553c16877c91ff1a40360743bb62da0c2dc00e8f03a321396024f0f24,Sugar Baby Love
268,Pentru totdeauna,Irina Rimes - Grasu XXL,2022,https://www.youtube.com/watch?v=F9oiiP4q65k,4bbf9191aa92817c03ee8d07cd41116406856fe3e823fa432c7a7d75301f6e1f,Pentru totdeauna
267,I Kissed A Girl,Katy Perry,2008,https://www.youtube.com/watch?v=usvTbqTHwyw,bb480f2b954d9268db4dcb59624c0d6dbe46989719110f16058f84fcff50649f,I Kissed A Girl
266,Danza Kuduro - Original Mix,Don Lore V,2015,https://www.youtube.com/watch?v=PT8eBk35Dfs,72fbe56a6838faa96116d2f049b11ea62aa214300c389d83715d49c624ab0228,Danza Kuduro
265,Un actor grabit,Laura Stoica,1994,https://www.youtube.com/watch?v=ty30TW0q534,e28d8cef808ce5a9ed738f46e5b8c868e8ffcc30e70dcaf641ffe20d7e036c7f,Un actor grabit
264,Human,The Killers,2008,https://www.youtube.com/watch?v=bRXTMuH2WVc,29237efba9ace5afb12401b3d01843dac73678ab6f895bc318c4e827566e6212,Human
263,Cry for You - UK Radio Edit,September,2008,https://www.youtube.com/watch?v=9gS01bm6EUM,f662558125116f497ee70ebd03b883be8a1bbbfc9774eed3d7072423fa4aefd3,Cry for You (UK Radio Edit)
262,Ploaie In Luna Lui Marte,Paula Seling,1999,https://www.youtube.com/watch?v=MnZKoiAiSFk,9ea9690c8896476e102826d6252218146d770c382d0e22d8af552eeb4f1979cf,Ploaie In Luna Lui Marte
261,Lalele,Luigi Ionescu,2001,https://www.youtube.com/watch?v=xzDbR1nSuRA,0c01ed9ba1405232f0774e3b0932c06688944227ba355d12deb5600effdc8bdf,"Luigi Ionescu - Lalele (HD Audio, FLAC)"
260,September,"Earth, Wind & Fire",1978,https://www.youtube.com/watch?v=3cKtSlsYVEU,c717bf63f0bca007acd81f0510b29c3b422abc337dbe66c6793ec22c222d4743,September
259,Sexy And I Know It,LMFAO,2013,https://www.youtube.com/watch?v=CUts4BOXmSo,931acac88d44bfb7fd1e25ccb7866b5a747210e31ff20f09f99336eddb394d44,Sexy And I Know It
258,Thunderstruck,AC/DC,1990,https://www.youtube.com/watch?v=lhg9bYNLvOg,44bd79a799c69960a6660b636757aa23943ce9d3e96d0c23af134b508fc1f591,Thunderstruck
257,Watermelon Sugar,Harry Styles,2019,https://www.youtube.com/watch?v=KPM_BYl-EaQ,a5500de51e32c32dfc66cab5e1383b56e46fda20991c7cdcaaaf5b9416e7b90f,Watermelon Sugar
256,20,Voltaj,2001,https://www.youtube.com/watch?v=VGk5ynI3WLY,e809e173b8de9f657dcdb74842036f8001be65d693fa5caa21fe98224dba68a7,20
255,"Money, Money, Money",ABBA,1976,https://www.youtube.com/watch?v=1LPNuFkteI8,89bc7a3800265ca52950d9a8b64e4ba12bf5f14d7d10a271a3daa4957b1ae6cd,"Money, Money, Money"
254,Pentru ca,Andia - Deliric,2023,https://www.youtube.com/watch?v=YE3kFkqddoY,7f154c7a87a298a9a813f153c4a4cf4c10bdc84de9cfdb72d61e6f04be034da2,Pentru ca
253,Ana,Marcel Pavel,2024,https://www.youtube.com/watch?v=IYqoZoFfebQ,314362930bcaed98fafb0e3cba5390b70fe58cc0c118b5c7acc3e17543214080,Ana
252,Sleeping In My Car,Roxette,1994,https://www.youtube.com/watch?v=wUg2Hv-nCw4,3fd794cd5fd63946bc034140f54f52797e208312d6d584b71922cf6970151ff5,Sleeping In My Car
251,Bleeding Love,Leona Lewis,2007,https://www.youtube.com/watch?v=wfipx3OkFuo,785fab68a605c133e6ea36d9346264584d5292b2fd39a1b693844eb3d5a741c7,Bleeding Love
250,"Freed From Desire - prod. Molella, Phil Jay",Gala - Molella - Phil Jay,1997,https://www.youtube.com/watch?v=Qvu033SBMYU,5ad6848d1c439f35a1817ea21f117b7425edb76ac663497f1107954736b5f609,Freed From Desire
249,SexyBack (feat. Timbaland),Justin Timberlake - Timbaland,2006,https://www.youtube.com/watch?v=g_V6wqBlADw,8003d3d2197c65f0ba2631d86d908f02bb4dba64e49dcbbcdfd9a0ba1398c3e2,SexyBack
248,Yellow River,Christie,1970,https://www.youtube.com/watch?v=KueMOCJFX9A,bc098c4f89419179c5751fa2625c9e7302fe17659bcea4ba4eb24174239ab7f0,Yellow River
247,Tine-ma de mana,Stefan Banica - Loredana,2024,https://www.youtube.com/watch?v=4qemEOzgIUA,e8c8a59c17466014eeb3023f5129b02feebae5b069ba19bba47ce949822a4a04,Tine-ma de mana
246,Pleacă,VUNK - Antonia,2022,https://www.youtube.com/watch?v=UfJ0d-rIBBQ,cef971309a4c13e0f00b404b1aba5c151dd09e628ffd54ddf3a5b53ae047d7a1,Pleacă
245,It's Now or Never,Elvis Presley,2002,https://www.youtube.com/watch?v=BJ7Vdj46hlc,0425d0d6b18758dd8b3ee9772b382400e74ba244199965b4292b73b0519ac1b8,It's Now or Never
244,Doar Ea,Alex,2008,https://www.youtube.com/watch?v=8zzDH0qne50,6085cd116c5e3e1c65fb405bafc6787a6f21c85013a529f3c52152e338733138,Doar Ea
243,Two Princes,Spin Doctors,1991,https://www.youtube.com/watch?v=a748-dgSB10,1e5f80120372b262752e0fa0067057c645e9503453c2dc1d66a011d27ccd884f,Two Princes
242,Cele Doua Cuvinte,Taxi,2010,https://www.youtube.com/watch?v=UbRn4ID0vO0,863602ab7beaccb2f527e7828201725f8292342f2afe77b4ec2ecc313059dc16,Cele doua cuvinte
241,Bye Bye Bye,*NSYNC,2000,https://www.youtube.com/watch?v=VsUrajziFRc,8d89f84dbe0a176b47e318285d873b1580e947111fd08aa4a3859b4fea85403b,Bye Bye Bye
240,Stuck In The Middle With You,Stealers Wheel,1972,https://www.youtube.com/watch?v=EW66QdPq9-k,c553f0f737e1485e7b0d5d1310a002e84959dccc81643ba0952340db045250f0,Stuck In The Middle With You
239,American Idiot,Green Day,2004,https://www.youtube.com/watch?v=VyV54YwPAkk,e5b7f0d7e76578fea4d690e58271d384d92c1971b2384380e26d09358f0cf480,American Idiot
238,Physical - Remastered 2021,Olivia Newton-John,1981,https://www.youtube.com/watch?v=-pJnLxpU9JI,48ce8424f52508878d1a4cd6e2b5094b0667006d56950ef08498d392f093f05b,Physical (Remastered 2021)
