Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title
2029,Judas,Fozzy,2017,https://www.youtube.com/watch?v=qJWeY_FFvMc,b770871169cb21c92f4b57393c867c940a149a57f42b0eb4909c75b8ee232962,Judas
2028,Cherry Pie,Warrant,1990,https://www.youtube.com/watch?v=I88Izbmrxq4,7106f99f7f99fbfe429f4c324e23405489ab5285ae91aaa2a9bfec852ba1f67e,Cherry Pie
2027,Could Have Been Me,The Struts,2016,https://www.youtube.com/watch?v=JL6g9HQIXIw,a914108481c0d85f37e4a9c4438daf5642845333b8b502c6bf6f624836543109,Could Have Been Me
2026,Bad Reputation,Joan Jett & the Blackhearts,1981,https://www.youtube.com/watch?v=LfCm57XdpO0,800aa4ef88c9339683321c25f147c983655ba4ef818e125f4de5c13b35b53820,Bad Reputation
2025,Cherry Bomb,The Runaways,1976,https://www.youtube.com/watch?v=xMKeIQJ_a9s,551e868510feb8140abb92fc9e63e877556508741ac14f6567a19cbd49291aee,Cherry Bomb
2024,Figure It Out,Royal Blood,2014,https://www.youtube.com/watch?v=QkvC6hfWDX0,27f2ca874bac5cb1047de0bcd8f225e8e1133d621c983d36c5eafa103f02b7c5,Figure It Out
2023,I Hate Everything About You,Three Days Grace,2003,https://www.youtube.com/watch?v=prZrgyueXwE,cfba17fa3726bab02fcd766effc659a7add967e3f1ed26eceb6ff8298fb763b2,I Hate Everything About You
2022,Footsteps,Pop Evil,2015,https://www.youtube.com/watch?v=A_FL6n5HZ08,1afae9f2c24207d6069c7ef1064fe3400c41409ebafafeb409a2e767045a4109,Footsteps
2021,Peace of Mind,Boston,1976,https://www.youtube.com/watch?v=tJ42CLtr7Jg,7d3b478a6bbdd30580f10e909affedeb25d6281cc20b227c9fb0b6cb5101b134,Peace of Mind
2020,My Sharona,The Knack,1979,https://www.youtube.com/watch?v=ZR-3r5Z9kqw,5d2e16b09a75084755c3887503f30108f94cbf1ac17a2bc98039c07edc00a743,My Sharona
2019,Welcome Home,Coheed and Cambria,2005,https://www.youtube.com/watch?v=FIhRx_4MuIY,b4d41b9cdece2b2cff7c6bc40908b461ee7106647151e54185a6a112286a6b70,Welcome Home
2018,Any Way You Want It,Journey,1980,https://www.youtube.com/watch?v=fEpFf2towVU,36762f37288c3aafac5629ba786fa1974cd9fd5e38c73648a7b7e855810630d8,Any Way You Want It
2017,Devil Is A Loser,Lordi,2002,https://www.youtube.com/watch?v=j9VEmwUbDts,add9a752d6247c770ab94b1b3ef14700cda854da7442264dbec2c04b8f45803d,Lordi - Devil Is A Loser (2003)
2016,Drop Dead Cynical,Amaranthe,2014,https://www.youtube.com/watch?v=Ll7c7cr4epU,f20185fe13c2a6f455b7d4ed2cf4f860b76236217ff92363435e024ab27681a2,Drop Dead Cynical
2015,The Middle,Jimmy Eat World,2001,https://www.youtube.com/watch?v=rubpIfLPzvU,78f1637e2356ddf839de51ee39ef44ff5cfea07efea7f550ea1aed78f21dd7a4,The Middle
2014,Slow Ride (Edit),Foghat,2023,https://www.youtube.com/watch?v=RvE0PS9-T0w,c5da1b9ac1eb5d52e91dc3cd1288a79dc1731dda709cd4a079102ca7646f1120,Slow Ride (Edit)
2013,Balls to the Wall,Accept,1983,https://www.youtube.com/watch?v=IrwXSfcJmnU,b23784f0892f2d15be952641e012d54950b5863826b8e4b2f3c5722eb9fdc967,Accept - Balls To The Wall - Official Music Video Clip
