Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title
333,Just Give Me a Reason (feat. Nate Ruess),P!nk - Nate Ruess,2012,https://www.youtube.com/watch?v=a1pWN2ixeVY,554c3f2f06074ab157e72c83305e8a69815fde819e16af8fa136ccc6fcec8325,Just Give Me a Reason
332,Hollaback Girl,Gwen Stefani,2004,https://www.youtube.com/watch?v=cZHNORAmi0I,04114bff4702fce3062834171b1e39d5c7a956c9fdd262411054958ce677c75f,Hollaback Girl
331,All About That Bass,Meghan Trainor,2015,https://www.youtube.com/watch?v=Rexh9Ut3tfE,8e65b5c157a4bbedd821fc4abe973132a7888f06ea5ac0a2bdcce5598b622adc,All About That Bass
330,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Brian Hyland,1961,https://www.youtube.com/watch?v=s9HUWF6xLEA,a46efe6193dc5b7d60a8cf9e2c6fc9a1e162aea498e7ef5e167e080f96fa1107,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini (Single Version)
329,Whiskey Glasses,Morgan Wallen,2018,https://www.youtube.com/watch?v=yvQ07fW_x1E,7462ebe760990e58a3373accc1d497d2924d3e5d884f8cd0694e21c6b4a9cd0f,Whiskey Glasses
328,Hit the Road Jack,Ray Charles,2012,https://www.youtube.com/watch?v=Kqnb6rRaBhM,e069daa35a6debb2906243d40f448a1f8df13de76cf2c3a5cd0f69ea56f609a2,Hit the Road Jack
327,I Will Wait,Mumford & Sons,2012,https://www.youtube.com/watch?v=Vo7FNkltu28,b6fdb632ea438b814405cc0c3ac977cff564a7d035efaf57395c6998d743312e,I Will Wait
326,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X - Jack Harlow,2021,https://www.youtube.com/watch?v=jPe0bX_GtBo,3a4badae4492558b8be00b2fc031d5935ecad99d44414b76f5e91e0bedacab27,INDUSTRY BABY
325,Fast Car,Tracy Chapman,1988,https://www.youtube.com/watch?v=IJ8i49EqgYI,161580b9aae1e9e328548509c750d86c4a64d1c7df8afe25cd04848427bb6f9b,Fast Car
324,Take on Me,a-ha,1985,https://www.youtube.com/watch?v=HzdD8kbDzZA,596f5ac89e70dfd8675c2dd4a90d610e792a50ff04750b9636e98ad3d3b7382a,Take on Me
323,Bridge Over Troubled Water,Simon & Garfunkel,1970,https://www.youtube.com/watch?v=nvF5imxSaLI,f970ccaf1937c2b99cf02b56a8970fb8b1a9999c1784b1082e9a5321223bbb86,Bridge Over Troubled Water
322,These Boots Are Made for Walkin',Nancy Sinatra,1987,https://www.youtube.com/watch?v=fZjrkbkeWzo,b9f3078d2f6ca96311dfd139e3258f4dafea292c1e86462f186ed7dd398ba26d,These Boots Are Made for Walkin'
321,"Burning Heart - From ""Rocky IV"" Soundtrack",Survivor,1993,https://www.youtube.com/watch?v=jDAaIXvemw4,baa81e3da73ee5f7215b95a966b5ca7a065eb5f3db1acf95ea38618a7ba75fc5,"Burning Heart (From ""Rocky IV"" Soundtrack)"
320,Me and Bobby McGee,Janis Joplin,1971,https://www.youtube.com/watch?v=-ggFIeg5u1M,07916ef5fb5a1b3e3cf5a6069009a16de46af9b94c0ca65c81bf9300d516a4bd,Me and Bobby McGee
319,Give A Little Bit,Supertramp,1977,https://www.youtube.com/watch?v=J9JOut9yh5g,7b5a72544af1300f7511aa3793ddaf58f7e3723e8ebb5243387dd961ec29bc56,Give A Little Bit
318,"Take Me Home, Country Roads - Original Version",John Denver,1971,https://www.youtube.com/watch?v=HdldKQVrWw4,4e7f2381c3949dcbdc8c841694e928a0a4b6e3e12179a18db4bc6a6985df0271,"Take Me Home, Country Roads (Original Version)"
317,Barbie Girl,Aqua,1997,https://www.youtube.com/watch?v=77zog6Up_Yg,811a243ff4d5eb4d8fa922978ab2d3920241c6828065ff64545307831ed7f2ea,Barbie Girl
316,Cheap Thrills,Sia,2016,https://www.youtube.com/watch?v=K_idN3P5_yk,883fcaac78724ec2745b901e1e22db9ad28d90f15155d7f6947026da55613ee8,Cheap Thrills
315,Sk8er Boi,Avril Lavigne,2002,https://www.youtube.com/watch?v=UYocLBXr7hQ,53bb1cdae81957c0169feace985e8c19b4ba420ab584fc6ffd3dbffbbb072811,Sk8er Boi
314,Respect,Aretha Franklin,1967,https://www.youtube.com/watch?v=UWUHaUJfhSo,1b95bcd5dc20220514815b18a42b192073846d9e8fa1bab319d132550aece9d1,Respect
313,"December, 1963 (Oh What a Night!)",Frankie Valli & The Four Seasons,1975,https://www.youtube.com/watch?v=7giT6gCJrsA,0410056da45846fc72efc0ff840407031848a2e78cb75ae4329aa79265cac447,"December, 1963 (Oh What a Night!)"
312,No Diggity,Blackstreet - Dr. Dre - Queen Pen,1996,https://www.youtube.com/watch?v=Fiu9h8ZTPoQ,31fc58477167d6f39fbfdd9e9d3c4f24d9038abe0c344073048028d9d2f3356a,No Diggity
311,Fireflies,Owl City,2009,https://www.youtube.com/watch?v=KWLGyeg74es,5333130413d1ddaf8d8f72b5adef1288316926728916608987027e5d4b2bac68,Fireflies
310,Losing My Religion,R.E.M.,1991,https://www.youtube.com/watch?v=zttk-uY14SQ,c891abf208e8cccb7d19aa29aaf169b71cf8258cf698746b871568f8c95bc335,Losing My Religion
309,Crazy,Gnarls Barkley,2006,https://www.youtube.com/watch?v=35C6S11qs5c,e217a51db491cb6ba856e30ecc0af2b006abee37ddf6acad23a44e2cbd7604bd,Crazy
308,Paradise By the Dashboard Light,Meat Loaf,1977,https://www.youtube.com/watch?v=a136H5K3OKw,fcfde09f081fbc0801c6bce85e7632c3791386b08e4c3a4781702bdea8e44de7,Paradise By the Dashboard Light
307,Fly Away,Lenny Kravitz,1998,https://www.youtube.com/watch?v=2KeFjLDkOrI,97ae7f1279aaf43387b3904d846651232efb668bb7a9c01448ccefec88ff6ed1,Fly Away
306,Lucid Dreams,Juice WRLD,2021,https://www.youtube.com/watch?v=VTG-ForqDk4,6d3e2fb4e7590d4eca8cba307f47bc81364f2e874d3411ec9f5e7d3fa4b4fa8c,Lucid Dreams
305,"1, 2 Step (feat. Missy Elliott)",Ciara - Missy Elliott,2004,https://www.youtube.com/watch?v=4p4a6_06AEI,d2f1a0bcebc540df6f11da113934dc801feaabceaf199c472504999af82f1152,"1, 2 Step"
304,Shout,Tears For Fears,1985,https://www.youtube.com/watch?v=ldAp-mZqAro,b1bb1da7b44168dfb61f17c3703c7da295da80425ec0dd08e74b10c237eb3123,Shout
303,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,1987,https://www.youtube.com/watch?v=6xzN8Nt0Pok,9f2cfa38df26b5bc0bd1e929a27d3f95c7ef0968063c73870efb85dca9552218,I Wanna Dance with Somebody (Who Loves Me)
302,I Like You (A Happier Song) (with Doja Cat),Post Malone - Doja Cat,2022,https://www.youtube.com/watch?v=n-UIRqgXjGA,27e803a180da95a779048c407cc9d547271f3e2bc3dedc5dc46967ce655f2d4b,I Like You (A Happier Song)
301,Sweet Home Alabama,Lynyrd Skynyrd,1974,https://www.youtube.com/watch?v=iL-jC7XyLeo,979ec8aba71700374c6b790ae6d6e5010e88ddb911bf5e4053db57baf6f40668,Sweet Home Alabama
300,bad guy,Billie Eilish,2019,https://www.youtube.com/watch?v=yfH5H2oO8i0,18d1bc71ecec71204c34aabdfe425b11f0b744823b6d1408058d8cd950418785,Cyberpunk 2077 — No Limits
299,Closer,The Chainsmokers - Halsey,2016,https://www.youtube.com/watch?v=r7zTKRonHXM,25b7e2efc162f52998757e03bf24c96e897d904c0384be796ae0934b522e3516,Closer
298,Rehab,Amy Winehouse,2006,https://www.youtube.com/watch?v=t2TKqJ2FXGM,28553d02f674514f4c63b7be5b5d5e64d6c47e9627019ac946be1740b2d7a772,Rehab
297,Runaway Train,Soul Asylum,2000,https://www.youtube.com/watch?v=ooutlWLE0js,b1d8c3667c5dd88042090ef1a1cb1d9b6ed59de505f4572823894f38371e4ded,Runaway Train
296,Crazy In Love (feat. JAY-Z),Beyoncé - JAY-Z,2003,https://www.youtube.com/watch?v=5BnF0_LksYI,c8d85ee7aa559bace2fad575611518eb5fd78b967611be5c3eb4d8ebfb120fa3,Crazy In Love
295,Without You (feat. Sandro Cavazza),Avicii - Sandro Cavazza,2017,https://www.youtube.com/watch?v=VeMyjkJr9EA,b94ca0fbf1e6621953d2c7e8966c99f9aedb19b301aa953416ec61848bdd782d,Without You
294,Ain't That A Shame,Fats Domino,1959,https://www.youtube.com/watch?v=hLQ17YVFySY,4c637b2457d718e6c6c5dc2c4f9548071de06ce9a28ac244113c196f1d4ef664,Ain't That A Shame
293,Springsteen,Eric Church,2011,https://www.youtube.com/watch?v=9-WFgo1P91Y,c0fe1e315d2f9d1c3b98b8ce646269bcf10d21eaa3bf47ee720c3d7a0dfa5197,Springsteen
