Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title
308,I Will Wait,Mumford & Sons,2012,https://www.youtube.com/watch?v=Vo7FNkltu28,b6fdb632ea438b814405cc0c3ac977cff564a7d035efaf57395c6998d743312e,I Will Wait
307,White Room,Cream,1968,https://www.youtube.com/watch?v=V5BF1V1pbTs,38be5ab3adb50734444257d36a405131587b551f9d8b17c15d98dc9d466aede6,White Room
306,Sweet Home Alabama,Lynyrd Skynyrd,1974,https://www.youtube.com/watch?v=iL-jC7XyLeo,979ec8aba71700374c6b790ae6d6e5010e88ddb911bf5e4053db57baf6f40668,Sweet Home Alabama
305,Bridge Over Troubled Water,Simon & Garfunkel,1970,https://www.youtube.com/watch?v=nvF5imxSaLI,f970ccaf1937c2b99cf02b56a8970fb8b1a9999c1784b1082e9a5321223bbb86,Bridge Over Troubled Water
304,Walk This Way,Aerosmith,1975,https://www.youtube.com/watch?v=4c8O2n1Gfto,a57cbb74ef24467ee03350f8ad99800633af64a7f8b743b04049d7e1bf467254,Aerosmith - Walk This Way (Audio)
303,Tequila,The Champs,1994,https://www.youtube.com/watch?v=P-ZYjtAwjuQ,1f7b108675a66d80ea487251481659daf15160215421e6085c6ca93aab0e6f93,Tequila
302,"Monday, Monday - Single Version",The Mamas & The Papas,1966,https://www.youtube.com/watch?v=sWGh92O9kxU,675c146cc3b8e981d4ba917635dff392384ee07eafd3571e1999bf70b0f11bef,"Monday, Monday (Single Version)"
301,Blinding Lights,The Weeknd,2020,https://www.youtube.com/watch?v=H64a2ggVIWc,d578815c8829db7025b839819898a27a8c13457872f61a88c02f59acbbc75098,Blinding Lights
300,You Shook Me All Night Long,AC/DC,1980,https://www.youtube.com/watch?v=SP9t2Iq_zQ8,8a72c512d9374ec7521393cb0fab5fb043d40cbabf4f8c956ca5fc8a85513fe3,You Shook Me All Night Long
299,Work It,Missy Elliott,2002,https://www.youtube.com/watch?v=aeFP8T6GGb0,df84c9e22625a5ff87ba39c801fb01f63c0ea04ea7759a54c3821b8d69c3c437,Work It
298,Easy,Commodores,1977,https://www.youtube.com/watch?v=aCsZ3_db_Fk,c833c702db158aca55836e39b68bb368bee0b01933ff5a89366ac335991b8fd8,Easy (Album Version)
297,Joy To The World,Three Dog Night,1970,https://www.youtube.com/watch?v=EVcpKjXYa5c,a7ffa922674d346a4d8a665bda29e4c98d6dd47f515cb216e3ab7125cd3d7d00,Joy To The World
296,Glamorous,Fergie - Ludacris,2006,https://www.youtube.com/watch?v=jAC2xmQ-3Ok,de3e90ec6195a18f603c484438dfdeb517c8daa365b68384179d68a1501ce62d,Glamorous
295,Surf City (Rerecorded),Jan & Dean,2010,https://www.youtube.com/watch?v=9Caog-O3Vd8,b3a88557984dd0f86e35573f2581a2676d8a570e6d0425ceb5f7f5038072775c,Surf City (Rerecorded)
294,Wrecking Ball,Miley Cyrus,2013,https://www.youtube.com/watch?v=iqXxfOnk-Z4,18560d9e1bd6e9ce3f1cbb7c8ae66a41304f315f7e3fda2128de875e7898c478,Wrecking Ball
293,Wait so Long,Trampled by Turtles,2010,https://www.youtube.com/watch?v=zkoyRsRJgwc,74bb57d7b0065a65bb80068fa6eeb8ce440e6514d441790ae02300919eb0da3c,Wait so Long
292,Say So,Doja Cat,2019,https://www.youtube.com/watch?v=mEhYtnHQAUw,dca699c39e3dc09c11af8de477d43e70cfd121ceecf73a2ced100aafd218d8bd,Say So
291,Dance Monkey,Tones And I,2019,https://www.youtube.com/watch?v=Hx4nWW9z0ig,e1c3101d22776518a22afe8efa3fa9668f5a331c8e73c483177f0183efcd88c4,Dance Monkey
